"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
23.906,5.3476e-06,3.0175e+07,0,2.6559e-05,0.15453,518.76,0.069111,0,3.2943e-06,5.2853e+05,-2.382e+16,0,0,0,496.01,0,,0,0,0,0
23.906,5.3479e-06,3.0175e+07,0,2.6559e-05,0.15456,518.87,0.056535,0,3.2943e-06,5.2853e+05,-2.3826e+16,0,0,0,496.01,0,,0.16,0.16,0,0
23.906,5.3482e-06,3.0175e+07,0,2.6559e-05,0.15459,518.98,0.043959,0,3.2944e-06,5.2853e+05,-2.3832e+16,0,0,0,496.01,0,,0.32,0.32,0,0
23.906,5.3485e-06,3.0175e+07,0,2.6559e-05,0.15463,519.1,0.031382,0,3.2945e-06,5.2853e+05,-2.3838e+16,0,0,0,496.01,0,,0.48,0.48,0,0
23.906,5.3488e-06,3.0175e+07,0,2.6559e-05,0.15466,519.21,0.018806,0,3.2945e-06,5.2853e+05,-2.3844e+16,0,0,0,496.01,0,,0.64,0.64,0,0
23.906,5.3491e-06,3.0174e+07,0,2.6559e-05,0.1547,519.32,0.00623,0,3.2946e-06,5.2853e+05,-2.385e+16,0,0,0,496.01,0,,0.8,0.8,0,0
23.906,5.3494e-06,3.0174e+07,0,2.6559e-05,0.15473,519.43,-0.0063463,0,3.2946e-06,5.2853e+05,-2.3856e+16,0,0,0,496.01,0,,0.96,0.96,0,0
23.906,5.3497e-06,3.0174e+07,0,2.6559e-05,0.15476,519.54,-0.018922,0,3.2947e-06,5.2852e+05,-2.3862e+16,0,0,0,496.01,0,,1.12,1.12,0,0
23.906,5.3499e-06,3.0174e+07,0,2.6559e-05,0.1548,519.66,-0.031499,0,3.2947e-06,5.2852e+05,-2.3868e+16,0,0,0,496.01,0,,1.28,1.28,0,0
23.906,5.3502e-06,3.0174e+07,0,2.6559e-05,0.15483,519.77,-0.044075,0,3.2948e-06,5.2852e+05,-2.3874e+16,0,0,0,496.01,0,,1.44,1.44,0,0
23.906,5.3505e-06,3.0174e+07,0,2.6559e-05,0.15486,519.88,-0.056651,0,3.2949e-06,5.2852e+05,-2.3881e+16,0,0,0,496.01,0,,1.6,1.6,0,0
23.906,5.3508e-06,3.0174e+07,0,2.6559e-05,0.1549,519.99,-0.069227,0,3.2949e-06,5.2852e+05,-2.3887e+16,0,0,0,496.01,0,,1.76,1.76,0,0
23.905,5.3511e-06,3.0174e+07,0,2.6559e-05,0.15493,520.1,-0.081804,0,3.295e-06,5.2852e+05,-2.3893e+16,0,0,0,496.01,0,,1.92,1.92,0,0
23.905,5.3516e-06,3.0174e+07,0,2.6559e-05,0.15498,520.25,-0.095058,0,3.2951e-06,5.2851e+05,-2.3904e+16,0,0,0,496.01,0,,2.08,2.08,0,0
23.905,5.3523e-06,3.0173e+07,0,2.6559e-05,0.15504,520.45,-0.1091,0,3.2952e-06,5.2851e+05,-2.3921e+16,0,0,0,496.01,0,,2.24,2.24,0,0
23.905,5.353e-06,3.0173e+07,0,2.6559e-05,0.15509,520.64,-0.12314,0,3.2954e-06,5.2851e+05,-2.3937e+16,0,0,0,496.01,0,,2.4,2.4,0,0
23.905,5.3536e-06,3.0173e+07,0,2.6559e-05,0.15515,520.84,-0.13718,0,3.2955e-06,5.285e+05,-2.3954e+16,0,0,0,496.01,0,,2.56,2.56,0,0
23.905,5.3543e-06,3.0173e+07,0,2.6559e-05,0.15521,521.03,-0.15123,0,3.2956e-06,5.285e+05,-2.3971e+16,0,0,0,496.01,0,,2.72,2.72,0,0
23.904,5.355e-06,3.0172e+07,0,2.6559e-05,0.15527,521.22,-0.16527,0,3.2958e-06,5.2849e+05,-2.3988e+16,0,0,0,496.01,0,,2.88,2.88,0,0
23.904,5.3557e-06,3.0172e+07,0,2.6559e-05,0.15533,521.42,-0.17931,0,3.2959e-06,5.2849e+05,-2.4005e+16,0,0,0,496.01,0,,3.04,3.04,0,0
23.904,5.3564e-06,3.0172e+07,0,2.6559e-05,0.15539,521.61,-0.19335,0,3.296e-06,5.2849e+05,-2.4022e+16,0,0,0,496.01,0,,3.2,3.2,0,0
23.904,5.3571e-06,3.0172e+07,0,2.6559e-05,0.15545,521.81,-0.20739,0,3.2962e-06,5.2848e+05,-2.4039e+16,0,0,0,496.01,0,,3.36,3.36,0,0
23.903,5.3578e-06,3.0171e+07,0,2.6559e-05,0.15551,522,-0.22144,0,3.2963e-06,5.2848e+05,-2.4055e+16,0,0,0,496.01,0,,3.52,3.52,0,0
23.903,5.3584e-06,3.0171e+07,0,2.6559e-05,0.15557,522.2,-0.23548,0,3.2965e-06,5.2847e+05,-2.4072e+16,0,0,0,496.01,0,,3.68,3.68,0,0
23.903,5.3591e-06,3.0171e+07,0,2.6559e-05,0.15563,522.39,-0.24952,0,3.2966e-06,5.2847e+05,-2.4089e+16,0,0,0,496.01,0,,3.84,3.84,0,0
23.903,5.3598e-06,3.0171e+07,0,2.6559e-05,0.15569,522.58,-0.26356,0,3.2967e-06,5.2847e+05,-2.4106e+16,0,0,0,496.01,0,,4,4,0,0
23.903,5.3605e-06,3.017e+07,0,2.6559e-05,0.15577,522.87,-0.2774,0,3.2969e-06,5.2846e+05,-2.4134e+16,0,0,0,496.01,0,,4.16,4.16,0,0
23.902,5.3611e-06,3.017e+07,0,2.6559e-05,0.15586,523.16,-0.29122,0,3.297e-06,5.2845e+05,-2.4163e+16,0,0,0,496.01,0,,4.32,4.32,0,0
23.902,5.3618e-06,3.0169e+07,0,2.6559e-05,0.15595,523.46,-0.30504,0,3.2972e-06,5.2845e+05,-2.4192e+16,0,0,0,496.01,0,,4.48,4.48,0,0
23.901,5.3624e-06,3.0169e+07,0,2.6559e-05,0.15604,523.75,-0.31886,0,3.2973e-06,5.2844e+05,-2.4222e+16,0,0,0,496.01,0,,4.64,4.64,0,0
23.901,5.3631e-06,3.0168e+07,0,2.6559e-05,0.15613,524.04,-0.33268,0,3.2975e-06,5.2843e+05,-2.4251e+16,0,0,0,496.01,0,,4.8,4.8,0,0
23.901,5.3637e-06,3.0168e+07,0,2.6559e-05,0.15622,524.34,-0.3465,0,3.2977e-06,5.2842e+05,-2.428e+16,0,0,0,496.01,0,,4.96,4.96,0,0
