"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.3087861051,       2.816380583,       2.395151043,       5.684970777
          0,           0,           1,      0.2300464932,       2.689865032,       2.286342134,       5.605093157
          0,           0,           2,      0.1070428258,       2.563637228,       2.187044579,       5.480863049
          0,           0,           3,    -0.03993833272,       2.430758651,       2.057313269,       5.338600593
          0,           0,           4,     -0.1992781304,       2.271901319,       1.922581034,       5.190630628
          0,           0,           5,     -0.3365355987,       2.158307549,       1.848886238,       5.060228705
          0,           0,           6,     -0.4414388398,       2.126884238,       1.841347191,       4.970971004
          0,           0,           7,     -0.4461852409,       2.144096756,       2.063670977,       5.012897123
          0,           0,           8,     -0.4819166847,       2.227941821,       2.121204014,       4.996971865
          0,           0,           9,     -0.4917381293,       2.321203071,       2.185171384,       4.993161038
          0,           0,          10,     -0.5326460216,       2.272874976,       2.120077114,       4.956612411
          0,           0,          11,     -0.5569797028,       2.272697224,        2.04459516,       4.931799057
          0,           0,          12,     -0.5960355009,       2.251295209,       1.961166045,       4.889065615
          0,           0,          13,     -0.5447581655,       2.271054672,       2.033021323,       4.945586986
          0,           0,          14,     -0.4731625291,       2.297249339,       2.160870146,       5.015672613
          0,           0,          15,     -0.4240334489,       2.331472667,       2.246728358,       5.072568585
          0,           0,          16,     -0.4754118864,       2.302840091,       2.166806641,       5.015526932
          0,           0,          17,     -0.5227440572,        2.28344267,       2.076425462,       4.965593598
          0,           0,          18,     -0.5555390401,       2.287070212,       2.032740527,       4.926050807
          0,           0,          19,     -0.4914116489,       2.299439562,       2.097074939,       4.996277336
          0,           0,          20,      -0.446504477,       2.314413139,       2.189456199,       5.046802343
          0,           0,          21,     -0.4227769645,       2.335123142,       2.256394486,       5.072357975
          0,           0,          22,     -0.4657601313,        2.31933756,       2.186303836,       5.026968129
          0,           0,          23,     -0.5063011898,       2.292095797,       2.102519176,       4.983453625
          0,           0,          24,     -0.5621604228,       2.277896072,       2.019089401,       4.919085424
          0,           0,          25,     -0.5486892074,       2.291513786,       2.029876456,       4.929142001
          0,           0,          26,     -0.4778212392,         2.3185044,       2.165199806,       5.005538082
          0,           0,          27,      -0.414520339,       2.341360463,       2.268206872,       5.081511277
          0,           0,          28,     -0.4777794558,       2.317033907,       2.184824991,       5.017242748
          0,           0,          29,     -0.5209666951,       2.292986112,       2.096072208,       4.969955208
          0,           0,          30,     -0.5498677563,       2.291987627,       2.044265007,       4.938281455
          0,           0,          31,     -0.4603086591,       2.309872206,       2.144219831,       5.032676164
          0,           0,          32,     -0.4314122838,       2.324546532,       2.209585685,       5.067188494
          0,           0,          33,     -0.4433318018,        2.33630023,       2.231372592,       5.056165212
          0,           0,          34,     -0.4650672538,       2.327205136,       2.182484696,       5.029065674
          0,           0,          35,     -0.4987096565,       2.303404009,       2.121650118,       4.994737714
          0,           0,          36,     -0.5364310289,       2.293019755,       2.089538475,       4.948595919
          0,           0,          37,     -0.5386364412,       2.299770783,       2.093066441,       4.942523606
          0,           0,          38,     -0.4519093297,       2.315968873,       2.187704761,       5.035451516
          0,           0,          39,     -0.4536760649,       2.325399066,       2.191897041,       5.036792839
          0,           0,          40,     -0.5056706011,       2.322085947,        2.13843662,       4.981914514
          0,           0,          41,      -0.507017067,       2.320917631,       2.121913572,       4.978251704
          0,           0,          42,     -0.5053142016,       2.318648843,       2.136686053,        4.97958001
          0,           0,          43,     -0.4943800379,       2.320442953,       2.181100963,       4.987466863
          0,           0,          44,     -0.4336402095,       2.311734532,       2.221941261,       5.056324246
          0,           0,          45,      -0.462308069,       2.296031564,       2.164436721,       5.034781576
          0,           0,          46,     -0.4799339953,       2.306438905,       2.165122099,       5.017882515
          0,           0,          47,     -0.4732034895,       2.322136962,       2.177998192,       5.019435272
          0,           0,          48,     -0.5148603404,       2.316280427,       2.121254833,       4.977391568
          0,           0,          49,     -0.5475900206,       2.310195618,       2.082158124,       4.937656336
          0,           0,          50,     -0.5015127047,       2.313447626,       2.149522163,       4.986390666
          0,           0,          51,     -0.4084041326,       2.328107521,       2.267962309,       5.094364119
          0,           0,          52,     -0.4541659847,       2.317151256,        2.20873981,       5.051075263
          0,           0,          53,     -0.4874826431,       2.293904275,        2.14512874,       5.007284183
          0,           0,          54,     -0.4890011295,       2.303481391,       2.143982494,       5.005239052
          0,           0,          55,     -0.5052541157,       2.325641493,       2.147218133,       4.986452078
          0,           0,          56,     -0.5244650988,       2.320337106,       2.117028457,       4.965635258
          0,           0,          57,     -0.4657389253,       2.313625736,       2.172284767,       5.028791952
          0,           0,          58,      -0.449485438,       2.321212937,       2.200454162,       5.046535679
          0,           0,          59,     -0.4401324823,       2.328806648,       2.240165748,       5.053833509
          0,           0,          60,     -0.4655982537,       2.312899913,       2.191255428,       5.023535337
          0,           0,          61,     -0.5185494656,       2.293739143,       2.101235822,       4.970210926
          0,           0,          62,     -0.5543070875,       2.292680203,       2.058853753,       4.931990538
          0,           0,          63,     -0.5283575048,       2.312172913,       2.118090078,       4.958506594
          0,           0,          64,     -0.4496458964,       2.323019563,       2.203666629,       5.040000491
          0,           0,          65,      -0.473388045,        2.31334616,       2.174425633,       5.015404134
          0,           0,          66,     -0.4953236353,       2.314514585,       2.168346805,       4.992063794
          0,           0,          67,     -0.4857612692,       2.313813623,       2.169288434,       5.001496992
          0,           0,          68,     -0.5186161821,       2.307821078,       2.126201145,       4.966813648
          0,           0,          69,     -0.5404884243,       2.294385852,       2.093479082,       4.942741286
          0,           0,          70,     -0.4512994694,       2.309520482,       2.187313442,       5.043414203
          0,           0,          71,     -0.4613885442,       2.324692131,       2.180263357,       5.041026756
          0,           0,          72,     -0.4620323233,       2.317026837,       2.192515548,       5.034513002
          0,           0,          73,     -0.4773251207,       2.302421157,       2.176266701,       5.015530744
          0,           0,          74,     -0.4994639806,       2.305594176,       2.148388657,       4.992867513
          0,           0,          75,     -0.5210520676,       2.309862703,       2.127224748,       4.967399761
          0,           0,          76,     -0.5293713341,       2.300792782,       2.096660621,       4.956864787
