"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.0402,3.6797e-06,1.081e+06,0,1.7844e-05,0.14614,254.51,0.37505,0,1.0564e-05,4.2981e+05,-2.0273e+16,0,0,0,287.13,0,,0,0,0,0
5.0401,3.6783e-06,1.0809e+06,0,1.7844e-05,0.14618,254.57,0.34594,0,1.0563e-05,4.298e+05,-2.0317e+16,0,0,0,287.13,0,,0.16,0.16,0,0
5.04,3.6768e-06,1.0809e+06,0,1.7843e-05,0.14621,254.62,0.31682,0,1.0562e-05,4.2979e+05,-2.0361e+16,0,0,0,287.12,0,,0.32,0.32,0,0
5.0399,3.6754e-06,1.0809e+06,0,1.7843e-05,0.14625,254.67,0.28771,0,1.0561e-05,4.2977e+05,-2.0405e+16,0,0,0,287.12,0,,0.48,0.48,0,0
5.0398,3.6739e-06,1.0808e+06,0,1.7843e-05,0.14628,254.73,0.25859,0,1.056e-05,4.2976e+05,-2.0448e+16,0,0,0,287.12,0,,0.64,0.64,0,0
5.0397,3.6725e-06,1.0808e+06,0,1.7843e-05,0.14632,254.78,0.22948,0,1.0559e-05,4.2975e+05,-2.0492e+16,0,0,0,287.11,0,,0.8,0.8,0,0
5.0396,3.671e-06,1.0808e+06,0,1.7843e-05,0.14635,254.84,0.20037,0,1.0559e-05,4.2973e+05,-2.0536e+16,0,0,0,287.11,0,,0.96,0.96,0,0
5.0395,3.6696e-06,1.0807e+06,0,1.7843e-05,0.14639,254.89,0.17125,0,1.0558e-05,4.2972e+05,-2.058e+16,0,0,0,287.11,0,,1.12,1.12,0,0
5.0394,3.6682e-06,1.0807e+06,0,1.7842e-05,0.14642,254.95,0.14214,0,1.0557e-05,4.2971e+05,-2.0624e+16,0,0,0,287.1,0,,1.28,1.28,0,0
5.0393,3.6667e-06,1.0807e+06,0,1.7842e-05,0.14646,255,0.11303,0,1.0556e-05,4.2969e+05,-2.0668e+16,0,0,0,287.1,0,,1.44,1.44,0,0
5.0392,3.6653e-06,1.0807e+06,0,1.7842e-05,0.14649,255.05,0.083913,0,1.0555e-05,4.2968e+05,-2.0712e+16,0,0,0,287.1,0,,1.6,1.6,0,0
5.0391,3.6638e-06,1.0806e+06,0,1.7842e-05,0.14653,255.11,0.054799,0,1.0554e-05,4.2967e+05,-2.0756e+16,0,0,0,287.09,0,,1.76,1.76,0,0
5.039,3.6624e-06,1.0806e+06,0,1.7842e-05,0.14656,255.16,0.025685,0,1.0553e-05,4.2965e+05,-2.08e+16,0,0,0,287.09,0,,1.92,1.92,0,0
5.039,3.6618e-06,1.0806e+06,0,1.7842e-05,0.1466,255.22,0.0076319,0,1.0552e-05,4.2964e+05,-2.0824e+16,0,0,0,287.09,0,,2.08,2.08,0,0
5.039,3.6621e-06,1.0806e+06,0,1.7842e-05,0.14664,255.29,0.0006386,0,1.0553e-05,4.2964e+05,-2.0828e+16,0,0,0,287.09,0,,2.24,2.24,0,0
5.0389,3.6623e-06,1.0806e+06,0,1.7842e-05,0.14668,255.36,-0.0063547,0,1.0553e-05,4.2964e+05,-2.0832e+16,0,0,0,287.08,0,,2.4,2.4,0,0
5.0389,3.6625e-06,1.0806e+06,0,1.7842e-05,0.14672,255.43,-0.013348,0,1.0553e-05,4.2964e+05,-2.0837e+16,0,0,0,287.08,0,,2.56,2.56,0,0
5.0389,3.6628e-06,1.0806e+06,0,1.7841e-05,0.14676,255.5,-0.020341,0,1.0553e-05,4.2964e+05,-2.0841e+16,0,0,0,287.08,0,,2.72,2.72,0,0
5.0389,3.663e-06,1.0806e+06,0,1.7841e-05,0.1468,255.57,-0.027334,0,1.0553e-05,4.2964e+05,-2.0846e+16,0,0,0,287.08,0,,2.88,2.88,0,0
5.0389,3.6633e-06,1.0806e+06,0,1.7841e-05,0.14684,255.64,-0.034328,0,1.0553e-05,4.2964e+05,-2.085e+16,0,0,0,287.08,0,,3.04,3.04,0,0
