"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      0.2409519122,        3.26300447,       2.479787027,       5.750477952,       2.499578765
          0,           0,           1,     0.08361363921,       3.088099922,       2.307902491,       5.590979543,       2.355072371
          0,           0,           2,    -0.06252371141,       2.909231078,       2.143386279,       5.438452498,       2.200487085
          0,           0,           3,     -0.1811278448,       2.742974422,       2.025060441,       5.308269059,       2.050691177
          0,           0,           4,      -0.272562081,       2.595911026,       1.950135402,       5.200675669,       1.928234467
          0,           0,           5,     -0.3447881525,       2.471293924,       1.915457495,       5.112287495,       1.846746759
          0,           0,           6,     -0.4018023026,       2.369424657,       1.904284541,       5.040614046,       1.797726557
          0,           0,           7,      -0.447598912,       2.287559934,       1.897889063,        4.98206684,        1.76663131
          0,           0,           8,     -0.4856050774,       2.225235089,       1.905524722,       4.934250015,       1.745783618
          0,           0,           9,     -0.5270041325,        2.17059544,       1.888111415,       4.884267938,       1.730906137
          0,           0,          10,     -0.5516799895,       2.138345529,        1.89755315,       4.856199879,       1.717624934
          0,           0,          11,     -0.5638562988,       2.128797463,       1.901979588,       4.846123298,       1.702751988
          0,           0,          12,      -0.574285463,       2.123235667,       1.891927957,       4.838568106,       1.689156325
          0,           0,          13,     -0.5879777276,       2.108794645,       1.887609909,       4.820483439,       1.677607884
          0,           0,          14,     -0.5888446433,       2.106469822,       1.902561465,       4.823025782,       1.666970748
          0,           0,          15,     -0.5971999981,       2.105377203,       1.892184999,       4.815695878,        1.65691646
          0,           0,          16,     -0.5960562833,       2.110822916,       1.888444383,       4.817361302,       1.647238529
          0,           0,          17,     -0.5938966336,       2.108572557,       1.901847541,       4.820665398,       1.638035352
          0,           0,          18,     -0.5932208122,       2.106160402,       1.890968222,       4.824983216,       1.629206076
          0,           0,          19,     -0.5984782444,       2.103084246,       1.873592538,       4.819951714,       1.620972662
          0,           0,          20,     -0.5908619197,        2.10772947,       1.882826157,       4.828853344,       1.613057337
          0,           0,          21,     -0.5898623841,       2.108645343,       1.914500425,       4.826849906,       1.605568223
          0,           0,          22,      -0.590089058,        2.10353157,       1.893906284,       4.820841718,       1.598315996
          0,           0,          23,     -0.5768387288,       2.110360021,       1.889388952,       4.833146109,       1.591283831
          0,           0,          24,     -0.5774149484,       2.112466734,       1.892440737,       4.832762457,        1.58447002
          0,           0,          25,     -0.5788999666,       2.111779792,        1.91130127,       4.826295249,       1.578029929
          0,           0,          26,     -0.5825331631,       2.103219494,       1.900297725,       4.821188107,       1.571640728
          0,           0,          27,     -0.5767936505,       2.111658358,       1.894111437,       4.829566787,       1.565527858
          0,           0,          28,     -0.5619638236,       2.124139559,       1.910184582,       4.845792151,       1.559448505
          0,           0,          29,      -0.557382635,       2.132961376,        1.94569562,       4.849892864,       1.553775586
          0,           0,          30,     -0.5672968957,       2.120958424,       1.926521293,       4.834235436,       1.548249916
          0,           0,          31,     -0.5665605608,       2.119873608,       1.923280111,       4.832467724,       1.543288905
          0,           0,          32,     -0.5672632044,       2.117062208,        1.91374314,       4.829622196,       1.538385787
          0,           0,          33,     -0.5645268762,        2.11721505,       1.920755826,       4.832509064,       1.533909567
