"Density","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.6682,7.7798e+05,0,1.769e-05,0.14553,183.43,0.22682,0,3.0936e+05,-2.1121e+16,0,0,0,283.96,0,,0,0,0,0
3.6682,7.7798e+05,0,1.769e-05,0.14561,183.53,0.20894,0,3.0935e+05,-2.1137e+16,0,0,0,283.96,0,,0.16,0.16,0,0
3.6681,7.7797e+05,0,1.769e-05,0.14569,183.63,0.19106,0,3.0935e+05,-2.1153e+16,0,0,0,283.95,0,,0.32,0.32,0,0
3.6681,7.7797e+05,0,1.769e-05,0.14577,183.73,0.17319,0,3.0935e+05,-2.1169e+16,0,0,0,283.95,0,,0.48,0.48,0,0
3.6681,7.7797e+05,0,1.769e-05,0.14585,183.83,0.15531,0,3.0934e+05,-2.1184e+16,0,0,0,283.95,0,,0.64,0.64,0,0
3.6681,7.7796e+05,0,1.769e-05,0.14593,183.93,0.13743,0,3.0934e+05,-2.12e+16,0,0,0,283.95,0,,0.8,0.8,0,0
3.668,7.7796e+05,0,1.769e-05,0.14601,184.02,0.11955,0,3.0934e+05,-2.1216e+16,0,0,0,283.95,0,,0.96,0.96,0,0
3.668,7.7795e+05,0,1.769e-05,0.14609,184.12,0.10168,0,3.0933e+05,-2.1232e+16,0,0,0,283.95,0,,1.12,1.12,0,0
3.668,7.7795e+05,0,1.7689e-05,0.14617,184.22,0.083799,0,3.0933e+05,-2.1248e+16,0,0,0,283.95,0,,1.28,1.28,0,0
3.668,7.7795e+05,0,1.7689e-05,0.14625,184.32,0.065922,0,3.0933e+05,-2.1264e+16,0,0,0,283.95,0,,1.44,1.44,0,0
3.6679,7.7794e+05,0,1.7689e-05,0.14633,184.42,0.048044,0,3.0932e+05,-2.128e+16,0,0,0,283.94,0,,1.6,1.6,0,0
3.6679,7.7794e+05,0,1.7689e-05,0.14641,184.52,0.030167,0,3.0932e+05,-2.1295e+16,0,0,0,283.94,0,,1.76,1.76,0,0
