"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       1.559365254,       3.935849403,       3.418779045,       6.925961893
          0,           0,           1,       1.512784613,         3.8355366,       3.340560341,       6.877569096
          0,           0,           2,       1.443765049,       3.749107728,        3.17645377,        6.80362082
          0,           0,           3,       1.364966787,       3.669353212,       3.032789739,       6.719199819
          0,           0,           4,       1.289742103,       3.611332072,       2.939805324,       6.639067955
          0,           0,           5,       1.205198183,       3.549840277,       2.857199136,       6.549178617
          0,           0,           6,       1.110978067,       3.480923436,       2.835459893,       6.457844928
          0,           0,           7,       1.004874444,       3.398367812,       2.820728604,       6.357143851
          0,           0,           8,       0.888451305,       3.298240605,       2.834290707,       6.229725676
          0,           0,           9,       0.755055242,       3.177467366,       2.802819382,       6.126650764
          0,           0,          10,      0.6252844251,       3.072780784,       2.818168302,       5.997749102
          0,           0,          11,      0.5222806687,       3.023671215,       2.834414053,       5.913124533
          0,           0,          12,      0.4469344856,       2.990143047,       2.804882524,       5.861399376
          0,           0,          13,       0.386931558,       2.940133142,       2.758137223,       5.815811027
          0,           0,          14,      0.3513098321,       2.924386714,       2.803564666,       5.788908317
          0,           0,          15,      0.3030456501,       2.892870629,       2.810176962,       5.746862637
          0,           0,          16,      0.2644950669,       2.874923385,       2.776255518,       5.712030248
          0,           0,          17,      0.2427584486,       2.881061738,       2.784185405,       5.697889366
          0,           0,          18,       0.252132463,       2.894473394,       2.817374194,        5.71557984
          0,           0,          19,      0.2345186484,       2.895340197,       2.803106674,       5.702650205
          0,           0,          20,      0.2383182142,       2.902680536,       2.812534647,       5.708296205
          0,           0,          21,      0.2251202617,       2.884891249,        2.78037471,       5.696502079
          0,           0,          22,      0.2250955173,         2.8610597,       2.809754286,       5.700444804
          0,           0,          23,      0.2253052179,       2.864222402,       2.822811962,       5.702749761
          0,           0,          24,      0.2059703262,       2.841984745,       2.788230922,       5.680253387
          0,           0,          25,      0.2040153105,       2.831002668,       2.786036916,        5.67698477
          0,           0,          26,      0.2174530086,       2.841746079,       2.817577391,        5.69068616
          0,           0,          27,      0.2139568766,         2.8389746,        2.80298968,       5.686209197
          0,           0,          28,       0.215174362,        2.83559875,       2.790836079,       5.687248209
          0,           0,          29,      0.2097243685,       2.845830959,       2.782890309,       5.680688624
          0,           0,          30,      0.2162047235,       2.845981333,       2.789746432,       5.686276109
          0,           0,          31,      0.2193348278,       2.858870327,       2.808456834,       5.690381708
          0,           0,          32,      0.2250239778,       2.865273767,        2.82330589,       5.694330174
          0,           0,          33,      0.2215713336,       2.858462489,       2.784156161,       5.690041344
          0,           0,          34,      0.2384702141,       2.870432253,       2.803386748,       5.705431886
          0,           0,          35,       0.249970569,       2.892579718,       2.821582987,       5.717005605
          0,           0,          36,      0.2473849968,       2.895207336,       2.802956764,       5.706303495
          0,           0,          37,      0.2416079307,        2.88370418,       2.797864839,       5.700363596
          0,           0,          38,      0.2542449759,       2.895916376,       2.815738929,       5.712978263
          0,           0,          39,      0.2636647717,       2.897005542,       2.827411907,       5.723299684
          0,           0,          40,      0.2496632701,       2.885657759,       2.803323663,       5.706906541
          0,           0,          41,      0.2534368614,       2.885124738,        2.81162865,       5.710477855
          0,           0,          42,      0.2470494334,       2.880235295,       2.797662761,       5.705218805
          0,           0,          43,      0.2380981568,       2.870911396,       2.772291385,       5.695292963
          0,           0,          44,      0.2351346158,       2.865657468,       2.798825099,       5.692795132
          0,           0,          45,      0.2326348566,       2.857967091,       2.792405616,       5.692406152
          0,           0,          46,      0.2335776238,        2.84768137,       2.796917241,       5.696142414
          0,           0,          47,      0.2284724718,       2.851114019,       2.804270956,        5.69423328
          0,           0,          48,      0.2298885952,       2.844897373,        2.80690378,       5.696735381
          0,           0,          49,      0.2233412744,       2.837912375,       2.791331123,       5.691924183
          0,           0,          50,      0.2017522645,       2.816600063,       2.745076769,        5.66734729
          0,           0,          51,      0.2224183997,       2.843788976,       2.806774855,       5.692636726
          0,           0,          52,      0.2122148573,       2.837731003,       2.785363849,       5.683755947
          0,           0,          53,      0.2093337589,       2.824335934,        2.80219118,        5.68009082
          0,           0,          54,       0.208222138,       2.833875643,       2.784516389,        5.68195612
          0,           0,          55,      0.2114107308,       2.837713314,        2.82193444,       5.684528814
          0,           0,          56,      0.2105276494,        2.83457695,       2.820715675,       5.686377111
          0,           0,          57,      0.1845120174,       2.805901765,       2.763823919,       5.659199441
          0,           0,          58,      0.1847706771,       2.800760177,       2.754865979,       5.659158858
          0,           0,          59,      0.1898876241,       2.803198353,        2.77860632,        5.66646545
          0,           0,          60,      0.1977396376,       2.813440283,       2.815775857,       5.673959786
          0,           0,          61,      0.1981878682,       2.809499798,       2.801794025,       5.677104849
          0,           0,          62,       0.191328902,       2.805970419,       2.774104355,       5.670566311
          0,           0,          63,      0.1928789979,        2.80425738,       2.800353561,       5.672666024
          0,           0,          64,      0.1953804173,       2.815294205,       2.818650817,        5.67519531
          0,           0,          65,      0.1838907926,       2.805796317,       2.781832044,       5.663833941
          0,           0,          66,      0.1894669082,       2.809453025,       2.781619031,       5.668179153
          0,           0,          67,      0.1925150271,       2.814276357,       2.799940434,       5.675109731
          0,           0,          68,      0.1859232403,       2.805164843,       2.791962969,        5.66690666
          0,           0,          69,      0.1822072026,       2.808499817,       2.787654539,       5.662117101
          0,           0,          70,      0.1966356423,       2.821646211,       2.813150549,       5.677089555
          0,           0,          71,      0.2996097543,        2.88670939,       2.802939407,       5.781984743
          0,           0,          72,      0.2100801221,       2.822975601,       2.793428894,       5.696439779
          0,           0,          73,      0.1988478916,       2.817305377,       2.791453261,       5.680692674
          0,           0,          74,      0.1908157698,       2.804014596,        2.78834374,        5.67086225
          0,           0,          75,      0.1917443127,       2.807537429,       2.805244593,       5.673602093
          0,           0,          76,      0.1913524062,       2.812284728,        2.81413701,       5.673282873
          0,           0,          77,      0.1846405996,       2.800590715,       2.797886761,       5.666574208
          0,           0,          78,      0.1788232405,       2.792841699,       2.775625323,       5.660012994
          0,           0,          79,      0.1920201082,       2.806891894,       2.812456237,       5.673865628
          0,           0,          80,      0.1880443123,       2.800854462,       2.802193686,       5.670154081
          0,           0,          81,      0.1842511135,       2.800143742,       2.799113274,       5.665824779
          0,           0,          82,      0.1880821962,       2.811112493,       2.808670487,       5.671658942
          0,           0,          83,      0.1882565412,       2.801865915,       2.797753005,       5.671736904
          0,           0,          84,      0.1707650091,       2.788785778,       2.769852045,        5.65250961
          0,           0,          85,       0.182289372,       2.798555503,       2.800464354,        5.66368748
          0,           0,          86,      0.1764469154,       2.789219176,          2.782707,       5.660123155
          0,           0,          87,      0.1927795174,       2.799287118,       2.820162272,       5.676262828
          0,           0,          88,      0.1913040231,       2.809236275,       2.818099976,       5.676970068
          0,           0,          89,       0.164953856,       2.782919954,       2.766761309,       5.647698424
          0,           0,          90,      0.1691838409,       2.783449143,       2.763790479,       5.651916313
          0,           0,          91,      0.1774904431,       2.795809947,       2.791087504,        5.66220052
          0,           0,          92,      0.1857753147,       2.792571881,       2.802769391,       5.669007249
          0,           0,          93,      0.1794268242,       2.793917393,       2.790754497,       5.665814625
          0,           0,          94,      0.1860802559,       2.808111786,       2.808341924,       5.670368416
          0,           0,          95,      0.1806230104,       2.795352891,       2.798547817,       5.665969978
          0,           0,          96,      0.1789251733,       2.786584262,       2.791602223,       5.662758918
          0,           0,          97,      0.1735726825,       2.786693247,       2.785921065,       5.658455428
          0,           0,          98,      0.1659953725,       2.781490668,       2.766813699,       5.650844496
          0,           0,          99,      0.1773589754,       2.785447112,       2.798137322,       5.662308506
          0,           0,         100,      0.1742022463,       2.795976702,       2.795455884,       5.660497891
          0,           0,         101,      0.1712636693,       2.768655654,       2.791175629,       5.655695742
          0,           0,         102,      0.1726082763,        2.77957328,       2.773899532,       5.658341173
          0,           0,         103,       0.178143873,        2.79445081,       2.810413771,        5.66337492
          0,           0,         104,      0.1707197653,       2.777378787,       2.787074911,       5.657360695
          0,           0,         105,      0.1772594585,       2.777498681,       2.803314599,       5.662902707
          0,           0,         106,      0.1840665956,       2.802464787,       2.808200951,        5.67146424
          0,           0,         107,      0.1752909969,       2.777041573,       2.788188607,       5.661911085
          0,           0,         108,      0.1592679449,        2.76651449,       2.758019295,       5.644358145
          0,           0,         109,      0.1814371121,       2.779892527,       2.810454629,       5.667265041
          0,           0,         110,      0.1806700864,        2.78424027,       2.776668995,       5.662892242
          0,           0,         111,      0.1805236742,        2.79357638,       2.795795323,       5.663456628
          0,           0,         112,      0.1784762426,       2.796831209,       2.803013593,       5.664149807
          0,           0,         113,      0.1748655341,       2.781663715,       2.781227366,       5.657965757
          0,           0,         114,      0.1748061371,       2.790521937,        2.76860163,       5.658337943
          0,           0,         115,        0.18056953,       2.804262439,       2.798664861,       5.665035437
          0,           0,         116,      0.1441925133,       2.749625562,       2.736012286,       5.625115928
          0,           0,         117,      0.1184889601,        2.72045871,       2.713151898,       5.594714708
          0,           0,         118,      0.0593986606,       2.649892807,       2.574720563,       5.526963484
          0,           0,         119,     0.03422990776,       2.621718778,       2.476877499,       5.494987976
          0,           0,         120,     0.02744353989,       2.621956867,       2.479781207,       5.487814406
          0,           0,         121,     0.03735947361,       2.613342298,       2.491661172,       5.498703984
          0,           0,         122,     0.07362128911,       2.670823734,       2.652448338,       5.541104956
          0,           0,         123,     0.04095772188,       2.640005614,       2.522702536,       5.505478147
          0,           0,         124,     0.06977756515,       2.655191985,       2.592802307,         5.5370183
          0,           0,         125,      0.1105582491,       2.715462492,       2.707116472,       5.585090198
          0,           0,         126,       0.108906194,       2.720396891,       2.687739211,       5.585324632
          0,           0,         127,     0.09350071899,       2.688192844,       2.700408062,       5.566718385
          0,           0,         128,     0.02551704887,       2.618146004,       2.479533374,       5.487840943
          0,           0,         129,    0.009586706752,       2.586411567,       2.394126194,       5.468690649
          0,           0,         130,    0.002881229047,       2.587005521,       2.351726293,        5.45961488
          0,           0,         131,    0.001294203792,       2.576777031,       2.349021043,       5.458102197
          0,           0,         132,      0.0293520369,       2.619563773,       2.530174883,       5.489902019
          0,           0,         133,     0.02915515518,       2.652556699,       2.573556596,       5.490656884
          0,           0,         134,     0.01928885978,       2.607225579,       2.460839306,       5.479598428
          0,           0,         135,     0.04421723832,       2.665535968,       2.575613166,       5.507324267
          0,           0,         136,     0.06807699224,       2.677056887,        2.60937095,       5.536769018
          0,           0,         137,     0.06822306352,       2.670515864,       2.595756894,       5.537487617
          0,           0,         138,      0.1071199676,       2.722273582,       2.709141189,        5.57912714
          0,           0,         139,      0.1258946704,        2.74598637,       2.731244695,       5.601127517
          0,           0,         140,      0.1113990263,       2.733063222,       2.692790454,       5.587231986
          0,           0,         141,      0.1305810907,       2.739671279,       2.724329882,       5.606823942
          0,           0,         142,      0.1545248991,       2.785440071,       2.773500272,       5.634656724
          0,           0,         143,      0.1079346447,       2.716127066,       2.684554502,       5.583488396
          0,           0,         144,     0.08195817161,       2.668577757,       2.631493512,       5.554667484
          0,           0,         145,     0.03189996695,       2.611770379,       2.501124751,       5.494569835
          0,           0,         146,     0.02868151184,       2.603696047,       2.461360488,       5.488927639
          0,           0,         147,     0.05596746796,        2.63300045,       2.560928517,       5.522559471
          0,           0,         148,     0.07421453328,       2.658850464,       2.636442532,       5.542737839
          0,           0,         149,     0.07745552457,       2.688634157,       2.648362429,       5.548820959
          0,           0,         150,     0.09632335131,       2.694061279,       2.656089492,       5.569688349
          0,           0,         151,      0.1027458866,       2.684699868,       2.654626537,       5.580818611
          0,           0,         152,     0.08820396351,       2.688153246,       2.675536012,       5.562511119
          0,           0,         153,      0.1016842988,       2.698625573,       2.709651807,       5.577055699
          0,           0,         154,     0.08427860694,       2.669793519,       2.626217166,       5.559102058
          0,           0,         155,     0.07791363843,        2.66332456,       2.649337145,       5.550384112
          0,           0,         156,     0.07682976753,       2.688800179,       2.646251748,       5.549247446
          0,           0,         157,      0.1076549227,       2.687676542,       2.709337849,       5.584616471
          0,           0,         158,      0.1100735528,       2.705607272,        2.69589408,       5.588430684
          0,           0,         159,     0.05161888036,       2.628777607,       2.568234442,       5.521767689
          0,           0,         160,     0.02757526594,       2.579378542,       2.534067401,       5.495145941
          0,           0,         161,    0.007256795196,        2.57531233,       2.430589445,       5.469856233
          0,           0,         162,     0.01249037165,       2.597989898,       2.407660639,        5.47577925
          0,           0,         163,     0.03969032723,       2.643227054,        2.55418225,       5.506975379
          0,           0,         164,     0.05384141756,       2.655846482,       2.592200737,       5.524081135
          0,           0,         165,     0.07245617633,       2.677960268,       2.629278901,       5.545289953
          0,           0,         166,      0.1020787254,       2.670193141,       2.673684167,       5.578852642
          0,           0,         167,      0.1042236905,       2.694878539,       2.685008184,        5.58315117
          0,           0,         168,     0.07172970654,       2.675291368,        2.67340639,       5.544808091
          0,           0,         169,     0.03500814755,       2.609917563,        2.53150273,       5.502617181
          0,           0,         170,     0.01144741195,       2.576797399,       2.425725477,       5.474157806
          0,           0,         171,    0.007755193262,       2.574031755,       2.404808218,       5.469043947
          0,           0,         172,     0.02261002574,       2.602473954,        2.50439132,       5.486425035
          0,           0,         173,    0.003149736338,       2.588679881,       2.402272914,       5.466080284
          0,           0,         174,      0.0279823949,       2.609696383,       2.526511888,       5.493551603
          0,           0,         175,     0.04321756409,       2.662050724,       2.583922335,       5.512223149
          0,           0,         176,     0.04615127454,       2.630013624,       2.588055372,       5.515543333
          0,           0,         177,     0.04121639294,       2.637254738,       2.533675408,       5.512745009
          0,           0,         178,      0.0550940703,       2.642034691,       2.584568277,       5.527711742
          0,           0,         179,      0.0841709298,       2.705082015,       2.676646574,       5.559492794
          0,           0,         180,      0.1162744759,       2.724527038,       2.735978676,       5.594494275
          0,           0,         181,     0.08180861598,       2.680869264,       2.651720891,       5.556700485
          0,           0,         182,     0.05026010973,       2.625079539,       2.562038395,       5.519783826
          0,           0,         183,  -6.305140248e-05,       2.570998361,       2.413248443,       5.462560449
          0,           0,         184,       0.013200751,       2.583544787,       2.471824544,       5.477423513
          0,           0,         185,    0.004540859699,        2.58797555,       2.409557859,       5.466864946
          0,           0,         186,     0.01762767963,       2.600918129,       2.520625948,       5.482304231
          0,           0,         187,  -0.0007103693914,       2.571850544,       2.381830847,       5.461369867
          0,           0,         188,     0.05415611317,       2.666487784,       2.647955711,       5.524330997
          0,           0,         189,      0.0368761888,       2.642593886,       2.536735736,       5.507392767
          0,           0,         190,     0.08593720863,       2.670108063,       2.653871787,       5.560711516
          0,           0,         191,     0.09514127927,       2.691013171,       2.694052796,       5.573307759
          0,           0,         192,     0.06654772862,       2.649292207,        2.60048133,       5.539109983
          0,           0,         193,     0.03390132317,        2.65102877,       2.588161877,       5.501544359
          0,           0,         194,    0.006113042223,       2.582301432,       2.425106765,       5.469573182
          0,           0,         195,      0.0269665126,       2.630310648,       2.529907847,       5.493802485
          0,           0,         196,     0.03562795795,        2.60794622,       2.514484612,       5.502950989
          0,           0,         197,     0.06880429608,       2.654294017,       2.634042159,       5.540685779
          0,           0,         198,     0.08321274125,        2.65320041,       2.660717936,        5.55741519
          0,           0,         199,      0.1002758306,       2.681355432,       2.682525073,       5.577270444
          0,           0,         200,     0.04876853608,       2.634918855,       2.547939851,       5.518531204
          0,           0,         201,     0.01875354074,       2.599604181,       2.476910569,       5.484274856
          0,           0,         202,     0.01763569894,       2.609835725,       2.464053162,        5.48217731
          0,           0,         203,     0.02915559628,       2.609583881,       2.520965407,        5.49609053
          0,           0,         204,     0.02317295368,       2.627573916,       2.512704052,       5.490012144
          0,           0,         205,     0.06218360325,       2.643586554,       2.644324353,       5.533745582
          0,           0,         206,     0.04898915806,       2.627883425,       2.553257347,       5.520883796
          0,           0,         207,      0.1045870076,       2.697553444,       2.690645409,       5.581163932
          0,           0,         208,      0.1182661079,       2.735432911,       2.731367281,       5.597960743
          0,           0,         209,     0.06792872452,       2.643565727,       2.612156088,       5.543148228
          0,           0,         210,     0.04716002006,       2.633202681,       2.611881887,       5.517587892
          0,           0,         211,     0.02199481908,       2.597269498,       2.470190888,       5.487349646
          0,           0,         212,     0.05310286068,       2.634782958,       2.599989346,       5.522913844
          0,           0,         213,     0.05445463432,       2.657998636,        2.62176611,       5.526666301
          0,           0,         214,     0.05776776735,       2.637271087,       2.593287322,       5.528563817
          0,           0,         215,     0.05411723536,       2.611406344,       2.566170993,       5.526543177
          0,           0,         216,     0.09316256493,       2.663276856,       2.655385608,       5.568327307
          0,           0,         217,      0.1081655039,        2.69547985,       2.691292646,       5.586725506
          0,           0,         218,     0.07099738834,       2.647730768,       2.613020898,       5.544679419
          0,           0,         219,     0.06096936479,       2.654608359,       2.656490038,       5.531574313
          0,           0,         220,     0.01206523341,       2.586230938,       2.424516859,       5.475453133
          0,           0,         221,   -0.009732096216,       2.548312138,       2.356738608,       5.449156788
          0,           0,         222,    -0.01906027097,       2.532373584,       2.323018757,       5.438300283
          0,           0,         223,    -0.02239963923,       2.526101221,       2.305350696,       5.434506331
          0,           0,         224,    -0.01512470241,       2.546925377,       2.375996735,        5.44380359
          0,           0,         225,    -0.02573773906,       2.520809122,        2.27520097,       5.431009418
          0,           0,         226,    -0.02716755068,       2.519266466,       2.261974607,       5.429098738
          0,           0,         227,    -0.02961686826,       2.512698599,       2.238550999,       5.427019016
          0,           0,         228,    -0.01927396004,       2.547029797,       2.323947606,       5.439059524
          0,           0,         229,    -0.03018375613,       2.519455032,       2.248719498,       5.426373785
          0,           0,         230,    -0.03427220782,       2.511580378,       2.225837933,        5.42135589
          0,           0,         231,    -0.03673366901,        2.50629173,       2.202356097,       5.418483001
          0,           0,         232,     -0.0396066883,       2.499296817,        2.16038887,       5.414891248
          0,           0,         233,    -0.03998148575,       2.498919608,       2.154932237,       5.414376311
          0,           0,         234,    -0.04113694367,       2.497078642,       2.146942125,       5.413109342
          0,           0,         235,    -0.03914672452,        2.50307537,       2.165446406,       5.415558896
          0,           0,         236,    -0.04035521911,       2.500728488,       2.152592242,       5.414105042
          0,           0,         237,    -0.03607217295,       2.511892015,       2.193301195,       5.419259195
          0,           0,         238,    -0.03779767671,        2.50919457,       2.184106415,       5.417516463
          0,           0,         239,    -0.03464026194,       2.517370153,       2.191447491,       5.421391227
