time_s_	ZT	GammaT	P_C17_bar_	U_P_C17_bar_	TT_TCJ11_celsius_	U_TT_TCJ11_celsius_	P_1_EMPTY_bar_	P_2_EMPTY_bar_	P_A40_bar_	P_4_EMPTY_bar_	P_5_EMPTY_bar_	P_6_EMPTY_bar_	P_P35_bar_	P_R21_bar_	P_Q21_bar_	P_D14_bar_	P_T14_bar_	P_S14_bar_	P_F10_bar_	P_G7_bar_	P_H7_bar_	P_I7_bar_	U_P_1_EMPTY_bar_	U_P_2_EMPTY_bar_	U_P_A40_bar_	U_P_4_EMPTY_bar_	U_P_5_EMPTY_bar_	U_P_6_EMPTY_bar_	U_P_P35_bar_	U_P_R21_bar_	U_P_Q21_bar_	U_P_D14_bar_	U_P_T14_bar_	U_P_S14_bar_	U_P_F10_bar_	U_P_G7_bar_	U_P_H7_bar_	U_P_I7_bar_	Pratio_1_EMPTY	Pratio_2_EMPTY	Pratio_A40	Pratio_4_EMPTY	Pratio_5_EMPTY	Pratio_6_EMPTY	Pratio_P35	Pratio_R21	Pratio_Q21	Pratio_D14	Pratio_T14	Pratio_S14	Pratio_F10	Pratio_G7	Pratio_H7	Pratio_I7	U_Pratio_1_EMPTY	U_Pratio_2_EMPTY	U_Pratio_A40	U_Pratio_4_EMPTY	U_Pratio_5_EMPTY	U_Pratio_6_EMPTY	U_Pratio_P35	U_Pratio_R21	U_Pratio_Q21	U_Pratio_D14	U_Pratio_T14	U_Pratio_S14	U_Pratio_F10	U_Pratio_G7	U_Pratio_H7	U_Pratio_I7
0	0.996636169406522	1.00982917308785	0.168154	0.012372	234.343177	1.147012	0	0	0.168453	0	0	0	0.167829	0.167751	0.167288	0.168097	0.16956	0.168169	0.167625	0.168119	0.168104	0.168379	0	0	0.033172	0	0	0	0.027877	0.012356	0.016471	0.0096	0.009887	0.017142	0.014282	0.007781	0.019332	0.00721	0	0	1.00177813195047	0	0	0	0.99806724787992	0.9976033873711	0.994849958966186	0.999661025012786	1.00836138301795	1.000089203944	0.996854074241469	0.999791857463991	0.999702653519988	1.00133805916006	0	0	0.210591247949045	0	0	0	0.181318207459209	0.103859395591545	0.122279587063027	0.0931074647743387	0.0946645000120346	0.125724035369115	0.112219105495267	0.086903878803319	0.136481916945982	0.0852426304279622
0.100116	0.996638413461448	1.00983114461727	0.16804	0.012041	234.341277	1.147461	0	0	0.16896	0	0	0	0.167723	0.168058	0.168497	0.16844	0.168496	0.168161	0.167761	0.168199	0.168012	0.16806	0	0	0.039788	0	0	0	0.027395	0.012511	0.016829	0.009482	0.008421	0.017177	0.014639	0.007997	0.019366	0.007138	0	0	1.00547488693168	0	0	0	0.998113544394192	1.00010711735301	1.00271959057367	1.00238038562247	1.00271363960962	1.0007200666508	0.998339681028327	1.00094620328493	0.999833373006427	1.00011901928112	0	0	0.24749590405517	0	0	0	0.178024877990915	0.103338257736407	0.123256892423423	0.0913400424859057	0.0875999024846818	0.124863065413036	0.112724039674993	0.086075751220424	0.135700161541957	0.0833073839098054
0.200233	0.996636011259202	1.00982915885917	0.168152	0.012257	234.33464	1.147285	0	0	0.167959	0	0	0	0.169205	0.169219	0.16872	0.16865	0.168342	0.168189	0.167862	0.168122	0.167958	0.168615	0	0	0.032942	0	0	0	0.027328	0.014151	0.017167	0.01036	0.008399	0.017106	0.0143	0.00795	0.01934	0.009786	0	0	0.998852228935725	0	0	0	1.00626219135068	1.00634544935535	1.00337789618916	1.00296160616585	1.00112993006328	1.00022003901232	0.998275369903421	0.999821589990009	0.998846281935392	1.00275346115419	0	0	0.20899833429166	0	0	0	0.178305025762354	0.111638598254003	0.125586877261211	0.0956071326025679	0.088431904899933	0.125157925662551	0.111924742326659	0.0868715994156158	0.136123082504205	0.0934319576869591
0.300349	0.996639916041912	1.009832473039	0.167963	0.012133	234.339426	1.151905	0	0	0.168143	0	0	0	0.167836	0.168252	0.16792	0.168419	0.168399	0.168178	0.168004	0.167949	0.1677	0.168133	0	0	0.032816	0	0	0	0.02766	0.012598	0.016725	0.009609	0.008324	0.017164	0.014295	0.008426	0.019356	0.007269	0	0	1.0010716645928	0	0	0	0.99924388109286	1.00172061704066	0.999743991236165	1.00271488363509	1.00259580979144	1.00128004381917	1.00024410137947	0.999916648309449	0.998434178956079	1.00101212767098	0	0	0.20832948439198	0	0	0	0.179803747080553	0.104219600481339	0.123006788920835	0.092300082291852	0.0877566782757237	0.125196067079234	0.111642220860868	0.087942024440465	0.13594820063236	0.0842707621612083
0.400466	0.996637959102875	1.00983070914638	0.168066	0.012131	234.344185	1.146976	0	0	0.16786	0	0	0	0.16847	0.168657	0.167653	0.168911	0.168753	0.168243	0.167751	0.168023	0.167954	0.168151	0	0	0.033001	0	0	0	0.027177	0.0123	0.016821	0.009752	0.008511	0.017034	0.014384	0.007779	0.019364	0.007178	0	0	0.998774291052325	0	0	0	1.00240381754787	1.00351647567027	0.997542632061214	1.00502778670284	1.00408767984006	1.00105315768805	0.998125736317875	0.999744148132281	0.999333595135244	1.000505753692	0	0	0.209173151124433	0	0	0	0.177153371939924	0.102969787966239	0.123294438118837	0.0928942944675308	0.0884144894583312	0.124472355702086	0.11187181354639	0.0857299282015139	0.135933372989444	0.0839006207149407
0.500582	0.99664093517802	1.00983343348736	0.167906	0.012227	234.334038	1.147346	0	0	0.168899	0	0	0	0.168934	0.168306	0.167812	0.1685	0.168793	0.168005	0.168044	0.168137	0.167737	0.167977	0	0	0.032719	0	0	0	0.027551	0.012401	0.016715	0.009581	0.008246	0.017098	0.014233	0.007846	0.019344	0.007156	0	0	1.00591402332257	0	0	0	1.00612247328863	1.00238228532631	0.999440162948316	1.00353769370958	1.0052827177111	1.00058961561826	1.00082188843758	1.00137576977595	0.998993484449633	1.00042285564542	0	0	0.20817803852597	0	0	0	0.179700101414224	0.103840979442726	0.123316838931666	0.0927170345579916	0.0881525536078206	0.125214177841975	0.111790446449066	0.0866082119431284	0.136253011065192	0.0844020033444114
0.600699	0.996635160675019	1.00982842658831	0.168194	0.011912	234.334316	1.147188	0	0	0.167794	0	0	0	0.168884	0.16805	0.168131	0.168458	0.168503	0.167753	0.167691	0.168097	0.167946	0.16827	0	0	0.032997	0	0	0	0.027125	0.012624	0.016604	0.009449	0.008419	0.017007	0.014313	0.007751	0.019337	0.007173	0	0	0.997621793880876	0	0	0	1.00410240555549	0.999143845797115	0.999625432536238	1.00156961603862	1.00183716422702	0.997378027753665	0.997009405805201	0.999423285016112	0.998525512206143	1.00045185916263	0	0	0.208519286489063	0	0	0	0.176254997533832	0.103153963028528	0.12148104653985	0.0904861992548412	0.0868324455721828	0.123344823403848	0.110578637223819	0.0844619253224412	0.13497723192946	0.0826995180860104
0.700815	0.996634913164242	1.00982829081204	0.1682	0.012218	234.328847	1.147054	0	0	0.167857	0	0	0	0.169134	0.167783	0.167757	0.168141	0.168734	0.168037	0.167901	0.168347	0.167882	0.168312	0	0	0.033137	0	0	0	0.02725	0.01231	0.01668	0.009547	0.0083	0.017121	0.01432	0.007803	0.019343	0.007225	0	0	0.997960760998811	0	0	0	1.00555291319857	0.997520808561237	0.997366230677764	0.999649227110583	1.00317479191439	0.999030915576694	0.998222354340071	1.00087395957194	0.998109393579072	1.00066587395957	0	0	0.209923266668956	0	0	0	0.177714302134008	0.102988776204411	0.122812844323971	0.0921656284465343	0.0880063318248309	0.125009663574627	0.111830452266118	0.086243252729453	0.135947031322066	0.0844314732622325
0.800931	0.996640083050005	1.00983275063135	0.167944	0.012244	234.330186	1.147486	0	0	0.167912	0	0	0	0.16829	0.168558	0.168612	0.168286	0.168433	0.168459	0.167897	0.168014	0.167975	0.16823	0	0	0.033178	0	0	0	0.027234	0.012137	0.016869	0.009529	0.008434	0.017129	0.014291	0.007778	0.019349	0.007213	0	0	0.999809460296289	0	0	0	1.00206021054637	1.00365598056495	1.00397751631496	1.00203639308341	1.00291168484733	1.0030664983566	0.999720144810175	1.00041680560187	1.00018458533797	1.00170294860191	0	0	0.210572345211393	0	0	0	0.177857676480691	0.102843546758357	0.12428426696641	0.0924996052419952	0.0887024997211102	0.125500038070234	0.112040900031848	0.0863973785354116	0.136347784085258	0.0847224722412994
0.901048	0.996640904104843	1.00983346317944	0.167903	0.012242	234.330102	1.147637	0	0	0.16899	0	0	0	0.168128	0.167788	0.167741	0.168245	0.168444	0.168391	0.168027	0.168088	0.167766	0.168233	0	0	0.033409	0	0	0	0.027729	0.013029	0.016655	0.0097	0.008567	0.017226	0.014308	0.007869	0.019357	0.00871	0	0	1.00647397604569	0	0	0	1.00134005943908	0.999315080731136	0.999035157203862	1.0020368903474	1.00322209847352	1.00290644002787	1.00073852164643	1.00110182664991	0.999184052697093	1.00196542051065	0	0	0.21207858617651	0	0	0	0.180567050577937	0.106443709581252	0.123066106722733	0.0931410440903646	0.0891837775668926	0.125986925371537	0.112185713318746	0.086742207553939	0.136375988517932	0.0895990369847498
