"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
87.019,5.2277e-06,1.1098e+08,0,2.7011e-05,0.16911,1441.9,0.18211,0,9.1091e-07,1.406e+06,-2.9115e+16,0,0,0,508.49,0,,0,0,0,0
87.019,5.2279e-06,1.1098e+08,0,2.7011e-05,0.16915,1442.2,0.14751,0,9.1092e-07,1.406e+06,-2.9123e+16,0,0,0,508.49,0,,0.16,0.16,0,0
87.019,5.2282e-06,1.1098e+08,0,2.7011e-05,0.16918,1442.5,0.11292,0,9.1094e-07,1.406e+06,-2.913e+16,0,0,0,508.49,0,,0.32,0.32,0,0
87.018,5.2284e-06,1.1098e+08,0,2.7011e-05,0.16922,1442.9,0.07832,0,9.1095e-07,1.4059e+06,-2.9138e+16,0,0,0,508.49,0,,0.48,0.48,0,0
87.018,5.2287e-06,1.1098e+08,0,2.7011e-05,0.16926,1443.2,0.043725,0,9.1097e-07,1.4059e+06,-2.9145e+16,0,0,0,508.49,0,,0.64,0.64,0,0
87.018,5.2289e-06,1.1098e+08,0,2.7011e-05,0.16929,1443.5,0.0091297,0,9.1098e-07,1.4059e+06,-2.9153e+16,0,0,0,508.49,0,,0.8,0.8,0,0
87.017,5.2292e-06,1.1098e+08,0,2.7011e-05,0.16933,1443.8,-0.025466,0,9.11e-07,1.4059e+06,-2.916e+16,0,0,0,508.49,0,,0.96,0.96,0,0
87.017,5.2295e-06,1.1098e+08,0,2.7011e-05,0.16936,1444.1,-0.060061,0,9.1101e-07,1.4059e+06,-2.9168e+16,0,0,0,508.49,0,,1.12,1.12,0,0
87.017,5.2297e-06,1.1098e+08,0,2.7011e-05,0.1694,1444.4,-0.094656,0,9.1103e-07,1.4059e+06,-2.9175e+16,0,0,0,508.49,0,,1.28,1.28,0,0
87.016,5.23e-06,1.1098e+08,0,2.7011e-05,0.16944,1444.7,-0.12925,0,9.1104e-07,1.4059e+06,-2.9182e+16,0,0,0,508.49,0,,1.44,1.44,0,0
87.016,5.2302e-06,1.1098e+08,0,2.7011e-05,0.16947,1445,-0.16385,0,9.1106e-07,1.4059e+06,-2.919e+16,0,0,0,508.49,0,,1.6,1.6,0,0
87.016,5.2305e-06,1.1098e+08,0,2.7011e-05,0.16951,1445.3,-0.19844,0,9.1107e-07,1.4059e+06,-2.9197e+16,0,0,0,508.49,0,,1.76,1.76,0,0
87.015,5.2307e-06,1.1098e+08,0,2.7011e-05,0.16955,1445.6,-0.23304,0,9.1109e-07,1.4059e+06,-2.9205e+16,0,0,0,508.49,0,,1.92,1.92,0,0
87.015,5.2311e-06,1.1098e+08,0,2.7011e-05,0.16959,1446,-0.2698,0,9.1111e-07,1.4059e+06,-2.9219e+16,0,0,0,508.49,0,,2.08,2.08,0,0
87.014,5.2317e-06,1.1097e+08,0,2.7011e-05,0.16966,1446.6,-0.30907,0,9.1115e-07,1.4059e+06,-2.9239e+16,0,0,0,508.49,0,,2.24,2.24,0,0
87.013,5.2323e-06,1.1097e+08,0,2.7011e-05,0.16972,1447.1,-0.34835,0,9.1118e-07,1.4059e+06,-2.926e+16,0,0,0,508.49,0,,2.4,2.4,0,0
87.012,5.2329e-06,1.1097e+08,0,2.7011e-05,0.16979,1447.6,-0.38763,0,9.1122e-07,1.4059e+06,-2.9281e+16,0,0,0,508.49,0,,2.56,2.56,0,0
87.011,5.2335e-06,1.1097e+08,0,2.7011e-05,0.16985,1448.2,-0.4269,0,9.1126e-07,1.4059e+06,-2.9302e+16,0,0,0,508.49,0,,2.72,2.72,0,0
87.01,5.2341e-06,1.1097e+08,0,2.7011e-05,0.16991,1448.7,-0.46618,0,9.1129e-07,1.4059e+06,-2.9322e+16,0,0,0,508.49,0,,2.88,2.88,0,0
87.009,5.2347e-06,1.1097e+08,0,2.7011e-05,0.16998,1449.2,-0.50546,0,9.1133e-07,1.4059e+06,-2.9343e+16,0,0,0,508.49,0,,3.04,3.04,0,0
87.009,5.2353e-06,1.1097e+08,0,2.7011e-05,0.17004,1449.8,-0.54473,0,9.1137e-07,1.4059e+06,-2.9364e+16,0,0,0,508.49,0,,3.2,3.2,0,0
87.008,5.2359e-06,1.1097e+08,0,2.7011e-05,0.17011,1450.3,-0.58401,0,9.114e-07,1.4058e+06,-2.9385e+16,0,0,0,508.49,0,,3.36,3.36,0,0
87.007,5.2365e-06,1.1097e+08,0,2.7011e-05,0.17017,1450.9,-0.62329,0,9.1144e-07,1.4058e+06,-2.9405e+16,0,0,0,508.49,0,,3.52,3.52,0,0
87.006,5.2371e-06,1.1096e+08,0,2.7011e-05,0.17023,1451.4,-0.66256,0,9.1148e-07,1.4058e+06,-2.9426e+16,0,0,0,508.49,0,,3.68,3.68,0,0
87.005,5.2377e-06,1.1096e+08,0,2.7011e-05,0.1703,1451.9,-0.70184,0,9.1151e-07,1.4058e+06,-2.9447e+16,0,0,0,508.49,0,,3.84,3.84,0,0
87.004,5.2383e-06,1.1096e+08,0,2.7011e-05,0.17036,1452.5,-0.74112,0,9.1155e-07,1.4058e+06,-2.9467e+16,0,0,0,508.49,0,,4,4,0,0
87.003,5.2388e-06,1.1096e+08,0,2.7011e-05,0.17046,1453.3,-0.7798,0,9.1159e-07,1.4058e+06,-2.9501e+16,0,0,0,508.49,0,,4.16,4.16,0,0
87.001,5.2393e-06,1.1096e+08,0,2.7011e-05,0.17055,1454.1,-0.81843,0,9.1163e-07,1.4058e+06,-2.9536e+16,0,0,0,508.49,0,,4.32,4.32,0,0
87,5.2399e-06,1.1096e+08,0,2.7011e-05,0.17065,1454.9,-0.85707,0,9.1167e-07,1.4058e+06,-2.9571e+16,0,0,0,508.49,0,,4.48,4.48,0,0
86.998,5.2404e-06,1.1095e+08,0,2.7011e-05,0.17075,1455.7,-0.8957,0,9.1171e-07,1.4058e+06,-2.9606e+16,0,0,0,508.49,0,,4.64,4.64,0,0
86.997,5.241e-06,1.1095e+08,0,2.7011e-05,0.17084,1456.5,-0.93434,0,9.1175e-07,1.4057e+06,-2.9641e+16,0,0,0,508.49,0,,4.8,4.8,0,0
86.995,5.2415e-06,1.1095e+08,0,2.7011e-05,0.17094,1457.3,-0.97297,0,9.1179e-07,1.4057e+06,-2.9676e+16,0,0,0,508.49,0,,4.96,4.96,0,0
