"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.5362,1.4543e+06,0.14472,332.92,0.047894,0,5.7832e+05,-2.0761e+16,297.91,1,0,0,0,0
6.5362,1.4543e+06,0.14475,332.99,0.03969,0,5.7832e+05,-2.0768e+16,297.91,1,0.16,0.16,0,0
6.5362,1.4543e+06,0.14478,333.06,0.031487,0,5.7832e+05,-2.0774e+16,297.91,1,0.32,0.32,0,0
6.5362,1.4543e+06,0.14481,333.13,0.023284,0,5.7831e+05,-2.0781e+16,297.91,1,0.48,0.48,0,0
6.5362,1.4543e+06,0.14485,333.21,0.015081,0,5.7831e+05,-2.0787e+16,297.91,1,0.64,0.64,0,0
6.5362,1.4543e+06,0.14488,333.28,0.0068781,0,5.7831e+05,-2.0794e+16,297.91,1,0.8,0.8,0,0
6.5361,1.4543e+06,0.14491,333.35,-0.001325,0,5.7831e+05,-2.08e+16,297.91,1,0.96,0.96,0,0
6.5361,1.4543e+06,0.14494,333.42,-0.0095281,0,5.783e+05,-2.0807e+16,297.91,1,1.12,1.12,0,0
6.5361,1.4543e+06,0.14497,333.49,-0.017731,0,5.783e+05,-2.0813e+16,297.9,1,1.28,1.28,0,0
6.5361,1.4543e+06,0.14501,333.57,-0.025934,0,5.783e+05,-2.082e+16,297.9,1,1.44,1.44,0,0
6.5361,1.4543e+06,0.14504,333.64,-0.034137,0,5.7829e+05,-2.0826e+16,297.9,1,1.6,1.6,0,0
6.5361,1.4542e+06,0.14507,333.71,-0.042341,0,5.7829e+05,-2.0833e+16,297.9,1,1.76,1.76,0,0
6.536,1.4542e+06,0.1451,333.78,-0.050544,0,5.7829e+05,-2.0839e+16,297.9,1,1.92,1.92,0,0
6.536,1.4542e+06,0.14514,333.88,-0.059059,0,5.7828e+05,-2.085e+16,297.9,1,2.08,2.08,0,0
6.536,1.4542e+06,0.1452,334,-0.067937,0,5.7828e+05,-2.0865e+16,297.9,1,2.24,2.24,0,0
6.5359,1.4542e+06,0.14525,334.13,-0.076816,0,5.7827e+05,-2.088e+16,297.9,1,2.4,2.4,0,0
6.5359,1.4542e+06,0.14531,334.25,-0.085694,0,5.7827e+05,-2.0895e+16,297.9,1,2.56,2.56,0,0
6.5358,1.4542e+06,0.14536,334.37,-0.094572,0,5.7826e+05,-2.091e+16,297.9,1,2.72,2.72,0,0
6.5358,1.4542e+06,0.14542,334.5,-0.10345,0,5.7825e+05,-2.0925e+16,297.9,1,2.88,2.88,0,0
6.5357,1.4542e+06,0.14547,334.62,-0.11233,0,5.7825e+05,-2.094e+16,297.9,1,3.04,3.04,0,0
6.5357,1.4542e+06,0.14553,334.74,-0.12121,0,5.7824e+05,-2.0955e+16,297.89,1,3.2,3.2,0,0
6.5356,1.4542e+06,0.14558,334.87,-0.13009,0,5.7824e+05,-2.097e+16,297.89,1,3.36,3.36,0,0
6.5356,1.4542e+06,0.14564,334.99,-0.13896,0,5.7823e+05,-2.0985e+16,297.89,1,3.52,3.52,0,0
6.5355,1.4541e+06,0.14569,335.11,-0.14784,0,5.7822e+05,-2.1e+16,297.89,1,3.68,3.68,0,0
6.5355,1.4541e+06,0.14575,335.23,-0.15672,0,5.7822e+05,-2.1015e+16,297.89,1,3.84,3.84,0,0
6.5354,1.4541e+06,0.1458,335.36,-0.1656,0,5.7821e+05,-2.103e+16,297.89,1,4,4,0,0
6.5353,1.4541e+06,0.14588,335.54,-0.17436,0,5.782e+05,-2.1054e+16,297.89,1,4.16,4.16,0,0
6.5353,1.4541e+06,0.14597,335.72,-0.18311,0,5.7819e+05,-2.108e+16,297.89,1,4.32,4.32,0,0
6.5352,1.4541e+06,0.14605,335.91,-0.19186,0,5.7818e+05,-2.1105e+16,297.89,1,4.48,4.48,0,0
6.5351,1.4541e+06,0.14613,336.09,-0.20061,0,5.7817e+05,-2.113e+16,297.88,1,4.64,4.64,0,0
6.535,1.4541e+06,0.14621,336.28,-0.20935,0,5.7816e+05,-2.1156e+16,297.88,1,4.8,4.8,0,0
6.5349,1.454e+06,0.1463,336.46,-0.2181,0,5.7815e+05,-2.1181e+16,297.88,1,4.96,4.96,0,0
6.5348,1.454e+06,0.14638,336.65,-0.22685,0,5.7814e+05,-2.1206e+16,297.88,1,5.12,5.12,0,0
6.5348,1.454e+06,0.14646,336.83,-0.2356,0,5.7813e+05,-2.1231e+16,297.88,1,5.28,5.28,0,0
6.5347,1.454e+06,0.14655,337.02,-0.24435,0,5.7812e+05,-2.1257e+16,297.88,1,5.44,5.44,0,0
6.5346,1.454e+06,0.14663,337.2,-0.2531,0,5.7811e+05,-2.1282e+16,297.87,1,5.6,5.6,0,0
6.5345,1.454e+06,0.14671,337.39,-0.26185,0,5.781e+05,-2.1307e+16,297.87,1,5.76,5.76,0,0
6.5344,1.4539e+06,0.14679,337.58,-0.2706,0,5.7809e+05,-2.1333e+16,297.87,1,5.92,5.92,0,0
6.5343,1.4539e+06,0.14689,337.78,-0.27909,0,5.7808e+05,-2.1361e+16,297.87,1,6.08,6.08,0,0
6.5342,1.4539e+06,0.147,338.03,-0.28718,0,5.7806e+05,-2.1394e+16,297.87,1,6.24,6.24,0,0
6.5341,1.4539e+06,0.14711,338.28,-0.29527,0,5.7805e+05,-2.1427e+16,297.87,1,6.4,6.4,0,0
6.534,1.4539e+06,0.14722,338.52,-0.30336,0,5.7803e+05,-2.146e+16,297.86,1,6.56,6.56,0,0
6.5339,1.4538e+06,0.14733,338.77,-0.31145,0,5.7802e+05,-2.1493e+16,297.86,1,6.72,6.72,0,0
6.5338,1.4538e+06,0.14744,339.02,-0.31954,0,5.7801e+05,-2.1526e+16,297.86,1,6.88,6.88,0,0
6.5337,1.4538e+06,0.14755,339.26,-0.32763,0,5.7799e+05,-2.156e+16,297.86,1,7.04,7.04,0,0
6.5335,1.4538e+06,0.14766,339.51,-0.33572,0,5.7798e+05,-2.1593e+16,297.86,1,7.2,7.2,0,0
6.5334,1.4537e+06,0.14777,339.76,-0.34381,0,5.7797e+05,-2.1626e+16,297.85,1,7.36,7.36,0,0
6.5333,1.4537e+06,0.14788,340,-0.3519,0,5.7795e+05,-2.1659e+16,297.85,1,7.52,7.52,0,0
6.5332,1.4537e+06,0.14799,340.25,-0.35998,0,5.7794e+05,-2.1692e+16,297.85,1,7.68,7.68,0,0
6.5331,1.4537e+06,0.1481,340.5,-0.36807,0,5.7793e+05,-2.1725e+16,297.85,1,7.84,7.84,0,0
6.533,1.4537e+06,0.14821,340.74,-0.37616,0,5.7791e+05,-2.1758e+16,297.85,1,8,8,0,0
6.5329,1.4536e+06,0.14834,341.03,-0.38434,0,5.779e+05,-2.1796e+16,297.84,1,8.16,8.16,0,0
6.5327,1.4536e+06,0.14848,341.34,-0.39258,0,5.7788e+05,-2.1837e+16,297.84,1,8.32,8.32,0,0
6.5326,1.4536e+06,0.14861,341.65,-0.40081,0,5.7786e+05,-2.1878e+16,297.84,1,8.48,8.48,0,0
6.5324,1.4536e+06,0.14875,341.96,-0.40904,0,5.7785e+05,-2.1919e+16,297.84,1,8.64,8.64,0,0
6.5323,1.4535e+06,0.14889,342.27,-0.41728,0,5.7783e+05,-2.1959e+16,297.84,1,8.8,8.8,0,0
6.5322,1.4535e+06,0.14903,342.58,-0.42551,0,5.7781e+05,-2.2e+16,297.83,1,8.96,8.96,0,0
6.532,1.4535e+06,0.14917,342.89,-0.43374,0,5.778e+05,-2.2041e+16,297.83,1,9.12,9.12,0,0
6.5319,1.4535e+06,0.14931,343.2,-0.44197,0,5.7778e+05,-2.2082e+16,297.83,1,9.28,9.28,0,0
6.5318,1.4534e+06,0.14944,343.51,-0.45021,0,5.7776e+05,-2.2122e+16,297.83,1,9.44,9.44,0,0
6.5316,1.4534e+06,0.14958,343.82,-0.45844,0,5.7775e+05,-2.2163e+16,297.82,1,9.6,9.6,0,0
6.5315,1.4534e+06,0.14972,344.12,-0.46667,0,5.7773e+05,-2.2204e+16,297.82,1,9.76,9.76,0,0
6.5314,1.4534e+06,0.14986,344.43,-0.47491,0,5.7771e+05,-2.2245e+16,297.82,1,9.92,9.92,0,0
6.5312,1.4533e+06,0.15,344.74,-0.48314,0,5.777e+05,-2.2285e+16,297.82,1,10.08,10.08,0,0
6.531,1.4533e+06,0.15016,345.11,-0.49179,0,5.7767e+05,-2.2336e+16,297.81,1,10.24,10.24,0,0
6.5309,1.4533e+06,0.15033,345.49,-0.50049,0,5.7765e+05,-2.2387e+16,297.81,1,10.4,10.4,0,0
6.5307,1.4532e+06,0.1505,345.87,-0.5092,0,5.7763e+05,-2.2438e+16,297.81,1,10.56,10.56,0,0
6.5305,1.4532e+06,0.15067,346.25,-0.5179,0,5.7761e+05,-2.249e+16,297.8,1,10.72,10.72,0,0
6.5304,1.4532e+06,0.15084,346.62,-0.5266,0,5.7759e+05,-2.2541e+16,297.8,1,10.88,10.88,0,0
6.5302,1.4531e+06,0.15101,347,-0.5353,0,5.7757e+05,-2.2592e+16,297.8,1,11.04,11.04,0,0
6.53,1.4531e+06,0.15118,347.38,-0.544,0,5.7755e+05,-2.2644e+16,297.8,1,11.2,11.2,0,0
6.5298,1.4531e+06,0.15135,347.75,-0.5527,0,5.7753e+05,-2.2695e+16,297.79,1,11.36,11.36,0,0
6.5297,1.453e+06,0.15152,348.13,-0.5614,0,5.7751e+05,-2.2746e+16,297.79,1,11.52,11.52,0,0
6.5295,1.453e+06,0.15168,348.51,-0.5701,0,5.7748e+05,-2.2798e+16,297.79,1,11.68,11.68,0,0
6.5293,1.453e+06,0.15185,348.89,-0.5788,0,5.7746e+05,-2.2849e+16,297.78,1,11.84,11.84,0,0
6.5291,1.4529e+06,0.15202,349.26,-0.5875,0,5.7744e+05,-2.29e+16,297.78,1,12,12,0,0
6.529,1.4529e+06,0.1522,349.65,-0.59629,0,5.7742e+05,-2.2953e+16,297.78,1,12.16,12.16,0,0
6.5288,1.4529e+06,0.1524,350.1,-0.60553,0,5.774e+05,-2.3015e+16,297.77,1,12.32,12.32,0,0
6.5286,1.4528e+06,0.1526,350.55,-0.61477,0,5.7737e+05,-2.3078e+16,297.77,1,12.48,12.48,0,0
6.5283,1.4528e+06,0.1528,351,-0.62401,0,5.7734e+05,-2.314e+16,297.77,1,12.64,12.64,0,0
6.5281,1.4528e+06,0.153,351.45,-0.63325,0,5.7732e+05,-2.3202e+16,297.76,1,12.8,12.8,0,0
6.5279,1.4527e+06,0.15321,351.9,-0.6425,0,5.7729e+05,-2.3264e+16,297.76,1,12.96,12.96,0,0
6.5277,1.4527e+06,0.15341,352.35,-0.65174,0,5.7727e+05,-2.3326e+16,297.76,1,13.12,13.12,0,0
6.5275,1.4526e+06,0.15361,352.8,-0.66098,0,5.7724e+05,-2.3388e+16,297.75,1,13.28,13.28,0,0
6.5273,1.4526e+06,0.15381,353.25,-0.67022,0,5.7722e+05,-2.345e+16,297.75,1,13.44,13.44,0,0
6.5271,1.4526e+06,0.15401,353.71,-0.67946,0,5.7719e+05,-2.3512e+16,297.74,1,13.6,13.6,0,0
6.5269,1.4525e+06,0.15422,354.16,-0.6887,0,5.7717e+05,-2.3574e+16,297.74,1,13.76,13.76,0,0
6.5267,1.4525e+06,0.15442,354.61,-0.69794,0,5.7714e+05,-2.3636e+16,297.74,1,13.92,13.92,0,0
6.5265,1.4524e+06,0.15462,355.06,-0.70719,0,5.7711e+05,-2.3699e+16,297.73,1,14.08,14.08,0,0
6.5262,1.4524e+06,0.15483,355.52,-0.71655,0,5.7709e+05,-2.3763e+16,297.73,1,14.24,14.24,0,0
6.526,1.4524e+06,0.15507,356.05,-0.72644,0,5.7706e+05,-2.3838e+16,297.73,1,14.4,14.4,0,0
6.5257,1.4523e+06,0.1553,356.58,-0.73632,0,5.7703e+05,-2.3912e+16,297.72,1,14.56,14.56,0,0
6.5255,1.4523e+06,0.15554,357.11,-0.7462,0,5.77e+05,-2.3987e+16,297.72,1,14.72,14.72,0,0
6.5252,1.4522e+06,0.15578,357.64,-0.75609,0,5.7697e+05,-2.4062e+16,297.71,1,14.88,14.88,0,0
6.525,1.4522e+06,0.15602,358.17,-0.76597,0,5.7693e+05,-2.4136e+16,297.71,1,15.04,15.04,0,0
6.5247,1.4521e+06,0.15626,358.7,-0.77585,0,5.769e+05,-2.4211e+16,297.7,1,15.2,15.2,0,0
6.5245,1.4521e+06,0.1565,359.23,-0.78574,0,5.7687e+05,-2.4286e+16,297.7,1,15.36,15.36,0,0
6.5242,1.452e+06,0.15673,359.76,-0.79562,0,5.7684e+05,-2.436e+16,297.7,1,15.52,15.52,0,0
6.524,1.452e+06,0.15697,360.29,-0.8055,0,5.7681e+05,-2.4435e+16,297.69,1,15.68,15.68,0,0
6.5237,1.4519e+06,0.15721,360.82,-0.81538,0,5.7678e+05,-2.4509e+16,297.69,1,15.84,15.84,0,0
6.5235,1.4519e+06,0.15745,361.35,-0.82527,0,5.7675e+05,-2.4584e+16,297.68,1,16,16,0,0
6.5232,1.4518e+06,0.15769,361.88,-0.83515,0,5.7672e+05,-2.4659e+16,297.68,1,16.16,16.16,0,0
6.523,1.4518e+06,0.15793,362.44,-0.84519,0,5.7669e+05,-2.4737e+16,297.67,1,16.32,16.32,0,0
6.5227,1.4517e+06,0.15821,363.05,-0.85574,0,5.7665e+05,-2.4825e+16,297.67,1,16.48,16.48,0,0
6.5224,1.4517e+06,0.15849,363.67,-0.86629,0,5.7662e+05,-2.4914e+16,297.66,1,16.64,16.64,0,0
6.5221,1.4516e+06,0.15877,364.28,-0.87683,0,5.7658e+05,-2.5003e+16,297.66,1,16.8,16.8,0,0
6.5218,1.4516e+06,0.15904,364.9,-0.88738,0,5.7654e+05,-2.5091e+16,297.65,1,16.96,16.96,0,0
6.5215,1.4515e+06,0.15932,365.52,-0.89792,0,5.7651e+05,-2.518e+16,297.65,1,17.12,17.12,0,0
6.5212,1.4515e+06,0.1596,366.13,-0.90847,0,5.7647e+05,-2.5268e+16,297.64,1,17.28,17.28,0,0
6.5209,1.4514e+06,0.15987,366.75,-0.91902,0,5.7643e+05,-2.5357e+16,297.64,1,17.44,17.44,0,0
6.5206,1.4513e+06,0.16015,367.36,-0.92956,0,5.764e+05,-2.5446e+16,297.63,1,17.6,17.6,0,0
6.5203,1.4513e+06,0.16043,367.98,-0.94011,0,5.7636e+05,-2.5534e+16,297.63,1,17.76,17.76,0,0
6.52,1.4512e+06,0.16071,368.6,-0.95066,0,5.7632e+05,-2.5623e+16,297.62,1,17.92,17.92,0,0
6.5197,1.4512e+06,0.16098,369.21,-0.9612,0,5.7629e+05,-2.5712e+16,297.62,1,18.08,18.08,0,0
6.5194,1.4511e+06,0.16126,369.83,-0.97175,0,5.7625e+05,-2.58e+16,297.61,1,18.24,18.24,0,0
6.5191,1.4511e+06,0.16155,370.47,-0.98253,0,5.7621e+05,-2.5893e+16,297.61,1,18.4,18.4,0,0
6.5187,1.451e+06,0.16187,371.18,-0.99394,0,5.7617e+05,-2.5997e+16,297.6,1,18.56,18.56,0,0
6.5184,1.4509e+06,0.16219,371.89,-1.0054,0,5.7613e+05,-2.6102e+16,297.59,1,18.72,18.72,0,0
6.518,1.4509e+06,0.16251,372.6,-1.0168,0,5.7608e+05,-2.6206e+16,297.59,1,18.88,18.88,0,0
6.5177,1.4508e+06,0.16283,373.31,-1.0282,0,5.7604e+05,-2.631e+16,297.58,1,19.04,19.04,0,0
6.5173,1.4507e+06,0.16315,374.02,-1.0396,0,5.76e+05,-2.6415e+16,297.57,1,19.2,19.2,0,0
6.517,1.4507e+06,0.16347,374.73,-1.051,0,5.7596e+05,-2.6519e+16,297.57,1,19.36,19.36,0,0
6.5166,1.4506e+06,0.16379,375.44,-1.0624,0,5.7591e+05,-2.6623e+16,297.56,1,19.52,19.52,0,0
6.5163,1.4505e+06,0.16411,376.15,-1.0738,0,5.7587e+05,-2.6728e+16,297.56,1,19.68,19.68,0,0
6.5159,1.4505e+06,0.16443,376.86,-1.0853,0,5.7583e+05,-2.6832e+16,297.55,1,19.84,19.84,0,0
6.5156,1.4504e+06,0.16475,377.57,-1.0967,0,5.7578e+05,-2.6936e+16,297.54,1,20,20,0,0
6.5152,1.4503e+06,0.16507,378.28,-1.1081,0,5.7574e+05,-2.7041e+16,297.54,1,20.16,20.16,0,0
6.5149,1.4503e+06,0.16539,378.99,-1.1195,0,5.757e+05,-2.7145e+16,297.53,1,20.32,20.32,0,0
6.5145,1.4502e+06,0.16572,379.71,-1.131,0,5.7566e+05,-2.7251e+16,297.53,1,20.48,20.48,0,0
6.5141,1.4501e+06,0.16609,380.53,-1.1435,0,5.756e+05,-2.7375e+16,297.52,1,20.64,20.64,0,0
6.5137,1.45e+06,0.16645,381.34,-1.1561,0,5.7555e+05,-2.7499e+16,297.51,1,20.8,20.8,0,0
6.5133,1.45e+06,0.16682,382.15,-1.1686,0,5.755e+05,-2.7622e+16,297.5,1,20.96,20.96,0,0
6.5129,1.4499e+06,0.16719,382.97,-1.1811,0,5.7545e+05,-2.7746e+16,297.5,1,21.12,21.12,0,0
6.5124,1.4498e+06,0.16756,383.78,-1.1936,0,5.754e+05,-2.787e+16,297.49,1,21.28,21.28,0,0
6.512,1.4497e+06,0.16793,384.6,-1.2061,0,5.7535e+05,-2.7993e+16,297.48,1,21.44,21.44,0,0
6.5116,1.4497e+06,0.1683,385.41,-1.2186,0,5.753e+05,-2.8117e+16,297.47,1,21.6,21.6,0,0
6.5112,1.4496e+06,0.16866,386.22,-1.2312,0,5.7525e+05,-2.8241e+16,297.47,1,21.76,21.76,0,0
6.5108,1.4495e+06,0.16903,387.04,-1.2437,0,5.752e+05,-2.8364e+16,297.46,1,21.92,21.92,0,0
6.5104,1.4494e+06,0.1694,387.85,-1.2562,0,5.7515e+05,-2.8488e+16,297.45,1,22.08,22.08,0,0
6.51,1.4493e+06,0.16977,388.67,-1.2687,0,5.751e+05,-2.8612e+16,297.44,1,22.24,22.24,0,0
6.5095,1.4493e+06,0.17014,389.48,-1.2812,0,5.7505e+05,-2.8735e+16,297.44,1,22.4,22.4,0,0
6.5091,1.4492e+06,0.1705,390.29,-1.2937,0,5.7499e+05,-2.8859e+16,297.43,1,22.56,22.56,0,0
6.5086,1.4491e+06,0.17092,391.21,-1.3074,0,5.7494e+05,-2.9003e+16,297.42,1,22.72,22.72,0,0
6.5081,1.449e+06,0.17134,392.14,-1.3211,0,5.7488e+05,-2.9149e+16,297.41,1,22.88,22.88,0,0
6.5077,1.4489e+06,0.17176,393.07,-1.3349,0,5.7482e+05,-2.9295e+16,297.4,1,23.04,23.04,0,0
6.5072,1.4488e+06,0.17218,393.99,-1.3486,0,5.7476e+05,-2.9441e+16,297.4,1,23.2,23.2,0,0
6.5067,1.4487e+06,0.17261,394.92,-1.3623,0,5.747e+05,-2.9587e+16,297.39,1,23.36,23.36,0,0
6.5062,1.4486e+06,0.17303,395.85,-1.3761,0,5.7464e+05,-2.9733e+16,297.38,1,23.52,23.52,0,0
6.5057,1.4485e+06,0.17345,396.78,-1.3898,0,5.7458e+05,-2.9879e+16,297.37,1,23.68,23.68,0,0
6.5052,1.4485e+06,0.17387,397.7,-1.4035,0,5.7452e+05,-3.0025e+16,297.36,1,23.84,23.84,0,0
6.5047,1.4484e+06,0.17429,398.63,-1.4173,0,5.7446e+05,-3.0171e+16,297.35,1,24,24,0,0
6.5042,1.4483e+06,0.17471,399.56,-1.431,0,5.744e+05,-3.0317e+16,297.34,1,24.16,24.16,0,0
6.5037,1.4482e+06,0.17513,400.49,-1.4447,0,5.7434e+05,-3.0462e+16,297.34,1,24.32,24.32,0,0
6.5032,1.4481e+06,0.17555,401.41,-1.4585,0,5.7428e+05,-3.0608e+16,297.33,1,24.48,24.48,0,0
6.5028,1.448e+06,0.17597,402.34,-1.4722,0,5.7422e+05,-3.0754e+16,297.32,1,24.64,24.64,0,0
6.5022,1.4479e+06,0.17644,403.36,-1.4871,0,5.7415e+05,-3.0918e+16,297.31,1,24.8,24.8,0,0
6.5016,1.4478e+06,0.17692,404.41,-1.5024,0,5.7408e+05,-3.109e+16,297.3,1,24.96,24.96,0,0
6.5011,1.4477e+06,0.1774,405.46,-1.5177,0,5.7401e+05,-3.1261e+16,297.29,1,25.12,25.12,0,0
6.5005,1.4476e+06,0.17787,406.51,-1.533,0,5.7394e+05,-3.1432e+16,297.28,1,25.28,25.28,0,0
6.4999,1.4475e+06,0.17835,407.57,-1.5484,0,5.7387e+05,-3.1603e+16,297.27,1,25.44,25.44,0,0
6.4993,1.4473e+06,0.17883,408.62,-1.5637,0,5.738e+05,-3.1774e+16,297.26,1,25.6,25.6,0,0
6.4988,1.4472e+06,0.17931,409.67,-1.579,0,5.7373e+05,-3.1945e+16,297.25,1,25.76,25.76,0,0
6.4982,1.4471e+06,0.17979,410.72,-1.5943,0,5.7366e+05,-3.2116e+16,297.24,1,25.92,25.92,0,0
6.4976,1.447e+06,0.18027,411.77,-1.6096,0,5.7359e+05,-3.2288e+16,297.23,1,26.08,26.08,0,0
6.497,1.4469e+06,0.18075,412.83,-1.6249,0,5.7352e+05,-3.2459e+16,297.22,1,26.24,26.24,0,0
6.4965,1.4468e+06,0.18123,413.88,-1.6402,0,5.7345e+05,-3.263e+16,297.21,1,26.4,26.4,0,0
6.4959,1.4467e+06,0.18171,414.93,-1.6556,0,5.7338e+05,-3.2801e+16,297.2,1,26.56,26.56,0,0
6.4953,1.4466e+06,0.18219,415.98,-1.6709,0,5.7331e+05,-3.2972e+16,297.19,1,26.72,26.72,0,0
6.4947,1.4465e+06,0.18269,417.08,-1.6868,0,5.7323e+05,-3.3154e+16,297.18,1,26.88,26.88,0,0
6.494,1.4463e+06,0.18324,418.28,-1.704,0,5.7315e+05,-3.3355e+16,297.16,1,27.04,27.04,0,0
6.4933,1.4462e+06,0.18378,419.47,-1.7212,0,5.7306e+05,-3.3557e+16,297.15,1,27.2,27.2,0,0
6.4927,1.4461e+06,0.18433,420.66,-1.7384,0,5.7298e+05,-3.3759e+16,297.14,1,27.36,27.36,0,0
6.492,1.446e+06,0.18487,421.85,-1.7556,0,5.729e+05,-3.396e+16,297.13,1,27.52,27.52,0,0
6.4913,1.4458e+06,0.18542,423.04,-1.7728,0,5.7282e+05,-3.4162e+16,297.12,1,27.68,27.68,0,0
6.4906,1.4457e+06,0.18596,424.23,-1.79,0,5.7273e+05,-3.4363e+16,297.1,1,27.84,27.84,0,0
6.49,1.4456e+06,0.18651,425.42,-1.8072,0,5.7265e+05,-3.4565e+16,297.09,1,28,28,0,0
6.4893,1.4454e+06,0.18705,426.61,-1.8244,0,5.7257e+05,-3.4767e+16,297.08,1,28.16,28.16,0,0
6.4886,1.4453e+06,0.1876,427.8,-1.8416,0,5.7249e+05,-3.4968e+16,297.07,1,28.32,28.32,0,0
6.4879,1.4452e+06,0.18814,428.99,-1.8588,0,5.724e+05,-3.517e+16,297.06,1,28.48,28.48,0,0
6.4873,1.4451e+06,0.18869,430.18,-1.876,0,5.7232e+05,-3.5372e+16,297.04,1,28.64,28.64,0,0
6.4866,1.4449e+06,0.18924,431.38,-1.8932,0,5.7224e+05,-3.5573e+16,297.03,1,28.8,28.8,0,0
6.4859,1.4448e+06,0.18978,432.57,-1.9104,0,5.7215e+05,-3.5775e+16,297.02,1,28.96,28.96,0,0
6.4851,1.4447e+06,0.1904,433.91,-1.9295,0,5.7206e+05,-3.6011e+16,297.01,1,29.12,29.12,0,0
6.4843,1.4445e+06,0.19102,435.25,-1.9487,0,5.7196e+05,-3.6248e+16,296.99,1,29.28,29.28,0,0
6.4835,1.4444e+06,0.19164,436.6,-1.9679,0,5.7186e+05,-3.6484e+16,296.98,1,29.44,29.44,0,0
6.4827,1.4442e+06,0.19226,437.94,-1.9871,0,5.7177e+05,-3.6721e+16,296.96,1,29.6,29.6,0,0
6.4819,1.4441e+06,0.19287,439.29,-2.0062,0,5.7167e+05,-3.6958e+16,296.95,1,29.76,29.76,0,0
6.4811,1.4439e+06,0.19349,440.63,-2.0254,0,5.7157e+05,-3.7195e+16,296.94,1,29.92,29.92,0,0
6.4803,1.4438e+06,0.19411,441.98,-2.0446,0,5.7147e+05,-3.7432e+16,296.92,1,30.08,30.08,0,0
6.4795,1.4436e+06,0.19473,443.32,-2.0638,0,5.7138e+05,-3.7668e+16,296.91,1,30.24,30.24,0,0
6.4787,1.4435e+06,0.19535,444.67,-2.083,0,5.7128e+05,-3.7905e+16,296.89,1,30.4,30.4,0,0
6.478,1.4433e+06,0.19597,446.01,-2.1021,0,5.7118e+05,-3.8142e+16,296.88,1,30.56,30.56,0,0
6.4772,1.4432e+06,0.19659,447.36,-2.1213,0,5.7108e+05,-3.8379e+16,296.87,1,30.72,30.72,0,0
6.4764,1.443e+06,0.19721,448.7,-2.1405,0,5.7099e+05,-3.8616e+16,296.85,1,30.88,30.88,0,0
6.4756,1.4429e+06,0.19783,450.05,-2.1597,0,5.7089e+05,-3.8852e+16,296.84,1,31.04,31.04,0,0
6.4747,1.4427e+06,0.19849,451.48,-2.18,0,5.7078e+05,-3.9111e+16,296.82,1,31.2,31.2,0,0
6.4738,1.4425e+06,0.19919,453,-2.2013,0,5.7067e+05,-3.939e+16,296.8,1,31.36,31.36,0,0
6.4728,1.4423e+06,0.1999,454.52,-2.2227,0,5.7055e+05,-3.9668e+16,296.79,1,31.52,31.52,0,0
6.4719,1.4422e+06,0.2006,456.03,-2.244,0,5.7044e+05,-3.9947e+16,296.77,1,31.68,31.68,0,0
6.471,1.442e+06,0.2013,457.55,-2.2653,0,5.7033e+05,-4.0226e+16,296.75,1,31.84,31.84,0,0
6.47,1.4418e+06,0.202,459.07,-2.2867,0,5.7021e+05,-4.0505e+16,296.74,1,32,32,0,0
6.4691,1.4416e+06,0.20271,460.58,-2.308,0,5.701e+05,-4.0783e+16,296.72,1,32.16,32.16,0,0
6.4682,1.4415e+06,0.20341,462.1,-2.3294,0,5.6998e+05,-4.1062e+16,296.7,1,32.32,32.32,0,0
6.4672,1.4413e+06,0.20411,463.62,-2.3507,0,5.6987e+05,-4.1341e+16,296.69,1,32.48,32.48,0,0
6.4663,1.4411e+06,0.20481,465.14,-2.372,0,5.6975e+05,-4.1619e+16,296.67,1,32.64,32.64,0,0
6.4654,1.4409e+06,0.20552,466.65,-2.3934,0,5.6964e+05,-4.1898e+16,296.65,1,32.8,32.8,0,0
6.4644,1.4408e+06,0.20622,468.17,-2.4147,0,5.6952e+05,-4.2177e+16,296.64,1,32.96,32.96,0,0
6.4635,1.4406e+06,0.20692,469.69,-2.436,0,5.6941e+05,-4.2455e+16,296.62,1,33.12,33.12,0,0
6.4626,1.4404e+06,0.20763,471.21,-2.4574,0,5.693e+05,-4.2734e+16,296.6,1,33.28,33.28,0,0
6.4615,1.4402e+06,0.20842,472.9,-2.4806,0,5.6916e+05,-4.3061e+16,296.58,1,33.44,33.44,0,0
6.4604,1.44e+06,0.20922,474.61,-2.504,0,5.6902e+05,-4.3392e+16,296.56,1,33.6,33.6,0,0
