"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,       1.106918898,       3.504664308,       3.342258606,       6.479528427,      -4.816730561
          0,           0,           1,      0.9738306629,       4.542234869,       3.768300966,       6.395365487,      -4.834369494
          0,           0,           2,      0.8626693319,       4.422396464,       3.807989933,       6.305059699,      -4.871059844
          0,           0,           3,      0.8686440758,       4.293516959,       3.781075265,       6.344907103,      -4.864312226
          0,           0,           4,      0.9294365479,       4.164535513,       3.714542991,       6.428985418,      -4.849192377
          0,           0,           5,      0.9711020552,       4.039789159,       3.646337346,       6.481955589,      -4.843978727
          0,           0,           6,       1.012288006,       3.960807652,       3.611947777,       6.525877713,      -4.849920413
          0,           0,           7,       1.068580957,       3.923309171,       3.600772298,         6.5856802,      -4.845045216
          0,           0,           8,       1.068461243,       3.877690441,       3.499057351,       6.585672042,      -4.849846993
          0,           0,           9,       1.039769382,       3.845463017,       3.473887029,       6.553965352,      -4.865612829
          0,           0,          10,       1.038053926,       3.836206745,       3.467565551,       6.548553624,      -4.876426735
          0,           0,          11,         1.0273208,       3.794858569,       3.393891691,       6.533520738,      -4.888712036
          0,           0,          12,      0.9810377968,        3.73931777,       3.328161612,       6.482481641,      -4.882365619
          0,           0,          13,      0.9155954385,       3.667171609,       3.293705187,       6.411823337,      -4.840459485
          0,           0,          14,      0.8239749401,       3.570690192,       3.248206456,       6.311446577,      -4.779030744
          0,           0,          15,      0.7435037275,       3.479847258,       3.200572507,        6.21880926,      -4.714201471
          0,           0,          16,      0.6962855773,       3.415847205,       3.147018105,       6.162742517,      -4.648911218
          0,           0,          17,      0.6629767035,       3.366781186,       3.077778359,        6.12303376,      -4.581147087
          0,           0,          18,      0.6275189894,       3.320387961,        3.02897668,       6.081625066,      -4.508190026
          0,           0,          19,      0.5899955572,       3.278052756,       2.999343307,        6.03796172,      -4.430484608
          0,           0,          20,        0.55561022,       3.243113151,       2.979602223,       5.998546546,      -4.349616452
          0,           0,          21,      0.5281312379,       3.223389634,       2.957862193,       5.967489299,      -4.266578079
          0,           0,          22,      0.5209543341,       3.229838006,       2.942052706,       5.960948626,      -4.182757801
          0,           0,          23,      0.5281930517,       3.249195802,       2.924345801,       5.972446344,      -4.099313938
          0,           0,          24,      0.5305779111,       3.260619011,       2.915571564,       5.975476585,      -4.015747141
          0,           0,          25,      0.5283966412,       3.265802721,       2.901388415,       5.971000098,      -3.933320956
          0,           0,          26,      0.5314625097,       3.280539907,       2.901181441,       5.972427148,      -3.851791166
          0,           0,          27,      0.5454714788,       3.293846069,       2.898538535,       5.989916852,      -3.771389051
          0,           0,          28,      0.5520898396,       3.300365852,        2.89352736,       5.996643938,      -3.692359316
          0,           0,          29,      0.5535852894,       3.305565895,       2.897819749,       5.998569395,      -3.614850623
          0,           0,          30,      0.5435119074,       3.291646739,       2.894000706,       5.984215493,      -3.538798504
          0,           0,          31,      0.5370374545,       3.277038809,        2.89296576,       5.974076383,      -3.464184545
          0,           0,          32,       0.539875037,       3.272865945,       2.896190088,       5.980122081,      -3.391130245
          0,           0,          33,      0.5541352125,       3.292130076,        2.89546077,       5.999395123,      -3.319273091
          0,           0,          34,      0.5602728926,       3.297744998,       2.893803472,        6.01012925,      -3.248868022
          0,           0,          35,      0.5577445514,       3.285129588,       2.904651105,       6.002727998,        -3.1795573
          0,           0,          36,      0.5436154066,       3.271769522,       2.915642034,        5.97809633,      -3.111419309
          0,           0,          37,       0.546090305,       3.282849719,       2.926222428,       5.977340938,      -3.044334764
          0,           0,          38,      0.5536569901,       3.303778561,       2.931391561,       5.986585121,      -2.978407754
          0,           0,          39,      0.5704078455,       3.316486475,       2.934912856,       6.010072898,      -2.913506648
          0,           0,          40,      0.5919418734,       3.326582209,        2.95281565,       6.040113731,       -2.84960203
          0,           0,          41,      0.5781150715,       3.297636625,       2.952118851,       6.026714013,      -2.787020585
          0,           0,          42,      0.5739246126,       3.288907193,       2.940804902,       6.015396511,      -2.725611373
          0,           0,          43,      0.5785615136,       3.291690043,       2.929328298,        6.02593908,      -2.665535095
          0,           0,          44,      0.5867368832,       3.298387527,       2.937642916,       6.036206977,      -2.607018099
          0,           0,          45,      0.5807309116,       3.277734467,       2.935143347,       6.032879049,      -2.550117862
          0,           0,          46,      0.5852595566,       3.254489793,       2.922763659,       6.038191137,      -2.494750913
          0,           0,          47,      0.5830319853,       3.260278498,       2.914249399,       6.038950351,      -2.441114722
          0,           0,          48,      0.5818451118,       3.270522985,       2.905388669,       6.042408229,      -2.389058033
          0,           0,          49,      0.5797406352,       3.289641732,       2.893586108,       6.044051092,      -2.338779943
          0,           0,          50,      0.5600540704,       3.273201695,       2.885419576,       6.028424478,      -2.290345257
