"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.0397,3.658e-06,1.0806e+06,0,1.7844e-05,0.1433,249.54,0.037089,0,1.0549e-05,4.2979e+05,-2.0358e+16,0,0,0,287.14,0,,0,0,0,0
5.0397,3.6582e-06,1.0806e+06,0,1.7844e-05,0.14333,249.6,0.030751,0,1.0549e-05,4.2978e+05,-2.0365e+16,0,0,0,287.14,0,,0.16,0.16,0,0
5.0396,3.6585e-06,1.0806e+06,0,1.7844e-05,0.14337,249.65,0.024414,0,1.0549e-05,4.2978e+05,-2.0371e+16,0,0,0,287.14,0,,0.32,0.32,0,0
5.0396,3.6587e-06,1.0806e+06,0,1.7844e-05,0.1434,249.71,0.018076,0,1.055e-05,4.2978e+05,-2.0378e+16,0,0,0,287.14,0,,0.48,0.48,0,0
5.0396,3.659e-06,1.0806e+06,0,1.7844e-05,0.14343,249.76,0.011739,0,1.055e-05,4.2978e+05,-2.0384e+16,0,0,0,287.14,0,,0.64,0.64,0,0
5.0396,3.6593e-06,1.0806e+06,0,1.7844e-05,0.14346,249.82,0.005401,0,1.055e-05,4.2978e+05,-2.039e+16,0,0,0,287.14,0,,0.8,0.8,0,0
5.0396,3.6595e-06,1.0806e+06,0,1.7844e-05,0.1435,249.87,-0.00093653,0,1.055e-05,4.2977e+05,-2.0397e+16,0,0,0,287.14,0,,0.96,0.96,0,0
5.0396,3.6598e-06,1.0806e+06,0,1.7844e-05,0.14353,249.93,-0.007274,0,1.0551e-05,4.2977e+05,-2.0403e+16,0,0,0,287.14,0,,1.12,1.12,0,0
5.0396,3.66e-06,1.0806e+06,0,1.7844e-05,0.14356,249.99,-0.013612,0,1.0551e-05,4.2977e+05,-2.041e+16,0,0,0,287.14,0,,1.28,1.28,0,0
5.0396,3.6603e-06,1.0806e+06,0,1.7844e-05,0.14359,250.04,-0.019949,0,1.0551e-05,4.2977e+05,-2.0416e+16,0,0,0,287.14,0,,1.44,1.44,0,0
5.0395,3.6605e-06,1.0806e+06,0,1.7844e-05,0.14363,250.1,-0.026287,0,1.0551e-05,4.2977e+05,-2.0422e+16,0,0,0,287.13,0,,1.6,1.6,0,0
5.0395,3.6608e-06,1.0806e+06,0,1.7844e-05,0.14366,250.15,-0.032624,0,1.0551e-05,4.2977e+05,-2.0429e+16,0,0,0,287.13,0,,1.76,1.76,0,0
5.0395,3.661e-06,1.0806e+06,0,1.7844e-05,0.14369,250.21,-0.038962,0,1.0552e-05,4.2976e+05,-2.0435e+16,0,0,0,287.13,0,,1.92,1.92,0,0
5.0395,3.6614e-06,1.0806e+06,0,1.7844e-05,0.14373,250.28,-0.045531,0,1.0552e-05,4.2976e+05,-2.0446e+16,0,0,0,287.13,0,,2.08,2.08,0,0
5.0395,3.662e-06,1.0806e+06,0,1.7844e-05,0.14379,250.38,-0.052369,0,1.0552e-05,4.2976e+05,-2.0461e+16,0,0,0,287.13,0,,2.24,2.24,0,0
5.0394,3.6626e-06,1.0806e+06,0,1.7844e-05,0.14385,250.47,-0.059208,0,1.0553e-05,4.2975e+05,-2.0476e+16,0,0,0,287.13,0,,2.4,2.4,0,0
5.0394,3.6631e-06,1.0806e+06,0,1.7844e-05,0.1439,250.57,-0.066046,0,1.0553e-05,4.2975e+05,-2.049e+16,0,0,0,287.13,0,,2.56,2.56,0,0
5.0393,3.6637e-06,1.0806e+06,0,1.7844e-05,0.14396,250.66,-0.072884,0,1.0554e-05,4.2974e+05,-2.0505e+16,0,0,0,287.13,0,,2.72,2.72,0,0
5.0393,3.6642e-06,1.0806e+06,0,1.7844e-05,0.14401,250.76,-0.079723,0,1.0554e-05,4.2974e+05,-2.052e+16,0,0,0,287.13,0,,2.88,2.88,0,0
5.0393,3.6648e-06,1.0806e+06,0,1.7844e-05,0.14407,250.85,-0.086561,0,1.0555e-05,4.2973e+05,-2.0535e+16,0,0,0,287.13,0,,3.04,3.04,0,0
5.0392,3.6654e-06,1.0806e+06,0,1.7844e-05,0.14412,250.95,-0.0934,0,1.0555e-05,4.2973e+05,-2.055e+16,0,0,0,287.13,0,,3.2,3.2,0,0
5.0392,3.6659e-06,1.0806e+06,0,1.7843e-05,0.14418,251.04,-0.10024,0,1.0556e-05,4.2972e+05,-2.0565e+16,0,0,0,287.13,0,,3.36,3.36,0,0
5.0392,3.6665e-06,1.0806e+06,0,1.7843e-05,0.14424,251.13,-0.10708,0,1.0556e-05,4.2972e+05,-2.058e+16,0,0,0,287.12,0,,3.52,3.52,0,0
5.0391,3.6671e-06,1.0805e+06,0,1.7843e-05,0.14429,251.23,-0.11391,0,1.0557e-05,4.2971e+05,-2.0595e+16,0,0,0,287.12,0,,3.68,3.68,0,0
5.0391,3.6676e-06,1.0805e+06,0,1.7843e-05,0.14435,251.32,-0.12075,0,1.0557e-05,4.2971e+05,-2.061e+16,0,0,0,287.12,0,,3.84,3.84,0,0
5.0391,3.6682e-06,1.0805e+06,0,1.7843e-05,0.1444,251.42,-0.12759,0,1.0558e-05,4.2971e+05,-2.0625e+16,0,0,0,287.12,0,,4,4,0,0
5.039,3.6687e-06,1.0805e+06,0,1.7843e-05,0.14448,251.56,-0.13431,0,1.0558e-05,4.297e+05,-2.065e+16,0,0,0,287.12,0,,4.16,4.16,0,0
5.0389,3.6693e-06,1.0805e+06,0,1.7843e-05,0.14457,251.7,-0.14101,0,1.0559e-05,4.2969e+05,-2.0675e+16,0,0,0,287.12,0,,4.32,4.32,0,0
5.0389,3.6699e-06,1.0805e+06,0,1.7843e-05,0.14465,251.84,-0.14772,0,1.0559e-05,4.2968e+05,-2.0701e+16,0,0,0,287.12,0,,4.48,4.48,0,0
5.0388,3.6704e-06,1.0805e+06,0,1.7843e-05,0.14474,251.99,-0.15442,0,1.056e-05,4.2967e+05,-2.0726e+16,0,0,0,287.12,0,,4.64,4.64,0,0
5.0387,3.671e-06,1.0805e+06,0,1.7843e-05,0.14482,252.13,-0.16113,0,1.056e-05,4.2967e+05,-2.0752e+16,0,0,0,287.11,0,,4.8,4.8,0,0
5.0387,3.6715e-06,1.0805e+06,0,1.7843e-05,0.14491,252.27,-0.16783,0,1.0561e-05,4.2966e+05,-2.0777e+16,0,0,0,287.11,0,,4.96,4.96,0,0
5.0386,3.6721e-06,1.0804e+06,0,1.7843e-05,0.14499,252.41,-0.17454,0,1.0561e-05,4.2965e+05,-2.0803e+16,0,0,0,287.11,0,,5.12,5.12,0,0
5.0385,3.6727e-06,1.0804e+06,0,1.7843e-05,0.14507,252.56,-0.18124,0,1.0562e-05,4.2964e+05,-2.0828e+16,0,0,0,287.11,0,,5.28,5.28,0,0
5.0385,3.6732e-06,1.0804e+06,0,1.7843e-05,0.14516,252.7,-0.18795,0,1.0563e-05,4.2964e+05,-2.0854e+16,0,0,0,287.11,0,,5.44,5.44,0,0
5.0384,3.6738e-06,1.0804e+06,0,1.7843e-05,0.14524,252.84,-0.19465,0,1.0563e-05,4.2963e+05,-2.0879e+16,0,0,0,287.11,0,,5.6,5.6,0,0
5.0383,3.6743e-06,1.0804e+06,0,1.7843e-05,0.14533,252.98,-0.20136,0,1.0564e-05,4.2962e+05,-2.0905e+16,0,0,0,287.11,0,,5.76,5.76,0,0
5.0383,3.6749e-06,1.0804e+06,0,1.7842e-05,0.14541,253.13,-0.20806,0,1.0564e-05,4.2961e+05,-2.093e+16,0,0,0,287.1,0,,5.92,5.92,0,0
5.0382,3.6755e-06,1.0804e+06,0,1.7842e-05,0.1455,253.29,-0.21455,0,1.0565e-05,4.296e+05,-2.0959e+16,0,0,0,287.1,0,,6.08,6.08,0,0
5.0381,3.6761e-06,1.0804e+06,0,1.7842e-05,0.14562,253.48,-0.22069,0,1.0565e-05,4.2959e+05,-2.0993e+16,0,0,0,287.1,0,,6.24,6.24,0,0
5.038,3.6767e-06,1.0803e+06,0,1.7842e-05,0.14573,253.67,-0.22682,0,1.0566e-05,4.2958e+05,-2.1026e+16,0,0,0,287.1,0,,6.4,6.4,0,0
5.0379,3.6774e-06,1.0803e+06,0,1.7842e-05,0.14584,253.86,-0.23296,0,1.0567e-05,4.2957e+05,-2.106e+16,0,0,0,287.1,0,,6.56,6.56,0,0
5.0378,3.678e-06,1.0803e+06,0,1.7842e-05,0.14595,254.05,-0.2391,0,1.0567e-05,4.2956e+05,-2.1093e+16,0,0,0,287.09,0,,6.72,6.72,0,0
5.0378,3.6786e-06,1.0803e+06,0,1.7842e-05,0.14607,254.24,-0.24524,0,1.0568e-05,4.2955e+05,-2.1127e+16,0,0,0,287.09,0,,6.88,6.88,0,0
5.0377,3.6792e-06,1.0803e+06,0,1.7842e-05,0.14618,254.43,-0.25138,0,1.0568e-05,4.2954e+05,-2.116e+16,0,0,0,287.09,0,,7.04,7.04,0,0
5.0376,3.6799e-06,1.0803e+06,0,1.7842e-05,0.14629,254.62,-0.25752,0,1.0569e-05,4.2953e+05,-2.1194e+16,0,0,0,287.09,0,,7.2,7.2,0,0
5.0375,3.6805e-06,1.0802e+06,0,1.7842e-05,0.1464,254.81,-0.26365,0,1.057e-05,4.2952e+05,-2.1227e+16,0,0,0,287.09,0,,7.36,7.36,0,0
5.0374,3.6811e-06,1.0802e+06,0,1.7842e-05,0.14651,255,-0.26979,0,1.057e-05,4.2951e+05,-2.1261e+16,0,0,0,287.09,0,,7.52,7.52,0,0
5.0373,3.6817e-06,1.0802e+06,0,1.7841e-05,0.14663,255.19,-0.27593,0,1.0571e-05,4.295e+05,-2.1294e+16,0,0,0,287.08,0,,7.68,7.68,0,0
5.0372,3.6824e-06,1.0802e+06,0,1.7841e-05,0.14674,255.38,-0.28207,0,1.0571e-05,4.2949e+05,-2.1328e+16,0,0,0,287.08,0,,7.84,7.84,0,0
5.0371,3.683e-06,1.0802e+06,0,1.7841e-05,0.14685,255.57,-0.28821,0,1.0572e-05,4.2948e+05,-2.1361e+16,0,0,0,287.08,0,,8,8,0,0
5.037,3.6836e-06,1.0802e+06,0,1.7841e-05,0.14698,255.79,-0.29437,0,1.0573e-05,4.2947e+05,-2.14e+16,0,0,0,287.08,0,,8.16,8.16,0,0
5.0369,3.6842e-06,1.0801e+06,0,1.7841e-05,0.14712,256.02,-0.30054,0,1.0573e-05,4.2946e+05,-2.1441e+16,0,0,0,287.08,0,,8.32,8.32,0,0
5.0368,3.6847e-06,1.0801e+06,0,1.7841e-05,0.14726,256.26,-0.30671,0,1.0574e-05,4.2944e+05,-2.1483e+16,0,0,0,287.07,0,,8.48,8.48,0,0
5.0367,3.6853e-06,1.0801e+06,0,1.7841e-05,0.1474,256.5,-0.31288,0,1.0575e-05,4.2943e+05,-2.1524e+16,0,0,0,287.07,0,,8.64,8.64,0,0
5.0366,3.6859e-06,1.0801e+06,0,1.7841e-05,0.14754,256.74,-0.31905,0,1.0575e-05,4.2942e+05,-2.1565e+16,0,0,0,287.07,0,,8.8,8.8,0,0
5.0365,3.6865e-06,1.0801e+06,0,1.7841e-05,0.14768,256.98,-0.32522,0,1.0576e-05,4.2941e+05,-2.1607e+16,0,0,0,287.07,0,,8.96,8.96,0,0
5.0364,3.687e-06,1.0801e+06,0,1.7841e-05,0.14782,257.21,-0.33139,0,1.0576e-05,4.2939e+05,-2.1648e+16,0,0,0,287.06,0,,9.12,9.12,0,0
5.0363,3.6876e-06,1.08e+06,0,1.784e-05,0.14796,257.45,-0.33756,0,1.0577e-05,4.2938e+05,-2.1689e+16,0,0,0,287.06,0,,9.28,9.28,0,0
5.0362,3.6882e-06,1.08e+06,0,1.784e-05,0.1481,257.69,-0.34373,0,1.0578e-05,4.2937e+05,-2.1731e+16,0,0,0,287.06,0,,9.44,9.44,0,0
5.0361,3.6888e-06,1.08e+06,0,1.784e-05,0.14824,257.93,-0.3499,0,1.0578e-05,4.2936e+05,-2.1772e+16,0,0,0,287.06,0,,9.6,9.6,0,0
5.036,3.6893e-06,1.08e+06,0,1.784e-05,0.14839,258.17,-0.35607,0,1.0579e-05,4.2934e+05,-2.1813e+16,0,0,0,287.05,0,,9.76,9.76,0,0
5.0359,3.6899e-06,1.08e+06,0,1.784e-05,0.14853,258.4,-0.36224,0,1.0579e-05,4.2933e+05,-2.1855e+16,0,0,0,287.05,0,,9.92,9.92,0,0
5.0358,3.6905e-06,1.0799e+06,0,1.784e-05,0.14867,258.64,-0.36841,0,1.058e-05,4.2932e+05,-2.1896e+16,0,0,0,287.05,0,,10.08,10.08,0,0
5.0356,3.691e-06,1.0799e+06,0,1.784e-05,0.14883,258.93,-0.37484,0,1.0581e-05,4.293e+05,-2.1947e+16,0,0,0,287.05,0,,10.24,10.24,0,0
5.0355,3.6915e-06,1.0799e+06,0,1.784e-05,0.14901,259.21,-0.3813,0,1.0581e-05,4.2929e+05,-2.1999e+16,0,0,0,287.04,0,,10.4,10.4,0,0
5.0354,3.692e-06,1.0799e+06,0,1.7839e-05,0.14918,259.5,-0.38776,0,1.0582e-05,4.2927e+05,-2.2051e+16,0,0,0,287.04,0,,10.56,10.56,0,0
5.0352,3.6925e-06,1.0798e+06,0,1.7839e-05,0.14935,259.79,-0.39421,0,1.0582e-05,4.2925e+05,-2.2103e+16,0,0,0,287.04,0,,10.72,10.72,0,0
5.0351,3.693e-06,1.0798e+06,0,1.7839e-05,0.14952,260.08,-0.40067,0,1.0583e-05,4.2924e+05,-2.2156e+16,0,0,0,287.03,0,,10.88,10.88,0,0
