"Density","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.6683,7.78e+05,0,1.769e-05,0.14548,183.37,0.22335,0,3.0937e+05,-2.1079e+16,0,0,0,283.96,0,,0,0,0,0
3.6682,7.78e+05,0,1.769e-05,0.14556,183.47,0.20579,0,3.0936e+05,-2.1092e+16,0,0,0,283.96,0,,0.16,0.16,0,0
3.6682,7.78e+05,0,1.769e-05,0.14563,183.56,0.18824,0,3.0936e+05,-2.1106e+16,0,0,0,283.96,0,,0.32,0.32,0,0
3.6682,7.7799e+05,0,1.769e-05,0.14571,183.66,0.17068,0,3.0936e+05,-2.1119e+16,0,0,0,283.96,0,,0.48,0.48,0,0
3.6682,7.7799e+05,0,1.769e-05,0.14579,183.76,0.15312,0,3.0936e+05,-2.1132e+16,0,0,0,283.96,0,,0.64,0.64,0,0
3.6682,7.7799e+05,0,1.769e-05,0.14587,183.86,0.13556,0,3.0935e+05,-2.1145e+16,0,0,0,283.95,0,,0.8,0.8,0,0
3.6681,7.7799e+05,0,1.769e-05,0.14595,183.96,0.118,0,3.0935e+05,-2.1158e+16,0,0,0,283.95,0,,0.96,0.96,0,0
3.6681,7.7798e+05,0,1.769e-05,0.14603,184.06,0.10044,0,3.0935e+05,-2.1171e+16,0,0,0,283.95,0,,1.12,1.12,0,0
3.6681,7.7798e+05,0,1.769e-05,0.14611,184.15,0.082884,0,3.0934e+05,-2.1185e+16,0,0,0,283.95,0,,1.28,1.28,0,0
3.6681,7.7798e+05,0,1.769e-05,0.14619,184.25,0.065325,0,3.0934e+05,-2.1198e+16,0,0,0,283.95,0,,1.44,1.44,0,0
3.6681,7.7798e+05,0,1.769e-05,0.14627,184.35,0.047766,0,3.0934e+05,-2.1211e+16,0,0,0,283.95,0,,1.6,1.6,0,0
3.668,7.7798e+05,0,1.769e-05,0.14635,184.45,0.030208,0,3.0933e+05,-2.1224e+16,0,0,0,283.95,0,,1.76,1.76,0,0
3.668,7.7797e+05,0,1.7689e-05,0.14643,184.55,0.012649,0,3.0933e+05,-2.1237e+16,0,0,0,283.95,0,,1.92,1.92,0,0
3.668,7.7797e+05,0,1.7689e-05,0.1465,184.65,-0.0049099,0,3.0933e+05,-2.125e+16,0,0,0,283.95,0,,2.08,2.08,0,0
3.668,7.7797e+05,0,1.7689e-05,0.14658,184.74,-0.022469,0,3.0933e+05,-2.1264e+16,0,0,0,283.94,0,,2.24,2.24,0,0
3.668,7.7797e+05,0,1.7689e-05,0.14666,184.84,-0.040027,0,3.0932e+05,-2.1277e+16,0,0,0,283.94,0,,2.4,2.4,0,0
3.6679,7.7796e+05,0,1.7689e-05,0.14674,184.94,-0.057586,0,3.0932e+05,-2.129e+16,0,0,0,283.94,0,,2.56,2.56,0,0
3.6679,7.7796e+05,0,1.7689e-05,0.14682,185.04,-0.075145,0,3.0932e+05,-2.1303e+16,0,0,0,283.94,0,,2.72,2.72,0,0
3.6679,7.7796e+05,0,1.7689e-05,0.1469,185.14,-0.092704,0,3.0931e+05,-2.1316e+16,0,0,0,283.94,0,,2.88,2.88,0,0
3.6679,7.7796e+05,0,1.7689e-05,0.14698,185.23,-0.11026,0,3.0931e+05,-2.1329e+16,0,0,0,283.94,0,,3.04,3.04,0,0
3.6679,7.7795e+05,0,1.7689e-05,0.14706,185.33,-0.12782,0,3.0931e+05,-2.1343e+16,0,0,0,283.94,0,,3.2,3.2,0,0
3.6678,7.7795e+05,0,1.7689e-05,0.14714,185.43,-0.14538,0,3.0931e+05,-2.1356e+16,0,0,0,283.94,0,,3.36,3.36,0,0
3.6678,7.7795e+05,0,1.7689e-05,0.14722,185.53,-0.16294,0,3.093e+05,-2.1369e+16,0,0,0,283.94,0,,3.52,3.52,0,0
3.6678,7.7795e+05,0,1.7689e-05,0.14729,185.63,-0.1805,0,3.093e+05,-2.1382e+16,0,0,0,283.93,0,,3.68,3.68,0,0
3.6678,7.7795e+05,0,1.7689e-05,0.14737,185.73,-0.19806,0,3.093e+05,-2.1395e+16,0,0,0,283.93,0,,3.84,3.84,0,0
