"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -6.010283176,      -5.678190216,      -6.589825677,      -4.078356042
          0,           0,           1,      -6.159527884,      -5.829074152,      -6.706276206,      -4.226759984
          0,           0,           2,      -6.319973072,      -5.982831338,      -6.767078586,      -4.386002638
          0,           0,           3,      -6.459108237,      -6.114724384,       -6.79073822,      -4.523884744
          0,           0,           4,      -6.585544837,      -6.225377281,       -6.81640721,      -4.648520461
          0,           0,           5,      -6.685230686,      -6.334660121,      -6.867960567,      -4.745731621
          0,           0,           6,      -6.749940543,      -6.455885722,      -6.945298085,      -4.807868322
          0,           0,           7,       -6.79238329,       -6.59342324,      -7.033451899,      -4.849307216
          0,           0,           8,      -6.852107563,      -6.735998791,      -7.086734845,      -4.908160396
          0,           0,           9,      -6.956807703,      -6.869510198,      -7.093809482,      -5.011315653
          0,           0,          10,      -7.105384326,      -6.984260332,      -7.112864515,      -5.157157039
          0,           0,          11,      -7.236356936,      -7.081005613,      -7.184798809,      -5.289801234
          0,           0,          12,      -7.305191091,      -7.156349258,      -7.288988412,      -5.363857316
          0,           0,          13,       -7.37553358,      -7.215397542,      -7.373401003,      -5.437768989
          0,           0,          14,      -7.461276823,      -7.266425909,      -7.422305075,      -5.524913169
          0,           0,          15,      -7.532270447,      -7.310110727,      -7.462174491,      -5.595831643
          0,           0,          16,       -7.57693369,      -7.345302671,      -7.502465712,      -5.639865613
          0,           0,          17,       -7.61720936,      -7.376093369,      -7.536990019,      -5.679696514
          0,           0,          18,      -7.666592193,      -7.406127368,      -7.560391234,      -5.728620052
          0,           0,          19,      -7.718764357,      -7.432915978,      -7.577578303,      -5.780185264
          0,           0,          20,      -7.759813795,      -7.451459426,      -7.590825807,      -5.820829568
          0,           0,          21,      -7.784471563,      -7.461112249,      -7.602857279,      -5.845328704
          0,           0,          22,      -7.796402608,      -7.464747454,      -7.611818694,      -5.857546429
