"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.123334378,    -0.07504665376,     -0.3969978778,       3.980712563,      -6.021589441
          0,           0,           1,      -2.220575184,     -0.2384193637,     -0.4791126409,       3.883114582,       -6.11720927
          0,           0,           2,      -2.308523909,     -0.4237368985,     -0.6191659886,       3.795063919,      -6.198279829
          0,           0,           3,      -2.385761893,     -0.6321049698,     -0.8171396891,       3.717469886,       -6.26895491
          0,           0,           4,      -2.453981031,     -0.7464869685,     -0.9720984865,        3.64985393,      -6.322067295
          0,           0,           5,      -2.533236762,     -0.3810807056,     -0.9710289118,       3.572574979,      -6.358153041
          0,           0,           6,      -2.626426759,     -0.2429661893,     -0.9109638647,       3.481304139,      -6.380614319
          0,           0,           7,      -2.721552111,     -0.2276309527,     -0.9453817833,       3.385603209,      -6.395784121
          0,           0,           8,      -2.772460508,     -0.1675877411,     -0.9816582106,       3.336303349,      -6.403640632
          0,           0,           9,      -2.807227611,     -0.1636251812,     -0.9915513694,       3.303442537,      -6.409923305
          0,           0,          10,      -2.844510086,     -0.1716034388,      -1.014554191,       3.268341078,      -6.410549553
          0,           0,          11,       -2.87519778,     -0.1803292992,      -1.017162606,       3.238909294,      -6.411624041
          0,           0,          12,      -2.867299462,      -0.193990208,      -1.015166653,       3.244953796,      -6.407314362
          0,           0,          13,      -2.865946478,     -0.1817214429,      -1.014789484,       3.245492391,      -6.396654568
          0,           0,          14,      -2.834519248,     -0.1461304527,      -1.017378527,       3.278224497,      -6.383595365
          0,           0,          15,      -2.817863138,     -0.1368390942,      -1.028063855,       3.293225714,      -6.368898746
          0,           0,          16,      -2.825348281,     -0.1524102603,      -1.013315177,       3.284950864,      -6.354423775
          0,           0,          17,      -2.847673198,     -0.1769486187,      -1.000786324,       3.265235861,      -6.339959247
          0,           0,          18,      -2.862434975,      -0.192242612,     -0.9923169566,       3.251679702,      -6.324109193
          0,           0,          19,      -2.861589008,      -0.185033685,     -0.9796829401,       3.252703058,      -6.308810325
          0,           0,          20,      -2.845800852,      -0.156289379,     -0.9808030141,       3.269119612,      -6.292580152
          0,           0,          21,      -2.841406145,      -0.159994382,     -0.9969270491,        3.27085878,      -6.277979217
          0,           0,          22,      -2.867117354,     -0.1921521133,     -0.9895463436,       3.242051926,       -6.26370699
          0,           0,          23,      -2.902600228,     -0.2253751604,     -0.9799291578,       3.206193154,      -6.255563248
          0,           0,          24,      -2.934667201,     -0.2580408068,     -0.9919739726,        3.17304747,      -6.253130436
          0,           0,          25,       -2.94812325,     -0.2729102416,     -0.9994820172,       3.162137792,      -6.248184279
          0,           0,          26,      -2.912318775,     -0.2109900669,      -1.006111807,       3.200520987,      -6.239720473
          0,           0,          27,      -2.860923327,     -0.1561860352,      -1.014940368,       3.253464827,      -6.230084222
          0,           0,          28,      -2.851619408,     -0.1678976916,       -1.01984519,       3.259188412,      -6.221751941
