"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.95309,4.062e-10,81.409,0,2.3307e-09,0.09309,0.067956,0.00084626,0,6.9815e-09,0.99876,-4753.5,0,0,0,1.0076,0,,0,0,0,0
0.95297,4.0677e-10,81.398,0,2.3307e-09,0.092952,0.067852,0.0007779,0,6.985e-09,0.99869,-5028.7,0,0,0,1.0076,0,,0.0001804,0.0001804,0,0
0.95285,4.0734e-10,81.388,0,2.3307e-09,0.092814,0.067748,0.00070954,0,6.9884e-09,0.99862,-5303.9,0,0,0,1.0076,0,,0.0003608,0.0003608,0,0
0.95272,4.0791e-10,81.377,0,2.3307e-09,0.092675,0.067644,0.00064118,0,6.9919e-09,0.99855,-5579.1,0,0,0,1.0076,0,,0.0005412,0.0005412,0,0
0.9526,4.0848e-10,81.367,0,2.3307e-09,0.092537,0.06754,0.00057283,0,6.9953e-09,0.99848,-5854.3,0,0,0,1.0076,0,,0.0007216,0.0007216,0,0
0.95248,4.0905e-10,81.356,0,2.3307e-09,0.092399,0.067435,0.00050447,0,6.9987e-09,0.99841,-6129.5,0,0,0,1.0076,0,,0.000902,0.000902,0,0
0.95236,4.0962e-10,81.346,0,2.3307e-09,0.092261,0.067331,0.00043611,0,7.0022e-09,0.99833,-6404.7,0,0,0,1.0076,0,,0.0010824,0.0010824,0,0
0.95224,4.1019e-10,81.335,0,2.3307e-09,0.092122,0.067227,0.00036775,0,7.0056e-09,0.99826,-6679.9,0,0,0,1.0076,0,,0.0012628,0.0012628,0,0
0.95211,4.1076e-10,81.325,0,2.3307e-09,0.091984,0.067123,0.00029939,0,7.009e-09,0.99819,-6955.1,0,0,0,1.0076,0,,0.0014432,0.0014432,0,0
0.95199,4.1133e-10,81.314,0,2.3307e-09,0.091846,0.067019,0.00023104,0,7.0125e-09,0.99812,-7230.3,0,0,0,1.0076,0,,0.0016236,0.0016236,0,0
