"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
90.095,4.5981e-06,1.1372e+08,0,2.6841e-05,0.094178,791.08,0.98773,0,8.4671e-07,1.3965e+06,-9.513e+15,0,0,0,503.77,0,,0,0,0,0
90.094,4.6002e-06,1.1372e+08,0,2.6841e-05,0.094308,792.17,0.85072,0,8.4683e-07,1.3965e+06,-9.5436e+15,0,0,0,503.77,0,,0.0001804,0.0001804,0,0
90.092,4.6023e-06,1.1371e+08,0,2.6841e-05,0.094438,793.26,0.71371,0,8.4694e-07,1.3965e+06,-9.5743e+15,0,0,0,503.77,0,,0.0003608,0.0003608,0,0
90.091,4.6044e-06,1.1371e+08,0,2.6841e-05,0.094569,794.35,0.57671,0,8.4705e-07,1.3965e+06,-9.605e+15,0,0,0,503.77,0,,0.0005412,0.0005412,0,0
90.09,4.6065e-06,1.1371e+08,0,2.6841e-05,0.094699,795.44,0.4397,0,8.4717e-07,1.3965e+06,-9.6357e+15,0,0,0,503.77,0,,0.0007216,0.0007216,0,0
90.088,4.6086e-06,1.1371e+08,0,2.6841e-05,0.09483,796.53,0.30269,0,8.4728e-07,1.3965e+06,-9.6664e+15,0,0,0,503.77,0,,0.000902,0.000902,0,0
90.087,4.6107e-06,1.1371e+08,0,2.6841e-05,0.09496,797.62,0.16569,0,8.4739e-07,1.3965e+06,-9.6971e+15,0,0,0,503.77,0,,0.0010824,0.0010824,0,0
90.086,4.6128e-06,1.1371e+08,0,2.6841e-05,0.09509,798.71,0.028682,0,8.475e-07,1.3965e+06,-9.7278e+15,0,0,0,503.77,0,,0.0012628,0.0012628,0,0
90.085,4.6149e-06,1.137e+08,0,2.6841e-05,0.095221,799.8,-0.10832,0,8.4762e-07,1.3964e+06,-9.7585e+15,0,0,0,503.77,0,,0.0014432,0.0014432,0,0
90.083,4.617e-06,1.137e+08,0,2.6841e-05,0.095351,800.89,-0.24533,0,8.4773e-07,1.3964e+06,-9.7892e+15,0,0,0,503.77,0,,0.0016236,0.0016236,0,0
90.082,4.6191e-06,1.137e+08,0,2.6841e-05,0.095481,801.98,-0.38234,0,8.4784e-07,1.3964e+06,-9.8198e+15,0,0,0,503.77,0,,0.001804,0.001804,0,0
90.081,4.6212e-06,1.137e+08,0,2.6841e-05,0.095613,803.08,-0.51932,0,8.4796e-07,1.3964e+06,-9.8507e+15,0,0,0,503.77,0,,0.0019844,0.0019844,0,0
90.079,4.6267e-06,1.137e+08,0,2.6841e-05,0.095826,804.86,-0.65456,0,8.4824e-07,1.3964e+06,-9.899e+15,0,0,0,503.77,0,,0.0021648,0.0021648,0,0
90.077,4.6323e-06,1.1369e+08,0,2.6841e-05,0.096039,806.64,-0.78979,0,8.4852e-07,1.3964e+06,-9.9473e+15,0,0,0,503.77,0,,0.0023452,0.0023452,0,0
90.075,4.6378e-06,1.1369e+08,0,2.6841e-05,0.096252,808.42,-0.92503,0,8.4881e-07,1.3964e+06,-9.9956e+15,0,0,0,503.77,0,,0.0025256,0.0025256,0,0
90.073,4.6433e-06,1.1369e+08,0,2.6841e-05,0.096465,810.2,-1.0603,0,8.4909e-07,1.3963e+06,-1.0044e+16,0,0,0,503.77,0,,0.002706,0.002706,0,0
90.071,4.6489e-06,1.1369e+08,0,2.6841e-05,0.096677,811.98,-1.1955,0,8.4937e-07,1.3963e+06,-1.0092e+16,0,0,0,503.77,0,,0.0028864,0.0028864,0,0
90.069,4.6544e-06,1.1368e+08,0,2.6841e-05,0.09689,813.77,-1.3307,0,8.4966e-07,1.3963e+06,-1.014e+16,0,0,0,503.77,0,,0.0030668,0.0030668,0,0
90.067,4.6599e-06,1.1368e+08,0,2.6841e-05,0.097103,815.55,-1.466,0,8.4994e-07,1.3963e+06,-1.0189e+16,0,0,0,503.77,0,,0.0032472,0.0032472,0,0
90.064,4.6655e-06,1.1368e+08,0,2.6841e-05,0.097316,817.33,-1.6012,0,8.5022e-07,1.3963e+06,-1.0237e+16,0,0,0,503.76,0,,0.0034276,0.0034276,0,0
90.062,4.671e-06,1.1368e+08,0,2.6841e-05,0.097529,819.11,-1.7364,0,8.5051e-07,1.3963e+06,-1.0285e+16,0,0,0,503.76,0,,0.003608,0.003608,0,0
90.06,4.6765e-06,1.1367e+08,0,2.6841e-05,0.097742,820.89,-1.8717,0,8.5079e-07,1.3962e+06,-1.0333e+16,0,0,0,503.76,0,,0.0037884,0.0037884,0,0
90.058,4.6821e-06,1.1367e+08,0,2.6841e-05,0.097958,822.69,-2.0069,0,8.5107e-07,1.3962e+06,-1.0383e+16,0,0,0,503.76,0,,0.0039688,0.0039688,0,0
90.055,4.6878e-06,1.1367e+08,0,2.6841e-05,0.098279,825.37,-2.1399,0,8.5138e-07,1.3962e+06,-1.0464e+16,0,0,0,503.76,0,,0.0041492,0.0041492,0,0
90.052,4.6935e-06,1.1366e+08,0,2.6841e-05,0.098601,828.06,-2.2729,0,8.5168e-07,1.3962e+06,-1.0546e+16,0,0,0,503.76,0,,0.0043296,0.0043296,0,0
90.048,4.6992e-06,1.1366e+08,0,2.6841e-05,0.098922,830.75,-2.4059,0,8.5198e-07,1.3961e+06,-1.0628e+16,0,0,0,503.76,0,,0.00451,0.00451,0,0
90.045,4.7049e-06,1.1365e+08,0,2.6841e-05,0.099244,833.44,-2.5389,0,8.5228e-07,1.3961e+06,-1.071e+16,0,0,0,503.76,0,,0.0046904,0.0046904,0,0
90.041,4.7106e-06,1.1365e+08,0,2.6841e-05,0.099566,836.12,-2.6719,0,8.5259e-07,1.3961e+06,-1.0791e+16,0,0,0,503.76,0,,0.0048708,0.0048708,0,0
90.038,4.7163e-06,1.1365e+08,0,2.6841e-05,0.099887,838.81,-2.805,0,8.5289e-07,1.396e+06,-1.0873e+16,0,0,0,503.76,0,,0.0050512,0.0050512,0,0
90.034,4.722e-06,1.1364e+08,0,2.6841e-05,0.10021,841.5,-2.938,0,8.5319e-07,1.396e+06,-1.0955e+16,0,0,0,503.76,0,,0.0052316,0.0052316,0,0
90.031,4.7277e-06,1.1364e+08,0,2.6841e-05,0.10053,844.18,-3.071,0,8.5349e-07,1.396e+06,-1.1037e+16,0,0,0,503.76,0,,0.005412,0.005412,0,0
90.028,4.7334e-06,1.1363e+08,0,2.684e-05,0.10085,846.87,-3.204,0,8.538e-07,1.396e+06,-1.1118e+16,0,0,0,503.76,0,,0.0055924,0.0055924,0,0
90.024,4.7391e-06,1.1363e+08,0,2.684e-05,0.10117,849.56,-3.337,0,8.541e-07,1.3959e+06,-1.12e+16,0,0,0,503.76,0,,0.0057728,0.0057728,0,0
90.021,4.7449e-06,1.1362e+08,0,2.684e-05,0.1015,852.28,-3.4696,0,8.544e-07,1.3959e+06,-1.1283e+16,0,0,0,503.76,0,,0.0059532,0.0059532,0,0
90.016,4.7515e-06,1.1362e+08,0,2.684e-05,0.10193,855.9,-3.5906,0,8.5476e-07,1.3959e+06,-1.1393e+16,0,0,0,503.76,0,,0.0061336,0.0061336,0,0
90.011,4.7581e-06,1.1361e+08,0,2.684e-05,0.10237,859.53,-3.7115,0,8.5511e-07,1.3958e+06,-1.1502e+16,0,0,0,503.76,0,,0.006314,0.006314,0,0
90.007,4.7646e-06,1.1361e+08,0,2.684e-05,0.1028,863.16,-3.8325,0,8.5546e-07,1.3958e+06,-1.1612e+16,0,0,0,503.75,0,,0.0064944,0.0064944,0,0
90.002,4.7712e-06,1.136e+08,0,2.684e-05,0.10324,866.78,-3.9534,0,8.5581e-07,1.3957e+06,-1.1722e+16,0,0,0,503.75,0,,0.0066748,0.0066748,0,0
89.998,4.7778e-06,1.1359e+08,0,2.684e-05,0.10367,870.41,-4.0744,0,8.5617e-07,1.3957e+06,-1.1831e+16,0,0,0,503.75,0,,0.0068552,0.0068552,0,0
89.993,4.7844e-06,1.1359e+08,0,2.684e-05,0.10411,874.04,-4.1953,0,8.5652e-07,1.3957e+06,-1.1941e+16,0,0,0,503.75,0,,0.0070356,0.0070356,0,0
89.989,4.791e-06,1.1358e+08,0,2.684e-05,0.10454,877.67,-4.3162,0,8.5687e-07,1.3956e+06,-1.2051e+16,0,0,0,503.75,0,,0.007216,0.007216,0,0
89.984,4.7976e-06,1.1358e+08,0,2.684e-05,0.10497,881.29,-4.4372,0,8.5723e-07,1.3956e+06,-1.216e+16,0,0,0,503.75,0,,0.0073964,0.0073964,0,0
89.979,4.8042e-06,1.1357e+08,0,2.684e-05,0.10541,884.92,-4.5581,0,8.5758e-07,1.3955e+06,-1.227e+16,0,0,0,503.75,0,,0.0075768,0.0075768,0,0
89.975,4.8108e-06,1.1357e+08,0,2.684e-05,0.10584,888.55,-4.6791,0,8.5793e-07,1.3955e+06,-1.238e+16,0,0,0,503.75,0,,0.0077572,0.0077572,0,0
89.97,4.8174e-06,1.1356e+08,0,2.684e-05,0.10628,892.22,-4.8,0,8.5828e-07,1.3955e+06,-1.2491e+16,0,0,0,503.75,0,,0.0079376,0.0079376,0,0
89.964,4.8239e-06,1.1355e+08,0,2.684e-05,0.10684,896.86,-4.9198,0,8.5864e-07,1.3954e+06,-1.2626e+16,0,0,0,503.75,0,,0.008118,0.008118,0,0
89.959,4.8304e-06,1.1354e+08,0,2.684e-05,0.10739,901.49,-5.0397,0,8.59e-07,1.3954e+06,-1.2762e+16,0,0,0,503.75,0,,0.0082984,0.0082984,0,0
89.953,4.8369e-06,1.1354e+08,0,2.684e-05,0.10795,906.13,-5.1595,0,8.5935e-07,1.3953e+06,-1.2897e+16,0,0,0,503.75,0,,0.0084788,0.0084788,0,0
89.947,4.8434e-06,1.1353e+08,0,2.684e-05,0.1085,910.77,-5.2794,0,8.5971e-07,1.3953e+06,-1.3032e+16,0,0,0,503.74,0,,0.0086592,0.0086592,0,0
89.942,4.8499e-06,1.1352e+08,0,2.684e-05,0.10906,915.4,-5.3992,0,8.6006e-07,1.3952e+06,-1.3168e+16,0,0,0,503.74,0,,0.0088396,0.0088396,0,0
89.936,4.8564e-06,1.1352e+08,0,2.684e-05,0.10962,920.04,-5.5191,0,8.6042e-07,1.3952e+06,-1.3303e+16,0,0,0,503.74,0,,0.00902,0.00902,0,0
89.93,4.8629e-06,1.1351e+08,0,2.684e-05,0.11017,924.67,-5.639,0,8.6077e-07,1.3951e+06,-1.3439e+16,0,0,0,503.74,0,,0.0092004,0.0092004,0,0
89.925,4.8694e-06,1.135e+08,0,2.684e-05,0.11073,929.31,-5.7588,0,8.6113e-07,1.3951e+06,-1.3574e+16,0,0,0,503.74,0,,0.0093808,0.0093808,0,0
89.919,4.8759e-06,1.1349e+08,0,2.684e-05,0.11128,933.95,-5.8787,0,8.6148e-07,1.395e+06,-1.371e+16,0,0,0,503.74,0,,0.0095612,0.0095612,0,0
89.913,4.8824e-06,1.1349e+08,0,2.684e-05,0.11184,938.58,-5.9985,0,8.6184e-07,1.395e+06,-1.3845e+16,0,0,0,503.74,0,,0.0097416,0.0097416,0,0
89.908,4.8889e-06,1.1348e+08,0,2.684e-05,0.1124,943.29,-6.1193,0,8.622e-07,1.3949e+06,-1.3983e+16,0,0,0,503.74,0,,0.009922,0.009922,0,0
89.9,4.8947e-06,1.1347e+08,0,2.684e-05,0.1131,949.14,-6.2555,0,8.6254e-07,1.3948e+06,-1.4175e+16,0,0,0,503.74,0,,0.010102,0.010102,0,0
89.892,4.9005e-06,1.1346e+08,0,2.684e-05,0.1138,954.99,-6.3918,0,8.6288e-07,1.3948e+06,-1.4366e+16,0,0,0,503.73,0,,0.010283,0.010283,0,0
89.884,4.9063e-06,1.1345e+08,0,2.684e-05,0.11451,960.84,-6.528,0,8.6323e-07,1.3947e+06,-1.4558e+16,0,0,0,503.73,0,,0.010463,0.010463,0,0
89.876,4.9122e-06,1.1344e+08,0,2.684e-05,0.11521,966.68,-6.6642,0,8.6357e-07,1.3946e+06,-1.4749e+16,0,0,0,503.73,0,,0.010644,0.010644,0,0
89.868,4.918e-06,1.1343e+08,0,2.6839e-05,0.11591,972.53,-6.8005,0,8.6392e-07,1.3946e+06,-1.4941e+16,0,0,0,503.73,0,,0.010824,0.010824,0,0
89.86,4.9238e-06,1.1342e+08,0,2.6839e-05,0.11661,978.38,-6.9367,0,8.6426e-07,1.3945e+06,-1.5132e+16,0,0,0,503.73,0,,0.011004,0.011004,0,0
89.852,4.9296e-06,1.1341e+08,0,2.6839e-05,0.11731,984.23,-7.0729,0,8.646e-07,1.3944e+06,-1.5324e+16,0,0,0,503.73,0,,0.011185,0.011185,0,0
