"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.95176,81.294,0.084274,0.061489,5.3111e-05,0,0.99798,-7.7506e+15,1.0076,,0,0,0,0
0.95176,81.294,0.084317,0.06152,4.9635e-05,0,0.99798,-7.7532e+15,1.0076,,0.0001804,0.0001804,0,0
0.95176,81.294,0.084361,0.061551,4.616e-05,0,0.99798,-7.7558e+15,1.0076,,0.0003608,0.0003608,0,0
0.95176,81.294,0.084404,0.061583,4.2684e-05,0,0.99798,-7.7583e+15,1.0076,,0.0005412,0.0005412,0,0
0.95176,81.293,0.084447,0.061614,3.9209e-05,0,0.99798,-7.7609e+15,1.0076,,0.0007216,0.0007216,0,0
0.95176,81.293,0.08449,0.061646,3.5733e-05,0,0.99798,-7.7635e+15,1.0076,,0.000902,0.000902,0,0
0.95176,81.293,0.084533,0.061677,3.2258e-05,0,0.99798,-7.7661e+15,1.0076,,0.0010824,0.0010824,0,0
0.95175,81.293,0.084576,0.061709,2.8782e-05,0,0.99798,-7.7687e+15,1.0076,,0.0012628,0.0012628,0,0
0.95175,81.293,0.084619,0.06174,2.5307e-05,0,0.99798,-7.7712e+15,1.0076,,0.0014432,0.0014432,0,0
0.95175,81.293,0.084662,0.061771,2.1831e-05,0,0.99798,-7.7738e+15,1.0076,,0.0016236,0.0016236,0,0
0.95175,81.293,0.084705,0.061803,1.8356e-05,0,0.99798,-7.7764e+15,1.0076,,0.001804,0.001804,0,0
0.95175,81.293,0.084749,0.061835,1.4904e-05,0,0.99798,-7.7791e+15,1.0076,,0.0019844,0.0019844,0,0
0.95175,81.292,0.084846,0.061905,1.3595e-05,0,0.99797,-7.7898e+15,1.0076,,0.0021648,0.0021648,0,0
0.95174,81.292,0.084943,0.061976,1.2286e-05,0,0.99797,-7.8006e+15,1.0076,,0.0023452,0.0023452,0,0
0.95174,81.292,0.08504,0.062046,1.0977e-05,0,0.99797,-7.8113e+15,1.0076,,0.0025256,0.0025256,0,0
0.95173,81.291,0.085137,0.062117,9.6679e-06,0,0.99797,-7.822e+15,1.0076,,0.002706,0.002706,0,0
0.95173,81.291,0.085234,0.062188,8.3589e-06,0,0.99796,-7.8328e+15,1.0076,,0.0028864,0.0028864,0,0
0.95172,81.29,0.085331,0.062258,7.0498e-06,0,0.99796,-7.8435e+15,1.0076,,0.0030668,0.0030668,0,0
0.95172,81.29,0.085428,0.062329,5.7408e-06,0,0.99796,-7.8543e+15,1.0076,,0.0032472,0.0032472,0,0
0.95171,81.289,0.085525,0.062399,4.4317e-06,0,0.99796,-7.865e+15,1.0076,,0.0034276,0.0034276,0,0
0.95171,81.289,0.085621,0.06247,3.1227e-06,0,0.99795,-7.8758e+15,1.0076,,0.003608,0.003608,0,0
0.9517,81.289,0.085718,0.06254,1.8136e-06,0,0.99795,-7.8865e+15,1.0076,,0.0037884,0.0037884,0,0
0.9517,81.288,0.085817,0.062612,5.1098e-07,0,0.99795,-7.8977e+15,1.0076,,0.0039688,0.0039688,0,0
0.95169,81.287,0.085978,0.062729,-5.0543e-07,0,0.99794,-7.9252e+15,1.0076,,0.0041492,0.0041492,0,0
0.95167,81.286,0.086138,0.062846,-1.5218e-06,0,0.99793,-7.9527e+15,1.0076,,0.0043296,0.0043296,0,0
0.95166,81.285,0.086299,0.062963,-2.5382e-06,0,0.99793,-7.9802e+15,1.0076,,0.00451,0.00451,0,0
0.95165,81.284,0.08646,0.06308,-3.5547e-06,0,0.99792,-8.0077e+15,1.0076,,0.0046904,0.0046904,0,0
0.95164,81.283,0.086621,0.063197,-4.5711e-06,0,0.99791,-8.0352e+15,1.0076,,0.0048708,0.0048708,0,0
0.95162,81.282,0.086782,0.063314,-5.5875e-06,0,0.9979,-8.0627e+15,1.0076,,0.0050512,0.0050512,0,0
0.95161,81.281,0.086943,0.063431,-6.6039e-06,0,0.9979,-8.0903e+15,1.0076,,0.0052316,0.0052316,0,0
0.9516,81.28,0.087103,0.063548,-7.6203e-06,0,0.99789,-8.1178e+15,1.0076,,0.005412,0.005412,0,0
0.95159,81.279,0.087264,0.063665,-8.6367e-06,0,0.99788,-8.1453e+15,1.0076,,0.0055924,0.0055924,0,0
0.95158,81.278,0.087425,0.063782,-9.6531e-06,0,0.99788,-8.1728e+15,1.0076,,0.0057728,0.0057728,0,0
0.95156,81.277,0.087588,0.063901,-1.0641e-05,0,0.99787,-8.2008e+15,1.0076,,0.0059532,0.0059532,0,0
0.95154,81.275,0.087814,0.064065,-1.0786e-05,0,0.99786,-8.2423e+15,1.0076,,0.0061336,0.0061336,0,0
0.95153,81.274,0.08804,0.06423,-1.0931e-05,0,0.99785,-8.2838e+15,1.0076,,0.006314,0.006314,0,0
0.95151,81.272,0.088267,0.064394,-1.1076e-05,0,0.99784,-8.3253e+15,1.0076,,0.0064944,0.0064944,0,0
0.95149,81.27,0.088493,0.064559,-1.1222e-05,0,0.99782,-8.3669e+15,1.0076,,0.0066748,0.0066748,0,0
0.95147,81.269,0.088719,0.064723,-1.1367e-05,0,0.99781,-8.4084e+15,1.0076,,0.0068552,0.0068552,0,0
0.95145,81.267,0.088945,0.064887,-1.1512e-05,0,0.9978,-8.4499e+15,1.0076,,0.0070356,0.0070356,0,0
0.95143,81.266,0.089171,0.065052,-1.1657e-05,0,0.99779,-8.4914e+15,1.0076,,0.007216,0.007216,0,0
0.95142,81.264,0.089397,0.065216,-1.1802e-05,0,0.99778,-8.533e+15,1.0076,,0.0073964,0.0073964,0,0
0.9514,81.263,0.089624,0.065381,-1.1947e-05,0,0.99777,-8.5745e+15,1.0076,,0.0075768,0.0075768,0,0
0.95138,81.261,0.08985,0.065545,-1.2093e-05,0,0.99776,-8.616e+15,1.0076,,0.0077572,0.0077572,0,0
0.95136,81.259,0.090079,0.065712,-1.2238e-05,0,0.99775,-8.6581e+15,1.0076,,0.0079376,0.0079376,0,0
0.95134,81.257,0.090374,0.065926,-1.2382e-05,0,0.99773,-8.7131e+15,1.0076,,0.008118,0.008118,0,0
0.95131,81.255,0.090669,0.066141,-1.2525e-05,0,0.99772,-8.7681e+15,1.0076,,0.0082984,0.0082984,0,0
0.95129,81.253,0.090964,0.066355,-1.2669e-05,0,0.99771,-8.8231e+15,1.0076,,0.0084788,0.0084788,0,0
0.95126,81.251,0.091259,0.066569,-1.2813e-05,0,0.99769,-8.8781e+15,1.0075,,0.0086592,0.0086592,0,0
0.95124,81.249,0.091553,0.066784,-1.2957e-05,0,0.99768,-8.933e+15,1.0075,,0.0088396,0.0088396,0,0
0.95121,81.247,0.091848,0.066998,-1.3101e-05,0,0.99766,-8.988e+15,1.0075,,0.00902,0.00902,0,0
0.95119,81.245,0.092143,0.067213,-1.3245e-05,0,0.99765,-9.043e+15,1.0075,,0.0092004,0.0092004,0,0
0.95117,81.243,0.092438,0.067427,-1.3389e-05,0,0.99763,-9.098e+15,1.0075,,0.0093808,0.0093808,0,0
0.95114,81.241,0.092733,0.067641,-1.3533e-05,0,0.99762,-9.153e+15,1.0075,,0.0095612,0.0095612,0,0
0.95112,81.238,0.093028,0.067856,-1.3677e-05,0,0.99761,-9.2079e+15,1.0075,,0.0097416,0.0097416,0,0
0.95109,81.236,0.093327,0.068073,-1.3821e-05,0,0.99759,-9.2639e+15,1.0075,,0.009922,0.009922,0,0
0.95106,81.234,0.093696,0.068341,-1.3979e-05,0,0.99757,-9.3356e+15,1.0075,,0.010102,0.010102,0,0
