"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,     -0.2771042185,       1.320921227,      -5.014118755,       5.821752749,      -8.339131506
          0,           0,           1,     -0.4510908217,       1.326843711,     -0.3529239286,       5.648725012,      -8.493057535
          0,           0,           2,     -0.5761015119,       1.304277256,     -0.1274490261,        5.52415946,      -8.613005752
          0,           0,           3,     -0.6509368691,       1.269231942,    -0.01238143038,       5.449529416,      -8.706365646
          0,           0,           4,      -0.700138644,        1.22339791,     0.06718722464,        5.40043421,       -8.76965224
          0,           0,           5,     -0.7426472557,       1.172394637,      0.1326431523,       5.357996835,      -8.810236188
          0,           0,           6,     -0.7845267909,       1.121066603,      0.1904832895,       5.316165829,      -8.843095163
          0,           0,           7,     -0.8265888076,       1.071417798,      0.2412497951,       5.274130388,      -8.878323421
          0,           0,           8,     -0.8687568612,        1.02354358,      0.2844122392,       5.231968739,      -8.918677361
          0,           0,           9,     -0.9110075583,      0.9768761061,      0.3199069743,       5.189707971,      -8.962870395
          0,           0,          10,      -0.953281749,      0.9307302088,      0.3471541967,       5.147412725,      -9.008739296
          0,           0,          11,       -0.99532937,      0.8844932085,      0.3657151221,       5.105339735,      -9.052539003
          0,           0,          12,      -1.031672281,      0.8439200485,      0.3602567581,       5.068972728,      -9.089436337
          0,           0,          13,      -1.062114615,      0.8098777902,      0.3405561105,       5.038509105,      -9.120291077
          0,           0,          14,      -1.088338424,      0.7805756768,      0.3202420308,       5.012267241,      -9.147089782
          0,           0,          15,      -1.111465142,      0.7548037589,       0.303270112,       4.989124691,      -9.170985044
          0,           0,          16,      -1.132244924,      0.7317786817,      0.2900196863,       4.968330466,      -9.192686847
          0,           0,          17,      -1.151184089,      0.7109434365,      0.2795718975,       4.949377282,      -9.212676112
          0,           0,          18,      -1.168634938,      0.6919265446,      0.2707030093,       4.931912479,      -9.231245873
          0,           0,          19,      -1.184842998,      0.6744255683,       0.262322929,       4.915690124,      -9.248622599
          0,           0,          20,      -1.199994173,      0.6582245654,      0.2536736465,       4.900524391,      -9.264938427
          0,           0,          21,      -1.214236188,      0.6431112527,      0.2442741236,       4.886267355,      -9.280341116
          0,           0,          22,       -1.22768682,      0.6289316511,      0.2338809625,       4.872801429,      -9.294919201
          0,           0,          23,      -1.240449793,      0.6155231575,      0.2224474408,       4.860022762,       -9.30879563
          0,           0,          24,      -1.252613586,      0.6027739072,      0.2101100274,       4.847843107,      -9.322040451
          0,           0,          25,      -1.264266298,      0.5905540916,      0.1971503214,       4.836174274,      -9.334768499
          0,           0,          26,      -1.275481968,      0.5787899056,      0.1839709506,       4.824942472,      -9.347023946
          0,           0,          27,      -1.286331941,      0.5673866831,      0.1709936201,       4.814076324,      -9.358898951
          0,           0,          28,      -1.296871195,       0.556314371,      0.1585949739,       4.803521076,      -9.370405272
          0,           0,          29,      -1.307145996,       0.545498603,      0.1470190343,       4.793230463,      -9.381604804
          0,           0,          30,      -1.317184349,      0.5349395205,      0.1363345617,       4.783176651,      -9.392467885
          0,           0,          31,      -1.327003375,      0.5245598826,      0.1264270601,       4.773342563,      -9.403020771
          0,           0,          32,      -1.336601928,      0.5143646841,      0.1170521523,       4.763729499,       -9.41319296
          0,           0,          33,       -1.34596664,      0.5042460433,      0.1078899333,       4.754351002,      -9.422981198
          0,           0,          34,      -1.355067562,      0.4941788844,      0.0986133481,       4.745237241,      -9.432286931
