"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,       -1.17779347,      0.7235844142,      0.4206805128,       4.924586766,      -6.268323737
          0,           0,           1,      -1.253457189,      0.6604050243,      0.3088452013,       4.849120288,      -6.275581921
          0,           0,           2,      -1.348306622,      0.5240446624,      0.1605850827,        4.75470443,      -6.260169678
          0,           0,           3,      -1.436547899,      0.3405709936,    0.004404213374,        4.66721324,      -6.224786321
          0,           0,           4,      -1.484769604,      0.3281106376,    -0.09797225323,       4.618588666,      -6.173746407
          0,           0,           5,      -1.538493538,      0.3046438452,     -0.1318850391,       4.566184509,      -6.114117144
          0,           0,           6,      -1.597291083,       0.297722243,     -0.1413936417,       4.509502575,      -6.054871687
          0,           0,           7,      -1.664217207,      0.2508636794,     -0.1861544478,       4.439301469,      -6.004522959
          0,           0,           8,      -1.750610803,      0.1934665384,     -0.1783512461,       4.354916281,      -5.967493399
          0,           0,           9,      -1.831373642,      0.1580777412,     -0.1583021075,       4.274062572,      -5.939740531
          0,           0,          10,      -1.896758303,      0.1261276376,      -0.143009484,       4.208359455,       -5.90773342
          0,           0,          11,      -1.930732604,      0.1050309769,     -0.1197750916,       4.174392671,      -5.859804371
          0,           0,          12,      -1.952998714,     0.09366969979,     -0.1075889462,       4.152170798,      -5.790376998
          0,           0,          13,      -1.972187623,     0.09617799347,     -0.1021110204,       4.132925358,      -5.705709063
          0,           0,          14,      -2.000012236,     0.09463728067,    -0.09126076338,       4.105127091,      -5.614205339
          0,           0,          15,      -2.015050811,      0.1066382753,    -0.08957714481,       4.090569299,      -5.525733295
          0,           0,          16,      -2.019465548,      0.1169672526,    -0.09213204778,       4.086196836,      -5.446587239
          0,           0,          17,       -2.00849366,      0.1287952769,    -0.09730821397,        4.09744453,      -5.378370357
          0,           0,          18,      -1.990483203,      0.1439001954,     -0.1035993346,       4.115408315,       -5.32021281
          0,           0,          19,      -1.971548937,      0.1592867219,     -0.1153667325,       4.134462867,      -5.271457946
          0,           0,          20,      -1.958023271,      0.1766541983,     -0.1301148822,       4.147943573,       -5.23192357
          0,           0,          21,      -1.951423096,      0.1889672796,     -0.1431418704,        4.15477269,      -5.199967762
          0,           0,          22,      -1.949394356,      0.1985444789,     -0.1520563867,          4.156828,       -5.17369332
          0,           0,          23,      -1.950916803,        0.20317505,     -0.1488543987,       4.155226358,      -5.151558893
          0,           0,          24,      -1.954890301,      0.1984859284,     -0.1522008967,       4.150564242,      -5.132184922
          0,           0,          25,      -1.967020372,       0.185957716,      -0.168186095,       4.138496645,      -5.114411691
