"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -6.921104131,      -6.463122887,      -6.730257997,      -5.470726696,      -8.879084364
          0,           0,           1,      -7.062162509,      -6.630836906,      -6.865300036,      -5.612134567,      -9.025734684
          0,           0,           2,       -7.17268243,      -6.789743478,      -6.985304481,      -5.723398363,      -9.189102283
          0,           0,           3,      -7.231607669,      -6.910759547,      -7.049183549,       -5.78339337,      -9.365585233
          0,           0,           4,       -7.25903583,      -6.991752735,      -7.075815828,      -5.812744395,      -9.542806947
          0,           0,           5,      -7.266940359,      -7.028025062,      -7.071280111,      -5.822414225,      -9.704580918
          0,           0,           6,       -7.25496974,      -7.023663303,      -7.021431496,      -5.810826242,       -9.83132638
          0,           0,           7,       -7.27049719,      -7.042072818,      -7.039285236,      -5.827562045,      -9.925258235
          0,           0,           8,      -7.300881398,      -7.081581017,      -7.070843274,      -5.858211133,      -9.991007464
          0,           0,           9,      -7.329476594,      -7.103104962,      -7.094534249,      -5.883814211,      -10.03953983
          0,           0,          10,      -7.359087994,      -7.153623905,      -7.140302992,      -5.908785778,      -10.07481328
          0,           0,          11,      -7.392795258,      -7.204008594,      -7.178769684,      -5.938397619,      -10.08716604
          0,           0,          12,      -7.391630397,      -7.170680339,      -7.130972554,      -5.934151404,      -10.08415414
          0,           0,          13,      -7.380652167,      -7.158704416,      -7.117450883,      -5.921804637,      -10.05568512
          0,           0,          14,      -7.399269032,      -7.229461704,      -7.172966329,      -5.940218891,      -9.994329216
          0,           0,          15,      -7.430901129,      -7.283666341,      -7.217289132,      -5.971940506,      -9.954256085
          0,           0,          16,      -7.382797487,      -7.207858074,      -7.146508062,      -5.923831471,      -9.920148267
          0,           0,          17,      -7.395590453,      -7.208265153,      -7.163581555,      -5.936808032,      -9.889685187
          0,           0,          18,      -7.417402588,      -7.231769497,      -7.180557286,      -5.958910773,      -9.884461133
          0,           0,          19,      -7.419531344,      -7.252385853,        -7.1935488,      -5.961311081,      -9.902134128
          0,           0,          20,      -7.418222922,      -7.251438976,      -7.191744249,      -5.959881435,       -9.91501759
          0,           0,          21,      -7.399592001,      -7.172169191,      -7.128108417,      -5.941037604,      -9.952560653
          0,           0,          22,      -7.404063217,      -7.182341206,      -7.143769999,        -5.9454116,      -9.987278789
          0,           0,          23,      -7.420112558,      -7.230153833,      -7.179040474,      -5.961775498,      -9.985826785
          0,           0,          24,      -7.393741432,      -7.202582621,      -7.132896508,      -5.935533269,      -9.974830827
          0,           0,          25,      -7.400951671,      -7.202292827,      -7.137667303,      -5.943037264,      -9.940181997
          0,           0,          26,      -7.403300182,      -7.212939994,      -7.156843397,      -5.945713908,      -9.922470377
          0,           0,          27,      -7.408764478,      -7.239232303,      -7.175361987,      -5.951529988,       -9.90760383
          0,           0,          28,      -7.414141874,      -7.241521197,      -7.178444021,      -5.957249488,      -9.917439656
          0,           0,          29,      -7.386076693,      -7.178667901,      -7.105886737,       -5.92894107,      -9.944615322
          0,           0,          30,      -7.384527585,      -7.181991553,       -7.11902461,       -5.92758647,       -9.98379353
          0,           0,          31,      -7.385400357,      -7.182588704,      -7.143810181,      -5.928272307,      -10.01436461
          0,           0,          32,      -7.407723936,      -7.230139839,       -7.17855542,      -5.950702044,      -10.04359082
          0,           0,          33,      -7.405458848,      -7.197330552,      -7.132886475,      -5.948164238,      -10.04486003
          0,           0,          34,       -7.38520788,      -7.181270234,      -7.126458698,      -5.927880668,      -10.01725607
          0,           0,          35,      -7.400129355,      -7.222476972,      -7.151219781,      -5.943220719,      -9.963452866
          0,           0,          36,      -7.404540358,      -7.207407075,      -7.142495022,      -5.947668703,      -9.906410422
          0,           0,          37,      -7.393263558,      -7.162133655,      -7.092247175,      -5.935985117,      -9.856347873
          0,           0,          38,      -7.399688827,      -7.178839596,      -7.098809717,      -5.942580777,      -9.808709312
          0,           0,          39,      -7.406961522,        -7.2117793,      -7.133199582,      -5.949995096,      -9.768125799
          0,           0,          40,      -7.415454994,      -7.242533348,      -7.155281452,       -5.95855421,      -9.730526963
          0,           0,          41,      -7.425214887,       -7.25802107,      -7.173276314,      -5.968498364,      -9.699313846
          0,           0,          42,      -7.383325309,      -7.199786363,      -7.126169513,      -5.926262772,      -9.670258429
          0,           0,          43,      -7.376134898,      -7.165343971,      -7.093131211,      -5.919074308,      -9.642686453
          0,           0,          44,      -7.398634201,      -7.186265161,      -7.114391393,      -5.941837958,      -9.611595019
          0,           0,          45,      -7.402946437,      -7.199712214,      -7.130637294,      -5.946417419,      -9.587743637
          0,           0,          46,      -7.392250303,      -7.206770092,       -7.14411755,      -5.936073968,      -9.567758254
          0,           0,          47,      -7.390277694,      -7.227947219,       -7.16430701,       -5.93456658,      -9.550067739
          0,           0,          48,      -7.377067061,      -7.174418625,      -7.128026187,      -5.921506673,      -9.534262932
          0,           0,          49,      -7.372279188,      -7.143174089,      -7.090148777,      -5.916491325,      -9.517032109
          0,           0,          50,      -7.376072743,      -7.148538574,      -7.116662803,      -5.921128001,      -9.510921138
          0,           0,          51,      -7.373789868,      -7.154086266,      -7.134988521,       -5.91944087,      -9.506656716
          0,           0,          52,       -7.37468718,      -7.172784237,      -7.150334702,      -5.920562731,      -9.501861255
          0,           0,          53,      -7.346480772,      -7.087542626,      -7.069553735,      -5.891595355,      -9.501600151
          0,           0,          54,       -7.35902935,      -7.109613576,      -7.111221619,      -5.904880471,      -9.503054369
          0,           0,          55,      -7.374361046,       -7.15586001,      -7.148711553,      -5.921125298,      -9.504156403
          0,           0,          56,      -7.389171803,      -7.175083286,      -7.163683015,      -5.936402227,       -9.50596832
          0,           0,          57,      -7.377821615,      -7.126573396,      -7.103172143,      -5.924348119,      -9.506988353
          0,           0,          58,       -7.36121742,      -7.138350243,      -7.113826042,      -5.907003943,      -9.506300187
          0,           0,          59,      -7.390395545,      -7.190928396,      -7.159941992,      -5.936988919,       -9.50395523
          0,           0,          60,      -7.398974656,      -7.178185265,      -7.142997054,      -5.945526193,      -9.501134543
          0,           0,          61,      -7.391709572,      -7.153344348,      -7.107277764,      -5.937543365,      -9.499731271
          0,           0,          62,      -7.387000302,      -7.145917044,      -7.102709757,      -5.932218593,      -9.501730833
          0,           0,          63,      -7.388631802,      -7.163869807,      -7.122146102,      -5.933955448,      -9.508717409
          0,           0,          64,      -7.400523652,      -7.197964239,      -7.149272695,      -5.945650572,      -9.522168606
          0,           0,          65,      -7.393944504,      -7.219166773,      -7.161936312,      -5.938627079,      -9.541319551
          0,           0,          66,      -7.372465177,      -7.166757271,      -7.119157072,      -5.916696365,      -9.571455568
          0,           0,          67,      -7.364052941,      -7.147657409,      -7.096708644,      -5.908080058,       -9.60603269
          0,           0,          68,      -7.348341619,      -7.186120147,       -7.12387094,      -5.892248587,       -9.64713221
          0,           0,          69,      -7.368023356,      -7.220319178,      -7.149967067,      -5.912488331,      -9.692092426
          0,           0,          70,      -7.349009163,      -7.130417532,      -7.063849528,      -5.892824592,      -9.739841115
          0,           0,          71,      -7.355986256,         -7.156356,      -7.103295557,      -5.899894577,      -9.782409211
