"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -5.611827994,      -5.355710598,      -5.681245546,      -3.903733782,      -8.668758996
          0,           0,           1,      -5.796990908,      -5.522981314,      -5.854999335,      -4.088307126,      -8.791182938
          0,           0,           2,      -5.973767027,      -5.680879462,      -5.999647674,      -4.263989813,      -8.920555962
          0,           0,           3,      -6.123248491,      -5.823772653,       -6.13137068,      -4.412318535,      -9.047318043
          0,           0,           4,      -6.226822839,      -5.941347661,      -6.237476557,       -4.51504491,      -9.158516212
          0,           0,           5,      -6.294458312,      -6.029477798,      -6.309879074,       -4.58150974,      -9.244277904
          0,           0,           6,      -6.313088596,      -6.063271737,      -6.231257919,      -4.600637282,      -9.304571589
          0,           0,           7,      -6.362249253,      -6.116951833,      -6.239902761,      -4.650014832,      -9.346845358
          0,           0,           8,      -6.423072492,      -6.182642869,      -6.270000477,      -4.711446124,      -9.379042583
          0,           0,           9,      -6.472380614,      -6.235561825,      -6.286633744,      -4.761237383,      -9.405297407
          0,           0,          10,      -6.507324804,      -6.276927897,      -6.282970278,      -4.796165325,      -9.436942235
          0,           0,          11,      -6.483314996,       -6.24510155,      -6.204698814,      -4.769956405,      -9.469900793
          0,           0,          12,      -6.501703802,      -6.261086239,      -6.210314879,      -4.788040201,      -9.501827594
          0,           0,          13,      -6.506459356,      -6.267611619,      -6.224991654,      -4.792126775,      -9.519826138
          0,           0,          14,      -6.518091814,      -6.277243972,       -6.25614599,       -4.80341297,      -9.541981441
          0,           0,          15,        -6.5318466,      -6.297065518,      -6.255259332,      -4.817219886,      -9.568433712
          0,           0,          16,      -6.473744606,      -6.228195072,      -6.150963856,      -4.757873438,      -9.596272298
          0,           0,          17,       -6.48893871,      -6.240314939,      -6.164767142,      -4.773223936,      -9.625277727
          0,           0,          18,       -6.51414918,      -6.264195182,      -6.207159607,      -4.798267238,      -9.648160832
          0,           0,          19,      -6.523075768,      -6.274599639,       -6.22408555,      -4.807301681,      -9.658672183
          0,           0,          20,      -6.516512467,      -6.261856389,      -6.200327461,       -4.80036868,      -9.673912384
          0,           0,          21,      -6.475787312,       -6.21384878,      -6.131800492,      -4.759479878,      -9.665697064
          0,           0,          22,      -6.512564341,      -6.255013549,      -6.176234068,      -4.796289077,      -9.654960867
          0,           0,          23,       -6.52456609,      -6.271570934,       -6.20428675,      -4.808375853,      -9.629925037
          0,           0,          24,      -6.557434676,      -6.304801772,      -6.242584385,       -4.84135122,      -9.615566614
          0,           0,          25,      -6.521829224,       -6.25711017,      -6.186291276,      -4.805428015,      -9.592548835
          0,           0,          26,       -6.55009131,      -6.286861094,       -6.21428612,      -4.833724379,      -9.573090097
          0,           0,          27,      -6.481847473,      -6.213286319,      -6.140748042,      -4.765008687,      -9.546773362
          0,           0,          28,       -6.49002398,        -6.2193671,      -6.142606292,      -4.772838898,      -9.533599888
          0,           0,          29,       -6.52502408,      -6.256042649,      -6.190465948,      -4.808186315,      -9.523103255
          0,           0,          30,      -6.559106678,      -6.294591741,      -6.238504968,      -4.842486247,      -9.511749077
          0,           0,          31,      -6.486057067,      -6.212315655,      -6.133934424,      -4.769000675,      -9.499312668
          0,           0,          32,      -6.510172942,      -6.242426768,      -6.163981232,      -4.792980463,      -9.491841822
          0,           0,          33,      -6.523406544,       -6.25850403,      -6.191693283,      -4.806527276,      -9.482486422
          0,           0,          34,      -6.549121655,      -6.283557293,      -6.223397958,      -4.832403178,      -9.480892497
          0,           0,          35,        -6.5052378,      -6.233290391,      -6.157252478,      -4.788189307,      -9.473779945
          0,           0,          36,      -6.532161898,      -6.262379483,       -6.19151874,      -4.814990295,      -9.469053527
          0,           0,          37,      -6.553586785,      -6.281754836,      -6.227894551,      -4.836734558,       -9.46269462
          0,           0,          38,      -6.508672583,       -6.23566849,      -6.166206751,       -4.79167946,      -9.454200644
          0,           0,          39,      -6.541783064,      -6.275199143,      -6.211318806,      -4.824987359,      -9.448845425
          0,           0,          40,      -6.534483826,      -6.263820522,       -6.20544836,      -4.817570421,      -9.447107033
          0,           0,          41,      -6.477981862,      -6.204476624,      -6.131768926,      -4.760806018,      -9.439193745
          0,           0,          42,      -6.489529119,      -6.209737123,       -6.14133373,      -4.772316614,      -9.434298973
          0,           0,          43,       -6.53436375,      -6.255614228,      -6.207347066,      -4.817241683,      -9.427325062
          0,           0,          44,      -6.559844019,       -6.29124749,      -6.244329654,      -4.843163755,      -9.417984459
