"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99932,1.7875e-09,55.681,0,8.3247e-09,0.084424,0.080743,0.0014637,0,2.5125e-08,0.99938,-1.3544e+15,0,0,0,0.99998,0,,0,0,0,0
0.99915,1.7912e-09,55.671,0,8.3247e-09,0.084201,0.080519,0.0013476,0,2.5143e-08,0.99922,-1.7071e+15,0,0,0,0.99998,0,,0.0001804,0.0001804,0,0
0.99897,1.7949e-09,55.661,0,8.3247e-09,0.083979,0.080294,0.0012315,0,2.5161e-08,0.99906,-2.0599e+15,0,0,0,0.99998,0,,0.0003608,0.0003608,0,0
0.99879,1.7986e-09,55.651,0,8.3247e-09,0.083756,0.08007,0.0011155,0,2.5179e-08,0.99889,-2.4127e+15,0,0,0,0.99997,0,,0.0005412,0.0005412,0,0
0.99862,1.8023e-09,55.641,0,8.3247e-09,0.083533,0.079846,0.0009994,0,2.5197e-08,0.99873,-2.7654e+15,0,0,0,0.99997,0,,0.0007216,0.0007216,0,0
0.99844,1.806e-09,55.631,0,8.3246e-09,0.083311,0.079622,0.00088333,0,2.5215e-08,0.99857,-3.1182e+15,0,0,0,0.99996,0,,0.000902,0.000902,0,0
0.99826,1.8096e-09,55.621,0,8.3246e-09,0.083088,0.079397,0.00076727,0,2.5233e-08,0.99841,-3.4709e+15,0,0,0,0.99996,0,,0.0010824,0.0010824,0,0
0.99809,1.8133e-09,55.611,0,8.3246e-09,0.082865,0.079173,0.00065121,0,2.5251e-08,0.99825,-3.8237e+15,0,0,0,0.99996,0,,0.0012628,0.0012628,0,0
0.99791,1.817e-09,55.601,0,8.3246e-09,0.082643,0.078949,0.00053514,0,2.5269e-08,0.99809,-4.1765e+15,0,0,0,0.99995,0,,0.0014432,0.0014432,0,0
0.99774,1.8207e-09,55.591,0,8.3245e-09,0.08242,0.078724,0.00041908,0,2.5286e-08,0.99793,-4.5292e+15,0,0,0,0.99995,0,,0.0016236,0.0016236,0,0
0.99756,1.8244e-09,55.581,0,8.3245e-09,0.082198,0.0785,0.00030301,0,2.5304e-08,0.99776,-4.882e+15,0,0,0,0.99994,0,,0.001804,0.001804,0,0
0.99738,1.8281e-09,55.571,0,8.3245e-09,0.081977,0.078278,0.00018801,0,2.5322e-08,0.9976,-5.2311e+15,0,0,0,0.99994,0,,0.0019844,0.0019844,0,0
0.99737,1.8327e-09,55.57,0,8.3245e-09,0.081967,0.078267,0.00016881,0,2.534e-08,0.99759,-5.2533e+15,0,0,0,0.99994,0,,0.0021648,0.0021648,0,0
0.99736,1.8374e-09,55.569,0,8.3245e-09,0.081957,0.078257,0.0001496,0,2.5357e-08,0.99758,-5.2755e+15,0,0,0,0.99994,0,,0.0023452,0.0023452,0,0
0.99735,1.842e-09,55.569,0,8.3245e-09,0.081946,0.078246,0.00013039,0,2.5374e-08,0.99757,-5.2977e+15,0,0,0,0.99994,0,,0.0025256,0.0025256,0,0
0.99734,1.8467e-09,55.568,0,8.3245e-09,0.081936,0.078236,0.00011118,0,2.5391e-08,0.99756,-5.3199e+15,0,0,0,0.99994,0,,0.002706,0.002706,0,0
0.99733,1.8513e-09,55.568,0,8.3245e-09,0.081926,0.078225,9.1973e-05,0,2.5408e-08,0.99755,-5.3421e+15,0,0,0,0.99994,0,,0.0028864,0.0028864,0,0
0.99732,1.856e-09,55.567,0,8.3245e-09,0.081916,0.078215,7.2765e-05,0,2.5425e-08,0.99754,-5.3644e+15,0,0,0,0.99994,0,,0.0030668,0.0030668,0,0
0.99731,1.8606e-09,55.566,0,8.3245e-09,0.081905,0.078204,5.3556e-05,0,2.5442e-08,0.99753,-5.3866e+15,0,0,0,0.99994,0,,0.0032472,0.0032472,0,0
0.9973,1.8653e-09,55.566,0,8.3245e-09,0.081895,0.078193,3.4348e-05,0,2.546e-08,0.99752,-5.4088e+15,0,0,0,0.99994,0,,0.0034276,0.0034276,0,0
0.99728,1.8699e-09,55.565,0,8.3245e-09,0.081885,0.078183,1.514e-05,0,2.5477e-08,0.99751,-5.431e+15,0,0,0,0.99994,0,,0.003608,0.003608,0,0
0.99727,1.8746e-09,55.564,0,8.3245e-09,0.081875,0.078172,-4.0686e-06,0,2.5494e-08,0.9975,-5.4532e+15,0,0,0,0.99994,0,,0.0037884,0.0037884,0,0
0.99726,1.8792e-09,55.564,0,8.3245e-09,0.081867,0.078164,-2.3113e-05,0,2.5511e-08,0.99749,-5.4757e+15,0,0,0,0.99994,0,,0.0039688,0.0039688,0,0
0.99724,1.8829e-09,55.563,0,8.3245e-09,0.081976,0.078268,-3.4864e-05,0,2.5525e-08,0.99748,-5.511e+15,0,0,0,0.99994,0,,0.0041492,0.0041492,0,0
0.99723,1.8866e-09,55.562,0,8.3245e-09,0.082086,0.078371,-4.6614e-05,0,2.5538e-08,0.99746,-5.5464e+15,0,0,0,0.99994,0,,0.0043296,0.0043296,0,0
0.99721,1.8902e-09,55.561,0,8.3245e-09,0.082195,0.078474,-5.8364e-05,0,2.5552e-08,0.99744,-5.5818e+15,0,0,0,0.99994,0,,0.00451,0.00451,0,0
0.99719,1.8939e-09,55.56,0,8.3245e-09,0.082305,0.078577,-7.0115e-05,0,2.5565e-08,0.99743,-5.6172e+15,0,0,0,0.99994,0,,0.0046904,0.0046904,0,0
0.99717,1.8976e-09,55.559,0,8.3245e-09,0.082415,0.078681,-8.1865e-05,0,2.5579e-08,0.99741,-5.6526e+15,0,0,0,0.99994,0,,0.0048708,0.0048708,0,0
0.99716,1.9013e-09,55.558,0,8.3245e-09,0.082524,0.078784,-9.3616e-05,0,2.5592e-08,0.99739,-5.688e+15,0,0,0,0.99994,0,,0.0050512,0.0050512,0,0
0.99714,1.905e-09,55.557,0,8.3245e-09,0.082634,0.078887,-0.00010537,0,2.5606e-08,0.99738,-5.7233e+15,0,0,0,0.99993,0,,0.0052316,0.0052316,0,0
0.99712,1.9087e-09,55.556,0,8.3245e-09,0.082743,0.078991,-0.00011712,0,2.562e-08,0.99736,-5.7587e+15,0,0,0,0.99993,0,,0.005412,0.005412,0,0
0.9971,1.9123e-09,55.555,0,8.3245e-09,0.082853,0.079094,-0.00012887,0,2.5633e-08,0.99735,-5.7941e+15,0,0,0,0.99993,0,,0.0055924,0.0055924,0,0
0.99709,1.916e-09,55.554,0,8.3245e-09,0.082962,0.079197,-0.00014062,0,2.5647e-08,0.99733,-5.8295e+15,0,0,0,0.99993,0,,0.0057728,0.0057728,0,0
0.99707,1.9197e-09,55.553,0,8.3245e-09,0.083074,0.079303,-0.0001523,0,2.566e-08,0.99731,-5.8653e+15,0,0,0,0.99993,0,,0.0059532,0.0059532,0,0
0.99704,1.9232e-09,55.551,0,8.3244e-09,0.083262,0.07948,-0.00016209,0,2.5673e-08,0.99729,-5.9147e+15,0,0,0,0.99993,0,,0.0061336,0.0061336,0,0
0.99702,1.9268e-09,55.55,0,8.3244e-09,0.08345,0.079658,-0.00017187,0,2.5686e-08,0.99727,-5.9641e+15,0,0,0,0.99993,0,,0.006314,0.006314,0,0
0.99699,1.9303e-09,55.549,0,8.3244e-09,0.083638,0.079835,-0.00018166,0,2.5699e-08,0.99725,-6.0134e+15,0,0,0,0.99993,0,,0.0064944,0.0064944,0,0
