"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
90.077,4.593e-06,1.137e+08,0,2.6841e-05,0.096274,808.62,0.92195,0,8.4663e-07,1.3964e+06,-9.9393e+15,0,0,0,503.77,0,,0,0,0,0
90.076,4.5949e-06,1.1369e+08,0,2.6841e-05,0.096401,809.68,0.79003,0,8.4674e-07,1.3964e+06,-9.9643e+15,0,0,0,503.77,0,,0.00018,0.00018,0,0
90.075,4.5969e-06,1.1369e+08,0,2.6841e-05,0.096527,810.74,0.6581,0,8.4684e-07,1.3964e+06,-9.9893e+15,0,0,0,503.77,0,,0.00036,0.00036,0,0
90.074,4.5989e-06,1.1369e+08,0,2.6841e-05,0.096654,811.8,0.52618,0,8.4695e-07,1.3964e+06,-1.0014e+16,0,0,0,503.77,0,,0.00054,0.00054,0,0
90.073,4.6009e-06,1.1369e+08,0,2.6841e-05,0.096781,812.86,0.39426,0,8.4705e-07,1.3963e+06,-1.0039e+16,0,0,0,503.77,0,,0.00072,0.00072,0,0
90.072,4.6029e-06,1.1369e+08,0,2.6841e-05,0.096907,813.92,0.26233,0,8.4716e-07,1.3963e+06,-1.0064e+16,0,0,0,503.77,0,,0.0009,0.0009,0,0
90.071,4.6048e-06,1.1369e+08,0,2.6841e-05,0.097034,814.98,0.13041,0,8.4726e-07,1.3963e+06,-1.0089e+16,0,0,0,503.77,0,,0.00108,0.00108,0,0
90.07,4.6068e-06,1.1369e+08,0,2.6841e-05,0.097161,816.04,-0.0015133,0,8.4737e-07,1.3963e+06,-1.0114e+16,0,0,0,503.77,0,,0.00126,0.00126,0,0
90.069,4.6088e-06,1.1368e+08,0,2.6841e-05,0.097287,817.1,-0.13344,0,8.4747e-07,1.3963e+06,-1.0139e+16,0,0,0,503.77,0,,0.00144,0.00144,0,0
90.068,4.6108e-06,1.1368e+08,0,2.6841e-05,0.097414,818.16,-0.26536,0,8.4758e-07,1.3963e+06,-1.0164e+16,0,0,0,503.77,0,,0.00162,0.00162,0,0
90.067,4.6128e-06,1.1368e+08,0,2.6841e-05,0.097541,819.22,-0.39728,0,8.4768e-07,1.3963e+06,-1.0189e+16,0,0,0,503.77,0,,0.0018,0.0018,0,0
90.065,4.6147e-06,1.1368e+08,0,2.6841e-05,0.097667,820.28,-0.52921,0,8.4779e-07,1.3963e+06,-1.0214e+16,0,0,0,503.76,0,,0.00198,0.00198,0,0
90.064,4.6198e-06,1.1368e+08,0,2.6841e-05,0.097874,822.01,-0.66069,0,8.4805e-07,1.3963e+06,-1.0258e+16,0,0,0,503.76,0,,0.00216,0.00216,0,0
90.062,4.625e-06,1.1368e+08,0,2.6841e-05,0.098082,823.75,-0.79216,0,8.4831e-07,1.3963e+06,-1.0301e+16,0,0,0,503.76,0,,0.00234,0.00234,0,0
90.06,4.6302e-06,1.1367e+08,0,2.6841e-05,0.098289,825.48,-0.92364,0,8.4858e-07,1.3962e+06,-1.0345e+16,0,0,0,503.76,0,,0.00252,0.00252,0,0
90.058,4.6353e-06,1.1367e+08,0,2.6841e-05,0.098497,827.22,-1.0551,0,8.4884e-07,1.3962e+06,-1.0389e+16,0,0,0,503.76,0,,0.0027,0.0027,0,0
90.056,4.6405e-06,1.1367e+08,0,2.6841e-05,0.098705,828.96,-1.1866,0,8.491e-07,1.3962e+06,-1.0433e+16,0,0,0,503.76,0,,0.00288,0.00288,0,0
90.054,4.6456e-06,1.1367e+08,0,2.6841e-05,0.098913,830.7,-1.3181,0,8.4937e-07,1.3962e+06,-1.0476e+16,0,0,0,503.76,0,,0.00306,0.00306,0,0
90.053,4.6508e-06,1.1366e+08,0,2.6841e-05,0.099121,832.43,-1.4495,0,8.4963e-07,1.3962e+06,-1.052e+16,0,0,0,503.76,0,,0.00324,0.00324,0,0
90.051,4.6559e-06,1.1366e+08,0,2.6841e-05,0.099328,834.17,-1.581,0,8.499e-07,1.3962e+06,-1.0564e+16,0,0,0,503.76,0,,0.00342,0.00342,0,0
90.049,4.6611e-06,1.1366e+08,0,2.6841e-05,0.099536,835.91,-1.7125,0,8.5016e-07,1.3961e+06,-1.0608e+16,0,0,0,503.76,0,,0.0036,0.0036,0,0
90.047,4.6662e-06,1.1366e+08,0,2.6841e-05,0.099744,837.65,-1.844,0,8.5042e-07,1.3961e+06,-1.0651e+16,0,0,0,503.76,0,,0.00378,0.00378,0,0
90.045,4.6714e-06,1.1365e+08,0,2.6841e-05,0.099952,839.38,-1.9754,0,8.5069e-07,1.3961e+06,-1.0695e+16,0,0,0,503.76,0,,0.00396,0.00396,0,0
90.042,4.6767e-06,1.1365e+08,0,2.6841e-05,0.10026,841.98,-2.103,0,8.5097e-07,1.3961e+06,-1.0772e+16,0,0,0,503.76,0,,0.00414,0.00414,0,0
90.039,4.6819e-06,1.1365e+08,0,2.6841e-05,0.10058,844.6,-2.2305,0,8.5125e-07,1.3961e+06,-1.085e+16,0,0,0,503.76,0,,0.00432,0.00432,0,0
90.036,4.6872e-06,1.1364e+08,0,2.6841e-05,0.10089,847.22,-2.358,0,8.5153e-07,1.396e+06,-1.0928e+16,0,0,0,503.76,0,,0.0045,0.0045,0,0
90.032,4.6924e-06,1.1364e+08,0,2.6841e-05,0.1012,849.84,-2.4855,0,8.5181e-07,1.396e+06,-1.1006e+16,0,0,0,503.76,0,,0.00468,0.00468,0,0
90.029,4.6977e-06,1.1363e+08,0,2.6841e-05,0.10152,852.47,-2.613,0,8.5209e-07,1.396e+06,-1.1084e+16,0,0,0,503.76,0,,0.00486,0.00486,0,0
90.026,4.703e-06,1.1363e+08,0,2.684e-05,0.10183,855.09,-2.7405,0,8.5237e-07,1.3959e+06,-1.1162e+16,0,0,0,503.76,0,,0.00504,0.00504,0,0
90.023,4.7082e-06,1.1363e+08,0,2.684e-05,0.10215,857.71,-2.868,0,8.5265e-07,1.3959e+06,-1.124e+16,0,0,0,503.76,0,,0.00522,0.00522,0,0
90.019,4.7135e-06,1.1362e+08,0,2.684e-05,0.10246,860.33,-2.9955,0,8.5293e-07,1.3959e+06,-1.1318e+16,0,0,0,503.76,0,,0.0054,0.0054,0,0
90.016,4.7188e-06,1.1362e+08,0,2.684e-05,0.10277,862.95,-3.123,0,8.5321e-07,1.3959e+06,-1.1396e+16,0,0,0,503.76,0,,0.00558,0.00558,0,0
90.013,4.724e-06,1.1361e+08,0,2.684e-05,0.10309,865.57,-3.2505,0,8.5349e-07,1.3958e+06,-1.1473e+16,0,0,0,503.76,0,,0.00576,0.00576,0,0
90.009,4.7293e-06,1.1361e+08,0,2.684e-05,0.1034,868.19,-3.378,0,8.5377e-07,1.3958e+06,-1.1551e+16,0,0,0,503.76,0,,0.00594,0.00594,0,0
90.005,4.7353e-06,1.136e+08,0,2.684e-05,0.10382,871.68,-3.4922,0,8.541e-07,1.3958e+06,-1.1655e+16,0,0,0,503.75,0,,0.00612,0.00612,0,0
90.001,4.7413e-06,1.136e+08,0,2.684e-05,0.10424,875.2,-3.6059,0,8.5442e-07,1.3957e+06,-1.176e+16,0,0,0,503.75,0,,0.0063,0.0063,0,0
89.996,4.7473e-06,1.1359e+08,0,2.684e-05,0.10466,878.73,-3.7195,0,8.5475e-07,1.3957e+06,-1.1864e+16,0,0,0,503.75,0,,0.00648,0.00648,0,0
89.992,4.7534e-06,1.1359e+08,0,2.684e-05,0.10508,882.25,-3.8332,0,8.5507e-07,1.3956e+06,-1.1969e+16,0,0,0,503.75,0,,0.00666,0.00666,0,0
