"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.289123184,       0.179194778,     -0.5945050217,       3.814955119,      -5.617245735
          0,           0,           1,      -2.440561258,    -0.01759210053,     -0.7078890541,       3.663601877,      -5.727844408
          0,           0,           2,      -2.558595658,     -0.2272706461,      -0.872160154,       3.545157735,      -5.852549219
          0,           0,           3,      -2.638090293,     -0.2365720565,      -1.026726619,        3.46748065,      -5.988222295
          0,           0,           4,      -2.669484919,     -0.2575404269,      -1.065954127,       3.436652827,      -6.117943851
          0,           0,           5,      -2.773159521,     -0.3075484107,      -1.035563078,       3.332884397,      -6.225476403
          0,           0,           6,      -2.852205632,       -0.27787016,      -1.053586186,       3.254052425,      -6.315862474
          0,           0,           7,      -2.878356354,      -0.246758998,      -1.061710495,       3.234718648,      -6.384272431
          0,           0,           8,      -2.877021469,     -0.2623837183,      -1.046294733,       3.231041604,      -6.429222979
          0,           0,           9,       -2.90527358,      -0.271823046,      -1.051102219,       3.199601669,      -6.457356106
          0,           0,          10,      -2.893828136,     -0.1885919113,        -1.0529687,       3.217117736,      -6.468581634
          0,           0,          11,      -2.827679656,     -0.1732897938,       -1.05161161,       3.278782167,      -6.483758672
          0,           0,          12,      -2.863615204,     -0.2155539041,      -1.062059085,       3.242275071,      -6.497774613
          0,           0,          13,      -2.895194343,     -0.2413315324,        -1.0738469,       3.212228069,      -6.506499641
          0,           0,          14,      -2.911038894,     -0.2622127314,      -1.076603086,       3.196521153,      -6.514211845
          0,           0,          15,      -2.931147788,     -0.2840689392,      -1.068878745,       3.178501626,      -6.515503253
          0,           0,          16,      -2.910297043,     -0.1934723407,      -1.069824573,       3.204722566,       -6.50793853
          0,           0,          17,      -2.848005159,     -0.1869076623,      -1.064983773,        3.26524788,      -6.501637192
          0,           0,          18,      -2.876132723,     -0.2509376765,      -1.009365562,       3.234722314,      -6.506741765
          0,           0,          19,      -2.931536928,     -0.3009916366,      -1.020899953,       3.175850965,      -6.519201826
          0,           0,          20,      -2.975824213,     -0.3464010606,      -1.040571343,       3.130275884,      -6.528955389
          0,           0,          21,      -3.007103952,     -0.3811186223,       -1.05627731,       3.097704055,      -6.534373687
          0,           0,          22,       -2.97770812,     -0.2608189199,      -1.059492421,       3.134985057,      -6.535784642
          0,           0,          23,      -2.900462979,     -0.2511191149,      -1.041809344,       3.210768173,      -6.540015312
          0,           0,          24,      -2.921740025,     -0.2968237248,      -1.009360699,       3.188133206,      -6.548221508
          0,           0,          25,      -2.953714676,     -0.3310530089,      -1.034888783,       3.150332766,      -6.557494758
          0,           0,          26,      -2.991846409,     -0.3750459814,       -1.04532306,       3.114753077,      -6.569823886
          0,           0,          27,      -3.024480341,     -0.4156082141,      -1.057264381,       3.080042756,      -6.586768782
          0,           0,          28,      -2.998304643,     -0.2725794645,      -1.059476323,       3.113166452,      -6.595975149
          0,           0,          29,      -2.902191684,     -0.2457286016,      -1.051119429,        3.20937856,      -6.599786775
          0,           0,          30,      -2.915724406,     -0.2890980039,     -0.9995358478,       3.194678628,      -6.608019043
          0,           0,          31,      -2.941845995,     -0.3178786355,      -1.018473727,       3.162498131,      -6.617698991
          0,           0,          32,      -2.917592799,     -0.2291505659,      -1.039487301,        3.19599526,      -6.622428153
          0,           0,          33,      -2.858471372,     -0.2161478268,      -1.045584685,       3.250726414,      -6.633838179
          0,           0,          34,      -2.893162685,     -0.2674414039,      -1.059362653,       3.215667669,      -6.643355931
