"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.284011606,     0.09264624911,     -0.2322700881,       3.822829936,      -4.450175201
          0,           0,           1,      -2.364961167,    -0.04627074999,      -0.358763683,       3.742110752,      -4.578903714
          0,           0,           2,        -2.4189167,     -0.1853338925,     -0.4703711098,       3.688333213,      -4.718564412
          0,           0,           3,      -2.450418879,     -0.3133093126,     -0.5517031163,       3.657011649,      -4.866060013
          0,           0,           4,      -2.468897116,     -0.4096818106,      -0.601489058,       3.638675666,      -5.014904554
          0,           0,           5,      -2.482604157,     -0.4682028754,     -0.6357449964,       3.625004447,      -5.154277689
          0,           0,           6,      -2.496029132,     -0.4950892347,     -0.6515733368,       3.611580287,      -5.270386169
          0,           0,           7,      -2.513989433,     -0.5180799477,     -0.6664919615,       3.593263564,       -5.35386317
          0,           0,           8,      -2.535895449,     -0.5488725143,     -0.6736533888,       3.571290188,      -5.407669927
          0,           0,           9,      -2.562002486,     -0.5943182865,     -0.6903100124,       3.545168462,       -5.44224942
          0,           0,          10,      -2.591959095,     -0.6505757835,      -0.712367234,       3.515381868,      -5.466312589
          0,           0,          11,      -2.625859867,     -0.6995827538,     -0.7352419716,       3.481769406,      -5.485992221
          0,           0,          12,      -2.657653171,     -0.7554300036,     -0.7831839288,       3.450217691,       -5.49989764
          0,           0,          13,      -2.691965217,     -0.7905392738,     -0.8272501523,       3.416228964,      -5.509288223
          0,           0,          14,       -2.73140182,     -0.8215567735,     -0.8817825287,       3.377148173,      -5.515961892
          0,           0,          15,      -2.772714861,     -0.8251137194,     -0.8888939639,       3.336316652,      -5.520973013
          0,           0,          16,       -2.81587691,     -0.8398520701,     -0.9233245781,       3.293737784,      -5.525110011
          0,           0,          17,      -2.860162487,     -0.8494076452,     -0.9344964902,       3.250459508,      -5.528676182
          0,           0,          18,      -2.903593058,     -0.8586469964,     -0.9241472817,       3.205752853,       -5.53184369
          0,           0,          19,      -2.942085065,     -0.8551500468,     -0.8915191728,       3.167927327,      -5.534491471
          0,           0,          20,      -2.963503491,     -0.8466617996,     -0.8361433477,       3.147172676,      -5.536539209
          0,           0,          21,      -2.981526918,     -0.8582640997,      -0.827800406,       3.129148958,      -5.537965095
          0,           0,          22,      -3.004116148,     -0.8642825563,     -0.8176897576,       3.106545979,      -5.538982456
          0,           0,          23,      -3.025521661,     -0.8769321738,     -0.8114379265,       3.084971969,      -5.539205868
          0,           0,          24,      -3.037986518,     -0.8761339175,      -0.798076646,       3.071129278,      -5.539271845
          0,           0,          25,      -3.056756163,     -0.8937391073,     -0.8055898595,         3.0508632,      -5.538667451
          0,           0,          26,      -3.085613151,     -0.8813788477,     -0.7938542185,       3.026709146,      -5.538123672
          0,           0,          27,      -3.105857415,     -0.8988001777,      -0.806488626,       3.004722525,      -5.537030447
          0,           0,          28,      -3.120580411,     -0.9100597365,     -0.8194804568,        2.99061758,      -5.536147775
          0,           0,          29,      -3.137379008,     -0.9108557171,     -0.8142004902,       2.971938676,      -5.534842371
          0,           0,          30,      -3.175346039,     -0.9238244412,     -0.8381817324,       2.934945851,      -5.533851528
          0,           0,          31,      -3.167649017,     -0.9342834747,     -0.8391944337,       2.943261416,      -5.532734637
          0,           0,          32,       -3.20586005,     -0.9303183076,     -0.8574326962,       2.903462966,      -5.531636336
          0,           0,          33,      -3.214233539,     -0.9197017315,     -0.8614797759,       2.894828272,       -5.53081238
          0,           0,          34,      -3.236706823,     -0.9218114976,     -0.8668025806,       2.872186692,       -5.53012425
          0,           0,          35,      -3.254614885,     -0.9267536342,      -0.872065276,       2.853577022,      -5.529514088
          0,           0,          36,      -3.275084099,     -0.9426245684,     -0.8848371903,       2.833648196,      -5.529261923
          0,           0,          37,      -3.293238883,     -0.9444235128,     -0.8874442711,       2.815973354,      -5.529068743
          0,           0,          38,      -3.312236062,     -0.9581884008,     -0.9126391314,       2.797289907,      -5.528966635
          0,           0,          39,       -3.32803163,     -0.9723977165,     -0.9251846602,       2.781815149,      -5.528943587
          0,           0,          40,       -3.33203216,     -0.9732786803,     -0.9360424917,       2.778093094,      -5.528814847
          0,           0,          41,      -3.340721452,      -0.986704204,     -0.9599474711,       2.769615273,      -5.528520612
          0,           0,          42,       -3.34105766,     -0.9734968953,     -0.9473134369,       2.769265369,      -5.527985417
          0,           0,          43,      -3.345169834,     -0.9830468528,     -0.9602226956,       2.765109996,      -5.527076629
          0,           0,          44,      -3.345966962,     -0.9843660445,     -0.9606404697,        2.76424341,      -5.525899943
          0,           0,          45,      -3.338846159,     -0.9660017779,     -0.9412284998,       2.771461322,      -5.524305113
          0,           0,          46,      -3.337010431,     -0.9584010258,     -0.9438952624,       2.773258312,       -5.52234026
          0,           0,          47,      -3.336036656,     -0.9663604424,     -0.9456992541,       2.774142237,      -5.520238346
          0,           0,          48,      -3.332892258,     -0.9538986998,     -0.9340817128,        2.77726746,      -5.518142575
          0,           0,          49,      -3.340109209,     -0.9732330631,     -0.9537026645,       2.769902943,      -5.515543602
          0,           0,          50,      -3.330574681,     -0.9645077954,     -0.9394054836,       2.779413659,      -5.513613982
          0,           0,          51,      -3.327333287,     -0.9506792106,     -0.9133584894,       2.782678147,      -5.511514265
          0,           0,          52,      -3.341580944,     -0.9606238846,     -0.9369980385,       2.768278904,      -5.509798847
          0,           0,          53,      -3.346021156,     -0.9559925219,     -0.9323236241,       2.763798777,      -5.508495324
          0,           0,          54,      -3.331264621,     -0.9574227134,     -0.9329518704,        2.77862998,      -5.507198027
          0,           0,          55,      -3.331373844,     -0.9675154553,     -0.9442587519,       2.778418843,      -5.507029966
          0,           0,          56,      -3.323068765,     -0.9434887418,      -0.915774626,       2.786823699,      -5.506592651
          0,           0,          57,      -3.323165875,     -0.9515753844,     -0.9287764515,        2.78662052,      -5.506603935
          0,           0,          58,      -3.326822457,     -0.9489191389,     -0.9213664916,       2.782945441,      -5.506853635
          0,           0,          59,       -3.32932397,      -0.954689979,     -0.9266349093,       2.780358322,      -5.507909652
          0,           0,          60,      -3.331404316,     -0.9604509376,     -0.9388562081,       2.778226684,      -5.508486124
          0,           0,          61,      -3.327456141,     -0.9424852113,     -0.9175804647,       2.782240795,      -5.509061158
          0,           0,          62,      -3.328772554,     -0.9438260459,     -0.9249550106,       2.780900136,      -5.509950411
          0,           0,          63,      -3.319914638,     -0.9461138124,     -0.9274153289,       2.789758089,      -5.510275113
          0,           0,          64,      -3.317576676,     -0.9378240733,     -0.9134337201,       2.792115895,      -5.510748141
