"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -1.478156532,      0.4504248135,     0.03256287085,       4.628521162,      -5.310765948
          0,           0,           1,      -1.511105261,      0.4121053491,    -0.04286273334,       4.595777143,      -5.421236302
          0,           0,           2,       -1.55436662,      0.3694794743,     -0.1401441543,        4.55267396,      -5.521658172
          0,           0,           3,      -1.607342057,      0.3194022199,     -0.2612350995,       4.499144054,      -5.600924235
          0,           0,           4,      -1.664321912,      0.2616445959,     -0.3929508353,       4.441174306,      -5.654602877
          0,           0,           5,      -1.727960183,      0.1917734168,      -0.508502213,       4.376783374,      -5.688042444
          0,           0,           6,      -1.800673193,     0.08944724082,     -0.5916266775,       4.304398999,      -5.709832075
          0,           0,           7,      -1.882139825,    -0.06969763761,     -0.6480438317,        4.22453724,      -5.726754663
          0,           0,           8,      -1.957951859,     -0.2301949079,     -0.6443586619,       4.150831204,      -5.742985771
          0,           0,           9,      -2.011621156,     -0.2261851343,     -0.6874164336,       4.098920065,      -5.758629188
          0,           0,          10,      -2.051098222,     -0.2090052095,     -0.7323273449,       4.060706509,      -5.756010924
          0,           0,          11,      -2.086305497,     -0.2416119967,      -0.682600952,       4.025895246,       -5.69373308
          0,           0,          12,      -2.119775247,     -0.3089686122,     -0.6605748722,       3.992462095,      -5.574555848
          0,           0,          13,      -2.150539035,     -0.3726476918,      -0.645840409,       3.961198398,      -5.457141814
          0,           0,          14,      -2.181546952,     -0.4088896236,     -0.6152432309,       3.929381958,      -5.361981355
          0,           0,          15,      -2.218305483,     -0.4241113845,     -0.5508805031,       3.892219492,      -5.293780926
          0,           0,          16,      -2.264252966,     -0.4364988826,     -0.5251981627,       3.846354779,      -5.247229922
          0,           0,          17,       -2.31746182,     -0.4337110575,     -0.5049521673,       3.793513224,      -5.219148241
          0,           0,          18,      -2.380072275,      -0.406777633,     -0.4744417119,       3.730903888,      -5.206320422
          0,           0,          19,      -2.445475867,     -0.3810914095,     -0.4717111863,        3.66537006,      -5.204903353
          0,           0,          20,      -2.507674798,     -0.3624355442,     -0.4858033399,       3.602928101,      -5.211397041
          0,           0,          21,      -2.560525694,      -0.352093328,     -0.5051157019,       3.549957752,      -5.222395412
          0,           0,          22,      -2.603279089,      -0.345658483,     -0.5252015648,        3.50689901,      -5.234499952
          0,           0,          23,      -2.630625569,     -0.3346672978,     -0.5257567182,       3.479427217,      -5.246477017
          0,           0,          24,      -2.638211166,     -0.3190169593,     -0.5020352598,       3.471832879,      -5.257960564
          0,           0,          25,      -2.627909948,     -0.3073273572,     -0.4797291773,       3.482339739,      -5.270072087
          0,           0,          26,      -2.603442554,     -0.3033460152,     -0.4625653676,       3.506876486,      -5.283750877
          0,           0,          27,      -2.574001613,     -0.2984685739,     -0.4324297357,       3.536310201,      -5.298389505
          0,           0,          28,      -2.544530453,     -0.3019163487,      -0.427427265,       3.565846161,      -5.312105468
          0,           0,          29,      -2.521878888,     -0.3178640609,     -0.4337708176,       3.588579824,      -5.323828725
          0,           0,          30,      -2.504437852,     -0.3378057759,     -0.4394024496,       3.606074684,      -5.334176448
          0,           0,          31,      -2.497019061,      -0.352468327,     -0.4362679251,       3.613500886,      -5.346167952
          0,           0,          32,      -2.504497261,     -0.3678944458,      -0.461595453,       3.606003659,      -5.362215063
