"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -0.522043565,        1.15192661,      -5.561617899,       5.577327167,      -8.607126721
          0,           0,           1,     -0.6111507097,       1.029094495,      -0.366524957,       5.487737988,      -8.620883822
          0,           0,           2,     -0.7030317326,      0.9830266819,     -0.1064149821,       5.395564343,      -8.683965928
          0,           0,           3,     -0.7896663197,      0.9737002432,     0.02874856264,       5.308906042,      -8.784100849
          0,           0,           4,     -0.8657063253,      0.9545010267,      0.1168157928,       5.233076404,      -8.901319796
          0,           0,           5,     -0.9315076254,      0.9190510962,      0.1843645347,        5.16760364,      -9.002761853
          0,           0,           6,     -0.9906876206,      0.8742382959,      0.2426612716,       5.108766773,      -9.069214447
          0,           0,           7,      -1.046786043,      0.8252690384,      0.2943533699,       5.052970801,      -9.116550898
          0,           0,           8,      -1.102063386,      0.7738466381,       0.338272215,        4.99793733,       -9.16577507
          0,           0,           9,      -1.157467943,      0.7203868009,      0.3729463199,       4.942721163,      -9.223402141
          0,           0,          10,      -1.212746419,       0.665634244,      0.3967493055,       4.887589299,      -9.286960767
          0,           0,          11,      -1.266957728,      0.6110989654,      0.4076248989,       4.833497474,      -9.349503693
          0,           0,          12,      -1.316793519,      0.5642808011,      0.3874788221,       4.783745917,      -9.402507818
          0,           0,          13,      -1.361673394,      0.5259349831,      0.3501145861,       4.738928174,      -9.447048732
          0,           0,          14,      -1.401586862,      0.4936993082,      0.3123146015,       4.699070814,      -9.485594852
          0,           0,          15,      -1.436893849,      0.4657592053,      0.2791401812,       4.663818713,      -9.518944243
          0,           0,          16,      -1.467714606,      0.4409237458,      0.2505796154,       4.633052929,      -9.547350377
          0,           0,          17,      -1.494136805,      0.4181532522,      0.2248020139,       4.606681034,      -9.571422593
          0,           0,          18,      -1.516523051,       0.396773716,      0.2002247688,       4.584335777,       -9.59193234
          0,           0,          19,      -1.535620961,      0.3761283277,      0.1766468128,       4.565263367,      -9.610140271
          0,           0,          20,      -1.552423813,       0.355939376,      0.1554639495,       4.548469469,      -9.627063861
          0,           0,          21,      -1.567952871,      0.3359570325,      0.1390462542,       4.532932308,      -9.643862679
          0,           0,          22,      -1.583046923,      0.3162534559,      0.1294817526,       4.517817054,      -9.661026362
          0,           0,          23,      -1.598245413,      0.2968825282,       0.127493878,       4.502586948,      -9.679032906
          0,           0,          24,      -1.613748793,      0.2781653499,      0.1319575381,       4.487046691,      -9.697752223
          0,           0,          25,      -1.629527009,      0.2602205134,      0.1405005587,       4.471227999,      -9.717037787
          0,           0,          26,      -1.645247072,      0.2434280641,      0.1505880835,       4.455468033,      -9.736127256
          0,           0,          27,      -1.660464893,      0.2278746843,      0.1600884761,       4.440211742,      -9.754679497
          0,           0,          28,      -1.674631052,      0.2138284125,      0.1677217213,       4.426010868,      -9.771516712
          0,           0,          29,      -1.687248762,      0.2012364128,      0.1723916543,       4.413360909,      -9.786271493
          0,           0,          30,      -1.697875754,      0.1902789645,      0.1738163029,       4.402704565,      -9.798116065
          0,           0,          31,      -1.706271523,      0.1806356917,      0.1718930882,       4.394280764,      -9.807020478
          0,           0,          32,      -1.712340192,      0.1724736607,      0.1666625928,       4.388184482,      -9.812602696
          0,           0,          33,      -1.716210152,      0.1653171202,      0.1582579304,       4.384286127,       -9.81542443
          0,           0,          34,         -1.718141,      0.1593390587,      0.1468372494,       4.382325294,      -9.815554325
          0,           0,          35,       -1.71850063,      0.1540002727,      0.1325260626,       4.381934176,      -9.813865478
          0,           0,          36,      -1.717677609,       0.149518504,      0.1154413479,       4.382724032,      -9.810576641
          0,           0,          37,      -1.716077939,       0.145338726,     0.09569009278,       4.384290075,      -9.806585888
          0,           0,          38,      -1.714061421,      0.1416886461,     0.07342323732,       4.386272338,      -9.802044852
          0,           0,          39,      -1.711949984,      0.1380521297,     0.04886015642,       4.388350678,      -9.797729623
          0,           0,          40,       -1.71000753,      0.1346889044,     0.02231400481,       4.390260736,      -9.793665665
          0,           0,          41,      -1.708450874,      0.1311064367,   -0.005767649296,        4.39178753,      -9.790481571
          0,           0,          42,      -1.707444178,      0.1275916058,    -0.03476754036,       4.392765974,      -9.788055436
          0,           0,          43,       -1.70710928,      0.1236838554,    -0.06387753413,       4.393075998,      -9.786860695
          0,           0,          44,      -1.707523327,      0.1196976969,    -0.09211607321,       4.392639163,      -9.786661279
          0,           0,          45,      -1.708726651,      0.1152056292,     -0.1184023196,        4.39141693,      -9.787798998
          0,           0,          46,      -1.710724571,      0.1105479793,     -0.1417039726,       4.389402499,      -9.789937733
          0,           0,          47,      -1.713490604,       0.105327607,     -0.1612269965,       4.386624242,      -9.793351166
          0,           0,          48,      -1.716976342,     0.09990313089,     -0.1766061083,       4.383129018,      -9.797606901
          0,           0,          49,      -1.721104017,     0.09390286732,     -0.1879865232,       4.378996547,      -9.802910075
          0,           0,          50,      -1.725790861,     0.08768063941,     -0.1959899307,       4.374308054,      -9.808785839
          0,           0,          51,      -1.730925452,      0.0808990498,     -0.2015392574,       4.369176761,      -9.815412882
          0,           0,          52,      -1.736413126,      0.0738748901,     -0.2056835589,       4.363695869,      -9.822281331
          0,           0,          53,      -1.742126123,     0.06633123099,     -0.2094276798,       4.357994415,      -9.829564927
          0,           0,          54,      -1.747981202,     0.05848767298,     -0.2135926753,       4.352154456,      -9.836763362
          0,           0,          55,      -1.753851809,      0.0501901318,     -0.2188243794,       4.346302731,      -9.844069037
          0,           0,          56,      -1.759682488,      0.0414582596,     -0.2256164296,       4.340494402,      -9.851016446
          0,           0,          57,      -1.765367997,     0.03211297875,     -0.2342816795,       4.334832742,      -9.857820964
          0,           0,          58,      -1.770880959,     0.02306066146,      -0.244975564,       4.329346644,      -9.864284282
          0,           0,          59,      -1.776157876,     0.01219884176,     -0.2577951922,       4.324097226,      -9.870746642
          0,           0,          60,      -1.781192157,    0.001713480682,     -0.2726051243,       4.319089715,      -9.876731119
          0,           0,          61,      -1.785949713,     -0.0100958242,     -0.2892531889,       4.314359947,      -9.882286856
          0,           0,          62,      -1.790447441,    -0.02241728048,     -0.3073949014,       4.309888011,      -9.887322549
          0,           0,          63,      -1.794679015,    -0.03539182121,     -0.3266217105,       4.305680845,       -9.89192812
          0,           0,          64,      -1.798661578,    -0.04917507078,     -0.3463348752,       4.301721976,       -9.89600943
          0,           0,          65,      -1.802404338,    -0.06393551695,     -0.3658647853,       4.298000017,      -9.899624438
          0,           0,          66,      -1.805914334,    -0.07933184583,     -0.3843928787,       4.294509596,      -9.902734358
          0,           0,          67,       -1.80919753,     -0.0963583158,     -0.4011061777,       4.291243553,      -9.905319649
          0,           0,          68,      -1.812254413,     -0.1135941744,     -0.4152444856,       4.288201726,      -9.907391614
          0,           0,          69,      -1.815075205,     -0.1326835628,     -0.4262298358,       4.285394878,      -9.908894799
          0,           0,          70,      -1.817658522,     -0.1528306616,     -0.4337756527,       4.282822893,      -9.909822922
          0,           0,          71,      -1.819986292,     -0.1738676166,     -0.4379265408,       4.280505174,       -9.91011082
          0,           0,          72,      -1.822046577,     -0.1953048124,     -0.4390223745,       4.278453774,      -9.909753108
          0,           0,          73,      -1.823825647,     -0.2180653473,      -0.437622111,       4.276682661,      -9.908690187
          0,           0,          74,      -1.825319864,     -0.2413741359,     -0.4343969357,       4.275194632,      -9.906903915
