"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
90.089,4.5953e-06,1.1371e+08,0,2.6841e-05,0.09484,796.62,0.93638,0,8.4663e-07,1.3965e+06,-9.6513e+15,0,0,0,503.77,0,,0,0,0,0
90.088,4.5973e-06,1.1371e+08,0,2.6841e-05,0.094968,797.7,0.80156,0,8.4674e-07,1.3965e+06,-9.6773e+15,0,0,0,503.77,0,,0.0001804,0.0001804,0,0
90.087,4.5993e-06,1.1371e+08,0,2.6841e-05,0.095097,798.77,0.66675,0,8.4685e-07,1.3965e+06,-9.7033e+15,0,0,0,503.77,0,,0.0003608,0.0003608,0,0
90.086,4.6013e-06,1.1371e+08,0,2.6841e-05,0.095225,799.85,0.53193,0,8.4695e-07,1.3965e+06,-9.7293e+15,0,0,0,503.77,0,,0.0005412,0.0005412,0,0
90.085,4.6034e-06,1.137e+08,0,2.6841e-05,0.095353,800.92,0.39711,0,8.4706e-07,1.3964e+06,-9.7553e+15,0,0,0,503.77,0,,0.0007216,0.0007216,0,0
90.084,4.6054e-06,1.137e+08,0,2.6841e-05,0.095482,801.99,0.2623,0,8.4717e-07,1.3964e+06,-9.7813e+15,0,0,0,503.77,0,,0.000902,0.000902,0,0
90.082,4.6074e-06,1.137e+08,0,2.6841e-05,0.09561,803.07,0.12748,0,8.4727e-07,1.3964e+06,-9.8073e+15,0,0,0,503.77,0,,0.0010824,0.0010824,0,0
90.081,4.6094e-06,1.137e+08,0,2.6841e-05,0.095738,804.14,-0.0073346,0,8.4738e-07,1.3964e+06,-9.8333e+15,0,0,0,503.77,0,,0.0012628,0.0012628,0,0
90.08,4.6114e-06,1.137e+08,0,2.6841e-05,0.095867,805.21,-0.14215,0,8.4749e-07,1.3964e+06,-9.8593e+15,0,0,0,503.77,0,,0.0014432,0.0014432,0,0
90.079,4.6134e-06,1.137e+08,0,2.6841e-05,0.095995,806.29,-0.27697,0,8.476e-07,1.3964e+06,-9.8853e+15,0,0,0,503.77,0,,0.0016236,0.0016236,0,0
90.078,4.6154e-06,1.137e+08,0,2.6841e-05,0.096123,807.36,-0.41178,0,8.477e-07,1.3964e+06,-9.9113e+15,0,0,0,503.77,0,,0.001804,0.001804,0,0
90.077,4.6175e-06,1.1369e+08,0,2.6841e-05,0.096253,808.44,-0.54659,0,8.4781e-07,1.3964e+06,-9.9375e+15,0,0,0,503.77,0,,0.0019844,0.0019844,0,0
90.075,4.6228e-06,1.1369e+08,0,2.6841e-05,0.096463,810.21,-0.68059,0,8.4808e-07,1.3964e+06,-9.9821e+15,0,0,0,503.77,0,,0.0021648,0.0021648,0,0
90.073,4.6281e-06,1.1369e+08,0,2.6841e-05,0.096674,811.97,-0.8146,0,8.4835e-07,1.3964e+06,-1.0027e+16,0,0,0,503.77,0,,0.0023452,0.0023452,0,0
90.071,4.6334e-06,1.1369e+08,0,2.6841e-05,0.096885,813.73,-0.9486,0,8.4863e-07,1.3963e+06,-1.0071e+16,0,0,0,503.77,0,,0.0025256,0.0025256,0,0
90.069,4.6387e-06,1.1369e+08,0,2.6841e-05,0.097096,815.49,-1.0826,0,8.489e-07,1.3963e+06,-1.0116e+16,0,0,0,503.77,0,,0.002706,0.002706,0,0
90.067,4.644e-06,1.1368e+08,0,2.6841e-05,0.097306,817.26,-1.2166,0,8.4917e-07,1.3963e+06,-1.0161e+16,0,0,0,503.77,0,,0.0028864,0.0028864,0,0
90.066,4.6492e-06,1.1368e+08,0,2.6841e-05,0.097517,819.02,-1.3506,0,8.4944e-07,1.3963e+06,-1.0205e+16,0,0,0,503.77,0,,0.0030668,0.0030668,0,0
90.064,4.6545e-06,1.1368e+08,0,2.6841e-05,0.097728,820.78,-1.4846,0,8.4971e-07,1.3963e+06,-1.025e+16,0,0,0,503.76,0,,0.0032472,0.0032472,0,0
90.062,4.6598e-06,1.1368e+08,0,2.6841e-05,0.097939,822.54,-1.6186,0,8.4998e-07,1.3963e+06,-1.0294e+16,0,0,0,503.76,0,,0.0034276,0.0034276,0,0
90.06,4.6651e-06,1.1367e+08,0,2.6841e-05,0.098149,824.31,-1.7526,0,8.5025e-07,1.3962e+06,-1.0339e+16,0,0,0,503.76,0,,0.003608,0.003608,0,0
90.058,4.6704e-06,1.1367e+08,0,2.6841e-05,0.09836,826.07,-1.8866,0,8.5052e-07,1.3962e+06,-1.0384e+16,0,0,0,503.76,0,,0.0037884,0.0037884,0,0
90.056,4.6757e-06,1.1367e+08,0,2.6841e-05,0.098573,827.85,-2.0205,0,8.5079e-07,1.3962e+06,-1.0429e+16,0,0,0,503.76,0,,0.0039688,0.0039688,0,0
90.053,4.6812e-06,1.1366e+08,0,2.6841e-05,0.098892,830.51,-2.1509,0,8.5108e-07,1.3962e+06,-1.0508e+16,0,0,0,503.76,0,,0.0041492,0.0041492,0,0
90.05,4.6866e-06,1.1366e+08,0,2.6841e-05,0.09921,833.17,-2.2812,0,8.5137e-07,1.3961e+06,-1.0587e+16,0,0,0,503.76,0,,0.0043296,0.0043296,0,0
90.046,4.6921e-06,1.1366e+08,0,2.6841e-05,0.099528,835.83,-2.4115,0,8.5166e-07,1.3961e+06,-1.0666e+16,0,0,0,503.76,0,,0.00451,0.00451,0,0
90.043,4.6975e-06,1.1365e+08,0,2.6841e-05,0.099846,838.49,-2.5419,0,8.5195e-07,1.3961e+06,-1.0745e+16,0,0,0,503.76,0,,0.0046904,0.0046904,0,0
90.04,4.703e-06,1.1365e+08,0,2.6841e-05,0.10016,841.15,-2.6722,0,8.5224e-07,1.3961e+06,-1.0825e+16,0,0,0,503.76,0,,0.0048708,0.0048708,0,0
90.036,4.7084e-06,1.1364e+08,0,2.6841e-05,0.10048,843.81,-2.8025,0,8.5253e-07,1.396e+06,-1.0904e+16,0,0,0,503.76,0,,0.0050512,0.0050512,0,0
90.033,4.7139e-06,1.1364e+08,0,2.6841e-05,0.1008,846.47,-2.9329,0,8.5282e-07,1.396e+06,-1.0983e+16,0,0,0,503.76,0,,0.0052316,0.0052316,0,0
90.03,4.7193e-06,1.1364e+08,0,2.6841e-05,0.10112,849.13,-3.0632,0,8.5311e-07,1.396e+06,-1.1062e+16,0,0,0,503.76,0,,0.005412,0.005412,0,0
90.026,4.7248e-06,1.1363e+08,0,2.684e-05,0.10144,851.78,-3.1935,0,8.534e-07,1.3959e+06,-1.1141e+16,0,0,0,503.76,0,,0.0055924,0.0055924,0,0
90.023,4.7302e-06,1.1363e+08,0,2.684e-05,0.10176,854.44,-3.3239,0,8.5369e-07,1.3959e+06,-1.122e+16,0,0,0,503.76,0,,0.0057728,0.0057728,0,0
90.02,4.7357e-06,1.1362e+08,0,2.684e-05,0.10208,857.13,-3.4538,0,8.5398e-07,1.3959e+06,-1.13e+16,0,0,0,503.76,0,,0.0059532,0.0059532,0,0
90.015,4.7419e-06,1.1362e+08,0,2.684e-05,0.10251,860.72,-3.5716,0,8.5432e-07,1.3958e+06,-1.1408e+16,0,0,0,503.76,0,,0.0061336,0.0061336,0,0
90.011,4.7482e-06,1.1361e+08,0,2.684e-05,0.10294,864.3,-3.6893,0,8.5465e-07,1.3958e+06,-1.1515e+16,0,0,0,503.76,0,,0.006314,0.006314,0,0
