"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.9531,4.0624e-10,81.41,0,2.3307e-09,0.093163,0.06801,0.00085071,0,6.9817e-09,0.99877,-4738,0,0,0,1.0076,0,,0,0,0,0
0.95297,4.0682e-10,81.399,0,2.3307e-09,0.093023,0.067904,0.00078196,0,6.9852e-09,0.9987,-5014.5,0,0,0,1.0076,0,,0.0001804,0.0001804,0,0
0.95285,4.0739e-10,81.388,0,2.3307e-09,0.092883,0.067799,0.00071322,0,6.9886e-09,0.99862,-5291.1,0,0,0,1.0076,0,,0.0003608,0.0003608,0,0
0.95273,4.0796e-10,81.378,0,2.3307e-09,0.092743,0.067693,0.00064447,0,6.9921e-09,0.99855,-5567.6,0,0,0,1.0076,0,,0.0005412,0.0005412,0,0
0.95261,4.0854e-10,81.367,0,2.3307e-09,0.092603,0.067588,0.00057572,0,6.9955e-09,0.99848,-5844.1,0,0,0,1.0076,0,,0.0007216,0.0007216,0,0
0.95248,4.0911e-10,81.357,0,2.3307e-09,0.092463,0.067482,0.00050698,0,6.999e-09,0.99841,-6120.7,0,0,0,1.0076,0,,0.000902,0.000902,0,0
0.95236,4.0969e-10,81.346,0,2.3307e-09,0.092323,0.067377,0.00043823,0,7.0024e-09,0.99834,-6397.2,0,0,0,1.0076,0,,0.0010824,0.0010824,0,0
0.95224,4.1026e-10,81.335,0,2.3307e-09,0.092183,0.067272,0.00036949,0,7.0059e-09,0.99826,-6673.7,0,0,0,1.0076,0,,0.0012628,0.0012628,0,0
0.95212,4.1083e-10,81.325,0,2.3307e-09,0.092043,0.067166,0.00030074,0,7.0094e-09,0.99819,-6950.3,0,0,0,1.0076,0,,0.0014432,0.0014432,0,0
0.95199,4.1141e-10,81.314,0,2.3307e-09,0.091903,0.067061,0.000232,0,7.0128e-09,0.99812,-7226.8,0,0,0,1.0076,0,,0.0016236,0.0016236,0,0
0.95187,4.1198e-10,81.304,0,2.3307e-09,0.091763,0.066955,0.00016325,0,7.0163e-09,0.99805,-7503.3,0,0,0,1.0076,0,,0.001804,0.001804,0,0
0.95175,4.1256e-10,81.293,0,2.3307e-09,0.091625,0.066851,9.5111e-05,0,7.0197e-09,0.99798,-7777.1,0,0,0,1.0076,0,,0.0019844,0.0019844,0,0
0.95174,4.1334e-10,81.292,0,2.3307e-09,0.091658,0.066875,8.1644e-05,0,7.0233e-09,0.99797,-7803.8,0,0,0,1.0076,0,,0.0021648,0.0021648,0,0
0.95173,4.1413e-10,81.291,0,2.3307e-09,0.09169,0.066898,6.8177e-05,0,7.0269e-09,0.99796,-7830.5,0,0,0,1.0076,0,,0.0023452,0.0023452,0,0
0.95172,4.1492e-10,81.29,0,2.3306e-09,0.091723,0.066922,5.4709e-05,0,7.0304e-09,0.99796,-7857.3,0,0,0,1.0076,0,,0.0025256,0.0025256,0,0
0.9517,4.1571e-10,81.289,0,2.3306e-09,0.091756,0.066946,4.1242e-05,0,7.034e-09,0.99795,-7884,0,0,0,1.0076,0,,0.002706,0.002706,0,0
0.95169,4.165e-10,81.288,0,2.3306e-09,0.091789,0.066969,2.7774e-05,0,7.0376e-09,0.99794,-7910.7,0,0,0,1.0076,0,,0.0028864,0.0028864,0,0
0.95168,4.1728e-10,81.287,0,2.3306e-09,0.091822,0.066993,1.4307e-05,0,7.0412e-09,0.99794,-7937.4,0,0,0,1.0076,0,,0.0030668,0.0030668,0,0
